  0:   46| [55] [√After Chapter1]
  1:   60| [45] [――第３エリア内周棟・地下１階。]
  2:   65| [45] [そこには火災の兆候はなかった。]
  3:   70| [45] [プロキオンの表示は『１７９２ｍＳｖ』と、さほど問題はない。]
  4:   78| [47] [渡瀬]
  5:   81| [45] [「どうやら……いまのところ、このフロアは安全のようだな」]
  6:  143| [47] [宇喜多]
  7:  146| [45] [「では引き続き２手に別れて、捜索を行うかね」]
  8:  173| [47] [恵那]
  9:  176| [45] [「いちいちチームを決めなおすのも時間が惜しいわ。早く捜索に入りましょ」]
 10:  204| [47] [洵]
 11:  207| [45] [「そうだね、相変わらずＡＤも見つかってないし」]
 12:  323| [47] [ユウリ]
 13:  324| [45] [「……」]
 14:  332| [47] [風見]
 15:  335| [45] [「では、我々が外周棟を、守部たちは内周棟をお願いします」]
 16:  340| [45] [異論を唱えるものはいなかった。]
 17:  345| [45] [６人は再び、『渡瀬＋風見＋ユウリ』の組と、『洵＋宇喜多＋恵那』の組に分かれ、第３エリア地下１階の捜索を開始した。]
 18:  388| [45] [――まずは風見とユウリと共に、外周棟に向かう。]
 19:  432| [45] [だが、外周棟に続く通路の奥で、セキュリティゲートを開けようとすると――]
 20:  446| [47] [渡瀬]
 21:  449| [45] [「あれ？」]
 22:  454| [45] [カードが認識されなかった。]
 23:  459| [45] [セキュリティレベルの表示は『３』だから、Ｌｖ４のカードで開けられるはずなのに。]
 24:  464| [45] [もう一度スロットに通してみても、]
 25:  475| [45] [やはり扉は開かなかった。]
 26:  483| [47] [渡瀬]
 27:  486| [45] [「くそ、壊れてるみたいだ！　他の通路から入れるか？」]
 28:  514| [47] [風見]
 29:  517| [45] [「確認します！」]
 30:  522| [45] [風見はそう答え、懐から例の手書きの地図を取り出した。]
 31:  640| [47] [風見]
 32:  643| [45] [「――現在位置がここ。そしてここの扉が開かない、と」]
 33:  706| [47] [風見]
 34:  709| [45] [「で……この第２エリア側からの通路も、セキュリティスロットが焼失していて入れませんでした」]
 35:  717| [47] [渡瀬]
 36:  720| [45] [「そう言えばここの階段も崩れてたから、別の階から行く事はできないな」]
 37:  746| [47] [風見]
 38:  749| [45] [「となると遠回りになりますが、第４エリア側から入るしかないようですね」]
 39:  768| [47] [渡瀬]
 40:  771| [45] [「ますますまずいな……ＡＤが足りないってのに」]
 41:  776| [45] [もうＡＤの投与時間まで、１０分ほどしかない。]
 42:  784| [47] [渡瀬]
 43:  787| [45] [「せめてあと１本でもあればな……」]
 44:  792| [45] [渡瀬がそう呟くと、遠慮がちな声があがった。]
 45:  835| [47] [ユウリ]
 46:  838| [45] [「あ、あの……」]
 47:  846| [47] [渡瀬]
 48:  849| [45] [「ん？　どうした？」]
 49:  857| [47] [ユウリ]
 50:  860| [45] [「いよいよになったら……わたしが投与を諦めれば、いいんじゃないかって……」]
 51:  886| [47] [風見]
 52:  889| [45] [「なに言ってるんですか、ユウリさん！　あなたにそんな事はさせられません！」]
 53:  950| [47] [ユウリ]
 54:  953| [45] [「っ！」]
 55:  958| [45] [ユウリがびくっと身を震わせる。]
 56:  966| [47] [渡瀬]
 57:  969| [45] [「そうだぞユウリ！　その時はむしろオレが――」]
 58:  995| [47] [風見]
 59:  998| [45] [「いえ、そういうことを考えるのはタイムリミットが来てからです」]
 60: 1006| [47] [渡瀬]
 61: 1009| [45] [「そ、そうか……」]
 62: 1017| [47] [風見]
 63: 1020| [45] [「それよりいったん内周棟に戻りましょう。時間が惜しいです」]
 64: 1046| [47] [ユウリ]
 65: 1049| [45] [「は、はい……」]
 66: 1054| [45] [さっさと歩き出す風見の後を、渡瀬とユウリはついていった。]
 67: 1059| [45] [だが傍らを歩くユウリに、渡瀬は訝しいものを感じていた。]
 68: 1064| [47] [渡瀬]
 69: 1065| [45] [（どうも妙だな……？）]
 70: 1070| [45] [彼女は決して、捜索に非協力的なわけではない。]
 71: 1075| [45] [ひどく怯えてはいるが、ああして自分より他人の事を優先しようとする優しさもある。]
 72: 1080| [47] [渡瀬]
 73: 1081| [45] [（なのにどうして……さっきは１人で逃げようとしたんだ？）]
 74: 1152| [45] [最初に顔を合わせた時、ユウリが見せた表情が、脳裏をよぎる。]
 75: 1157| [45] [渡瀬を見た瞬間、彼女は確かに怯えていた。]
 76: 1162| [47] [渡瀬]
 77: 1163| [45] [（ひょっとして今も、オレに対して怯えているのか？　だとしたらなぜ……？）]
 78: 1198| [45] [渡瀬がそう思った時――]
 79: 1203| [47] [？？]
 80: 1206| [45] [「きゃあああああ！！」]
 81: 1250| [45] [耳をつんざくような絶叫が聞こえてきた。]
 82: 1258| [47] [渡瀬]
 83: 1261| [45] [「今のは！？」]
 84: 1269| [47] [ユウリ]
 85: 1272| [45] [「じゅ……洵さんたちの声！？」]
 86: 1277| [45] [珍しくユウリが、大きな声を上げた。]
 87: 1303| [47] [風見]
 88: 1306| [45] [「――行きましょう！」]
 89: 1326| [45] [一瞬の逡巡もなく、風見が駆け出した。]
 90: 1331| [45] [渡瀬もユウリの手を引き、それを追う。]
 91: 1379| [45] [曲がり角を曲がると、ちょうど洵たちがとある部屋から出てくるところだった。]
 92: 1441| [47] [洵]
 93: 1444| [45] [「た……隊長ッ！」]
 94: 1452| [47] [渡瀬]
 95: 1455| [45] [「ど、どうした！？　なにがあったんだ！？」]
 96: 1509| [47] [宇喜多]
 97: 1512| [45] [「あ！？　あ、あ……」]
 98: 1517| [45] [宇喜多はよほど動転しているのか、渡瀬たちを見て意味をなさない声を上げた。]
 99: 1544| [47] [風見]
100: 1547| [45] [「皆さん落ち着いて下さい！　一体何事ですか！」]
101: 1552| [45] [すると恵那が青ざめた顔で、呆然と呟く。]
102: 1578| [47] [恵那]
103: 1581| [45] [「……死体……」]
104: 1589| [47] [渡瀬]
105: 1592| [45] [「え？」]
106: 1618| [47] [恵那]
107: 1621| [45] [「死体が、たくさん……！」]
108: 1626| [45] [――その瞬間、その場の空気が凝結した。]
109: 1634| [47] [渡瀬]
110: 1637| [45] [「せ、先生……死体って……？」]
111: 1663| [47] [恵那]
112: 1666| [45] [「あの部屋の中に……」]
113: 1692| [47] [風見]
114: 1695| [45] [「焼死体……でしょうか？」]
115: 1703| [47] [渡瀬]
116: 1706| [45] [「！！」]
117: 1711| [45] [渡瀬は一瞬、夏彦たちが焼け死んでいる姿を思い浮かべた。]
118: 1716| [45] [だが洵は首を振る。]
119: 1742| [47] [洵]
120: 1745| [45] [「違うんだよ……それならまだわかるんだけど……！」]
121: 1753| [47] [渡瀬]
122: 1756| [45] [「そ、それってどういう……？」]
123: 1782| [47] [洵]
124: 1785| [45] [「……あの部屋に入ればわかるよ……」]
125: 1790| [45] [洵は忌々しげに、その部屋の扉を見る。]
126: 1850| [45] [扉はもう閉まっていたが――]
127: 1855| [45] [そこから鉄さびにも似た臭いが漂ってきた。]
128: 1860| [47] [渡瀬]
129: 1861| [45] [（何の臭いだ……？）]
130: 1866| [45] [そう思うや否や、得体の知れない恐怖が湧き上がってきた。]
131: 1871| [45] [渡瀬はごくりと唾を飲み込み、それから覚悟を決める。]
132: 1879| [47] [渡瀬]
133: 1882| [45] [「……ユウリは、さがってた方がいい」]
134: 1915| [47] [ユウリ]
135: 1918| [45] [「は、はい……！」]
136: 1932| [45] [引きつった顔でユウリがうなずく。]
137: 1989| [47] [洵]
138: 1992| [45] [「隊長、副隊長、いい……？」]
139: 2000| [47] [風見]
140: 2003| [45] [「え、ええ」]
141: 2011| [47] [渡瀬]
142: 2014| [45] [「ああ……」]
143: 2019| [45] [洵はその部屋に歩み寄り――]
144: 2024| [45] [扉を、開けた。]
145: 2217| [47] [渡瀬]
146: 2220| [45] [「ッ！？」]
147: 2225| [45] [真っ先に眼に飛び込んで来たのは、赤い色。]
148: 2230| [45] [室内を染める血の色だった。]
149: 2235| [45] [その血だまりの中、渡瀬のすぐ足元に、ぼろくずのようになった死体が２つ倒れている。]
150: 2240| [45] [そして――部屋の奥にも１つ死体があった。]
151: 2245| [45] [風見たちの所持していたものと同じ、放射線防護服を着た死体が。]
152: 2250| [45] [それを見た瞬間――風見が声を上げた。]
153: 2258| [47] [風見]
154: 2261| [45] [「そ、そんな……！？」]
155: 2269| [47] [風見]
156: 2272| [45] [「あれは、あの死体は……！！」]
157: 2277| [45] [洵が悲痛な顔でうなずき、そして答える。]
158: 2285| [47] [洵]
159: 2288| [45] [「堂島先輩……だよ」]
160: 2293| [45] [その言葉に渡瀬は息を呑んだ。]
161: 2298| [45] [記憶にはないが、洵が名を知っているという事は――]
162: 2306| [47] [渡瀬]
163: 2309| [45] [「まさか、あの人は、オレたちの……！？」]
164: 2317| [47] [風見]
165: 2320| [45] [「ええ……彼は、我々と同じＡチームのメンバーです……！」]
166: 2328| [47] [洵]
167: 2331| [45] [「どうして……どうして、こんなことに……」]
168: 2336| [45] [風見と洵が、その場に崩れ落ちる。]
169: 2341| [47] [渡瀬]
170: 2342| [45] [（ど、どういう事だ……！）]
171: 2347| [45] [渡瀬はこの施設の中で『死体』を見るとしたら、恐らく焼け死んだものだろうと思っていた。]
172: 2352| [45] [だがここにあるのは違う。]
173: 2357| [45] [何者かの手によって、命を奪われた死体――]
174: 2362| [45] [明らかに、他殺体だった。]
175: 2370| [47] [渡瀬]
176: 2373| [45] [「い、一体……」]
177: 2381| [47] [渡瀬]
178: 2384| [45] [「ここで、何が……！？」]
179: 2389| [45] [その問いに答える声はない。]
180: 2394| [45] [渡瀬は血臭の漂うその部屋で、ただ呆然と立ち尽くしていた。]
181: 2440| [45] [――原子炉メルトダウン事故が発生した施設に、人が閉じ込められた――]
182: 2445| [45] [それだけでもここは、最悪の現場だと思っていた。]
183: 2450| [45] [少しでも気を抜けば、命を落とすような地獄だと……。]
184: 2495| [45] [だが渡瀬たちの命を脅かすのは、火や放射線のみではないのかもしれない。]
185: 2500| [45] [隔壁開放まで、あと約８時間。]
186: 2505| [45] [彼らの命がけの脱出劇は、まだ始まったばかりだった……。]
