  0:   51| [55] [√After Chapter 5]
  1:   66| [45] [--Watase and Ena were currently in Area 2's outer ring.]
  2:   71| [45] [Taking into account the state of things, Salyu had to have run to either Area 1 or in the direction of Area 3.]
  3:   76| [45] [But they didn't know which way she'd gone.]
  4:  138| [47] [Ena]
  5:  141| [45] ["We have no choice. Let's split up."]
  6:  149| [47] [Watase]
  7:  152| [45] ["No! Going alone is way too dangerous after everything that's happened!"]
  8:  178| [47] [Ena]
  9:  181| [45] ["Then what should we--"]
 10:  186| [45] [Just as Ena said that,]
 11:  289| [45] [she and Watase heard a sound coming from far off.]
 12:  303| [47] [Ena]
 13:  306| [45] ["That sound was...!?"]
 14:  314| [47] [Watase]
 15:  317| [45] ["It came from this way! Let's go!"]
 16:  365| [45] [Watase and Ena ran towards the source of the sound: Area 1.]
 17:  376| [45] [On their way, they heard yet another noise--]
 18:  391| [47] [Watase]
 19:  394| [45] ["There's no doubt about it! It came from the connecting passageway!"]
 20:  399| [45] [The two of them followed the sound as quickly as they could.]
 21:  560| [45] [They ran through the connecting passageway and entered Area 1--]
 22:  629| [47] [Ena]
 23:  632| [45] ["--Ah! Captain Kasasagi, look at this!"]
 24:  679| [47] [Watase]
 25:  682| [45] ["!?"]
 26:  687| [45] [Only to see red bloodstains scattered here and there.]
 27:  696| [47] [Watase]
 28:  697| [45] [(It's fresh... is it Salyu's blood!?)]
 29:  702| [45] [The blood trail continued all the way to the stairwell.]
 30:  728| [47] [Ena]
 31:  731| [45] ["Let's follow it!"]
 32:  739| [47] [Watase]
 33:  742| [45] ["Yeah!"]
 34:  747| [45] [Watase and Ena ran over to the stairwell.]
 35:  855| [45] [The emergency staircase was collapsed as it had been earlier, leaving only a room full of debris.]
 36:  860| [45] [But Salyu wasn't there.]
 37:  904| [45] [And at the end of the scattered blood trail--]
 38:  912| [47] [Watase]
 39:  915| [45] ["...!?"]
 40:  920| [45] [--was a vinyl bag full of a red liquid.]
 41:  925| [45] [The bag's label read "AB".]
 42:  933| [47] [Watase]
 43:  936| [45] ["Isn't this... a blood transfusion pack!?"]
 44:  962| [47] [Ena]
 45:  965| [45] ["What's something like that doing here!?"]
 46:  970| [45] [Watase and Ena stood there in confusion--]
