  0:  221| [55] [√Before Chapter1]
  1:  333| [47] [夏彦]
  2:  334| [45] [「……」]
  3:  372| [47] [夏彦]
  4:  375| [45] [「……ん……」]
  5:  413| [45] [その日、夏彦が目を覚ますと、彼は自宅のベッドの上にいた。]
  6:  418| [45] [当然の事だ。物心ついた時からずっと、この部屋で寝起きしているのだから。]
  7:  423| [45] [体を起こし、ベッド脇に置いておいた眼鏡をかけ、大きく伸びをする。]
  8:  437| [47] [夏彦]
  9:  440| [45] [「ふぁぁ～あっ……」]
 10:  445| [45] [何か気がかりな夢を見ていたような気がするが――思い出せない。]
 11:  657| [45] [ふと腕時計を見ると、表示は『９月１０日』の『６時１９分』を示していた。]
 12:  662| [45] [時計は今日も問題なく、時を刻んでいるようだ。この１０年間壊れた事はない。]
 13:  713| [45] [彼はベッドを降り、制服に着替え、自室を出た。]
 14: 1001| [45] [リビングに入ると、軽やかな鼻歌が、キッチンから聞こえてきた。]
 15: 1016| [47] [？？]
 16: 1019| [45] [「ふんふんふんふ～ん♪」]
 17: 1028| [47] [夏彦]
 18: 1031| [45] [「おはよう」]
 19: 1036| [45] [そう声をかけると、]
 20: 1044| [47] [？？]
 21: 1047| [45] [「あ、おっはよー」]
 22: 1052| [45] [と元気な声が返ってくる。]
 23: 1057| [45] [テレビではニュースキャスターが、淡々とした口調で喋っていた。]
 24: 1069| [47] [キャスター]
 25: 1072| [45] [「――次のニュースです」]
 26: 1077| [47] [キャスター]
 27: 1080| [45] [「今朝未明、鹿鳴市の『ＢＣトレーニングセンター』に、過激派団体による怪文書が届きました」]
 28: 1085| [47] [キャスター]
 29: 1088| [45] [「先ごろ行われたＢＣセミナーとの関連も指摘されており、警察は市の保安課と共同で――」]
 30: 1100| [45] [夏彦はそれを聞き流しながら思う。]
 31: 1105| [47] [夏彦]
 32: 1106| [45] [（そろそろ彼女が起きてくる頃か……）]
 33: 1118| [45] [夏彦がそう思った時、リビングのドアが開いた。]
 34: 1198| [47] [悠里]
 35: 1201| [45] [「むにゅむにゅ～……」]
 36: 1249| [47] [夏彦]
 37: 1252| [45] [「おはよう悠里」]
 38: 1266| [47] [悠里]
 39: 1269| [45] [「んにゅ……ひこりん、ましろん、お……はよー……」]
 40: 1295| [45] [悠里が夏彦たちのあだ名を呟きつつ、テーブルに突っ伏す。]
 41: 1300| [45] [ちょうどその時、もう１人の少女がキッチンから出てきた。]
 42: 1361| [47] [ましろ]
 43: 1364| [45] [「おはよう悠里！　ちょうどご飯が出来たとこだよ～」]
 44: 1369| [45] [そう元気に言ったのは、『ましろ』――彼女も夏彦の幼馴染だ。]
 45: 1374| [45] [二度寝しかけていた悠里も、ましろの声で覚醒する。]
 46: 1382| [47] [悠里]
 47: 1385| [45] [「……ぬ？　わーい、ごはんだごはんだ～」]
 48: 1393| [47] [夏彦]
 49: 1396| [45] [「今日のメニューは？」]
 50: 1444| [47] [ましろ]
 51: 1447| [45] [「ハッシュドポテトにベーコンエッグ、サラダにオムレツにオレンジジュース」]
 52: 1455| [47] [ましろ]
 53: 1458| [45] [「いわゆるアメリカンブレックファーストだよ」]
 54: 1466| [47] [夏彦]
 55: 1469| [45] [「おぉ、朝から充実してるな」]
 56: 1477| [47] [悠里]
 57: 1480| [45] [「おいしそ～」]
 58: 1629| [47] [ましろ]
