  0:   47| [55] [√Before Chapter5]
  1:   58| [45] [――悠里の家で、夫婦喧嘩の声を聞いた一件の後――]
  2:   63| [45] [夏彦は悠里を心配し、彼女に会うため、毎日公園に行っていた。]
  3:   68| [45] [だがなかなか会えないまま、３日が過ぎ……]
  4:   73| [45] [４日目に意を決し、再び彼女の家に向かった。]
  5:  147| [45] [――悠里は自宅の前に、ぽつんと佇んでいた。]
  6:  152| [45] [ひどく寂しそうな表情で。]
  7:  157| [47] [夏彦]
  8:  160| [45] [「悠里」]
  9:  180| [45] [夏彦が声をかけると、彼女はぱあっと表情を輝かせた。]
 10:  206| [47] [悠里]
 11:  209| [45] [「あ、夏彦くん。あそびにきてくれたの？」]
 12:  243| [47] [夏彦]
 13:  246| [45] [「あ、あぁ。こうえんにこないから、しんぱいになって……」]
 14:  272| [47] [悠里]
 15:  275| [45] [「そっか、うれしいな。わたしも夏彦くんとあそびたかったんだ」]
 16:  280| [47] [夏彦]
 17:  283| [45] [「こうえんにくればよかったのに」]
 18:  309| [47] [悠里]
 19:  312| [45] [「だめなの、いけないの」]
 20:  320| [47] [悠里]
 21:  323| [45] [「おとうさんとおかあさんが、まちの子とあそんじゃいけないっていうから……」]
 22:  328| [47] [夏彦]
 23:  331| [45] [「……！」]
 24:  336| [45] [そう言えば悠里の両親は、『コミュニケーターが気持ち悪い』と言っていた。]
 25:  341| [45] [実の娘も、コミュニケーターだというのに。]
 26:  346| [47] [夏彦]
 27:  349| [45] [「そっか……でも、こっそりあそんじゃおう」]
 28:  354| [47] [夏彦]
 29:  357| [45] [「悠里んちであそぶ？　ぼくんちであそぶ？」]
 30:  383| [47] [悠里]
 31:  386| [45] [「うちはだめ。おとうさんとおかあさんがいるから」]
 32:  392| [45] [――その時、またも例の怒声が家の中から聞こえてきた。]
 33:  397| [47] [悠里の父]
 34:  400| [45] [「おい、入り口のあいつなんとかしろよ！　邪魔くせぇし辛気臭ぇんだよ！」]
 35:  405| [47] [悠里の母]
 36:  408| [45] [「ワガママ言うから追い出しただけよ！　教育するつもりもないくせにギャースカ騒がないでよ！」]
 37:  431| [47] [悠里]
 38:  432| [45] [「……」]
 39:  437| [47] [夏彦]
 40:  438| [45] [「……」]
 41:  443| [45] [生まれて初めて聞くような、口汚い言葉だった。]
 42:  448| [45] [悠里の表情がどんどん暗くなっていく。]
 43:  453| [45] [夏彦はもう耐えられず、彼女に言った。]
 44:  464| [47] [夏彦]
 45:  467| [45] [「……よし、悠里。いまからこうえんにいこう」]
 46:  493| [47] [悠里]
 47:  496| [45] [「え？」]
 48:  501| [47] [夏彦]
 49:  504| [45] [「公園じゃなくても、どこかにいこうよ」]
 50:  530| [47] [悠里]
 51:  533| [45] [「でも、かってにあそびにいったら、おとうさんにおこられるかも……」]
 52:  538| [47] [夏彦]
 53:  541| [45] [「おとうさんなんかいいからさ。悠里はぼくとあそびたくないの？」]
 54:  567| [47] [悠里]
 55:  570| [45] [「……そんなわけないよ」]
 56:  575| [47] [夏彦]
 57:  578| [45] [「それならいこう、さぁ！」]
 58:  583| [45] [夏彦は悠里の手を引く。]
 59:  588| [45] [今すぐこの場から、悠里を遠ざけたいと思って。]
 60:  593| [45] [悠里は一瞬、逡巡したが――]
 61:  628| [47] [悠里]
 62:  631| [45] [「あっ……」]
 63:  657| [47] [悠里]
 64:  660| [45] [「……うん」]
 65:  665| [45] [やがて小さく頷き、夏彦と共に歩き出した。]
 66:  783| [45] [――夏彦は悠里を連れて、公園に行った。]
 67:  788| [45] [ましろでもいれば、にぎやかに遊べると思ったが――]
 68:  814| [47] [悠里]
 69:  817| [45] [「だれもいないね……」]
 70:  822| [47] [夏彦]
 71:  825| [45] [「う、うん」]
 72:  830| [45] [運が悪い事に、今日は誰もいなかった。]
 73:  835| [45] [みんな街外れの、『秘密基地』の方にいっているのかもしれない。]
 74:  840| [47] [夏彦]
 75:  843| [45] [「……まぁいいや、２人であそぼうよ」]
 76:  848| [47] [夏彦]
 77:  851| [45] [「なにしてあそぶ？」]
 78:  877| [47] [悠里]
 79:  880| [45] [「きょうはご本もってきてないから……おさんぽでもしない？」]
 80:  885| [47] [夏彦]
 81:  888| [45] [「えっ？　う、うん。悠里がそれでいいなら……」]
 82:  893| [45] [２人は何をするわけでもなく、公園の中を散策した。]
 83:  898| [47] [夏彦]
 84:  901| [45] [「……たのしい？」]
 85:  927| [47] [悠里]
 86:  930| [45] [「たのしいよ。夏彦くんといっしょにいるもの」]
 87:  935| [47] [夏彦]
 88:  938| [45] [「それならいいけど……ほかのともだちもいれば、もっといろんなあそびができるんだけどな」]
 89:  964| [47] [悠里]
 90:  967| [45] [「ほかのともだちって？」]
 91:  972| [47] [夏彦]
 92:  975| [45] [「えーっと、たとえばおんなの子だと……」]
 93:  980| [47] [夏彦]
 94:  983| [45] [「そうだ。ましろっていう、すごいげんきでうるさいやつがいるんだよ」]
 95:  988| [47] [夏彦]
 96:  991| [45] [「きっと悠里とも、あえばすぐともだちになるんじゃないかな」]
 97: 1017| [47] [悠里]
 98: 1020| [45] [「ましろちゃんかぁ。わたしなんかと、ともだちになってくれるかな」]
 99: 1025| [47] [夏彦]
100: 1028| [45] [「だいじょうぶだよ。あいつバカだけど、とにかくだれとでもすぐなかよくなるのがとりえだから」]
101: 1033| [47] [夏彦]
102: 1036| [45] [「そういえば前にも、こんなことがあってさ……」]
103: 1041| [45] [夏彦はひたすらに話し続けた。]
104: 1046| [45] [悠里が、家のことや時間のことをできるだけ忘れられるように。]
105: 1051| [45] [しかしどれだけ夏彦が頑張っても――いつかは日が沈む。]
106: 1175| [47] [悠里]
107: 1178| [45] [「……もうそろそろ、くらくなっちゃうね」]
108: 1183| [45] [沈んでいく陽を見ながら、悠里がポツリと漏らす。]
109: 1188| [45] [笑顔はもう消えていた。]
110: 1196| [47] [悠里]
111: 1199| [45] [「わたし、かえらなくちゃ」]
112: 1204| [47] [夏彦]
113: 1207| [45] [「……かえるの？」]
114: 1233| [47] [悠里]
115: 1236| [45] [「うん。あんまりおそくなると、おとうさんがおこるから……」]
116: 1241| [47] [夏彦]
117: 1242| [45] [「……」]
118: 1268| [47] [悠里]
119: 1271| [45] [「じゃあね、夏彦くん、またあそんでね」]
120: 1276| [45] [そう言い残し、歩き去ろうとする悠里。]
121: 1281| [45] [悠里の背中は小さく、まるで誰かに助けを求めているようで――]
122: 1286| [47] [夏彦]
123: 1289| [45] [「……まって、悠里！」]
124: 1294| [45] [思わず夏彦は、声を挙げていた。]
125: 1320| [47] [悠里]
126: 1323| [45] [「え……？」]
127: 1328| [47] [夏彦]
128: 1331| [45] [「悠里、かえりたくないんだろ？」]
