  0:  102| [55] [√Current Chapter2]
  1:  114| [45] [――]
  2:  119| [45] [――――]
  3:  124| [45] [――――――５回目の覚醒は、ゆるやかに始まった。]
  4:  285| [47] [？？]
  5:  288| [45] [「――……テロリストが危険――……」]
  6:  296| [47] [？？]
  7:  299| [45] [「――……９人の中に、テロリストが――……」]
  8:  307| [47] [？？]
  9:  310| [45] [「――……そんな事、誰も言ってないでしょう！」]
 10:  327| [47] [？？]
 11:  330| [45] [「ではこの６人の中にテロリストがいると？　それはますますありえません」]
 12:  417| [45] [男の周囲で複数の人間が、口々に何かを言い争っている。]
 13:  422| [47] [夏彦]
 14:  423| [45] [（……今度はどういう状況だ……？）]
 15:  428| [47] [夏彦]
 16:  429| [45] [（テロリストがどうのって……まさか男の正体がばれたのか！？）]
 17:  434| [47] [夏彦]
 18:  435| [45] [（でも、ちゃんと記憶を消したはずなのに――！？）]
 19:  453| [47] [渡瀬]
 20:  456| [45] [「……わかった！　ちょっと落ち着こうみんな！」]
 21:  536| [47] [恵那]
 22:  539| [45] [「なによ隊長さん！　あなただけ、何も意見を言ってないじゃない！」]
 23:  544| [45] [戻ってきた夏彦の視覚に、まず恵那の顔が映った。]
 24:  598| [45] [その周囲に、洵と副隊長と、あの少女と――]
 25:  697| [45] [そして宇喜多がいる。]
 26:  702| [47] [夏彦]
 27:  703| [45] [（ッ！　なんで、おじさんまでこのラボに！？）]
 28:  708| [47] [夏彦]
 29:  709| [45] [（だっておじさんは、あの授業の時――）]
 30:  837| [47] [宇喜多]
 31:  840| [45] [「万が一の事態が発生した際には、自動的に放射能漏洩防止システムが作動」]
 32:  906| [47] [宇喜多]
 33:  909| [45] [「無数に設置された『隔壁』や『ゲート』が閉鎖され、放射性物質の拡散を完全にシャットアウトします」]
 34: 1000| [47] [夏彦]
 35: 1001| [45] [（メルトダウンが起きたら地下に閉じ込められるって事は、おじさんも知ってたはずなのに……！）]
 36: 1006| [47] [夏彦]
 37: 1007| [45] [（そのおじさんが、どうして逃げずに残ってるんだ？）]
 38: 1012| [47] [夏彦]
 39: 1013| [45] [（やっぱり、おじさんは内通者だったのか……！？）]
 40: 1018| [45] [一瞬、宇喜多への疑惑が深くなったが――]
