  0:  102| [55] [√Current Chapter 2]
  1:  114| [45] [--]
  2:  119| [45] [----]
  3:  124| [45] [------The fifth awakening groggily began.]
  4:  285| [47] [???]
  5:  288| [45] ["--... terrorist down here with us--..."]
  6:  296| [47] [???]
  7:  299| [45] ["--... the terrorist is one of the nine--..."]
  8:  307| [47] [???]
  9:  310| [45] ["--... No one's saying that at all!"]
 10:  327| [47] [???]
 11:  330| [45] ["Then do you mean to say there's a terrorist amongst the six of us? That's even more unlikely."]
 12:  417| [45] [Several people around the man were arguing about something.]
 13:  422| [47] [Natsuhiko]
 14:  423| [45] [(... What's the situation this time...?)]
 15:  428| [47] [Natsuhiko]
 16:  429| [45] [(What's this about a terrorist...? Don't tell me they figured out the man's true colors!?)]
 17:  434| [47] [Natsuhiko]
 18:  435| [45] [(But how!? I could've sworn I erased his memories--!)]
 19:  453| [47] [Watase]
 20:  456| [45] ["... All right! Let's just all calm down for a minute, guys!"]
 21:  536| [47] [Ena]
 22:  539| [45] ["What's your problem!? You're the only one who hasn't spoken their thoughts on the matter, right!?"]
 23:  544| [45] [Once Natsuhiko regained his sight, he first saw Ena's face.]
 24:  598| [45] [Near her were Jun, the lieutenant, the girl--]
 25:  697| [45] [--and Ukita.]
 26:  702| [47] [Natsuhiko]
 27:  703| [45] [(!! Even Mr. Ukita's in LABO!? Why!?)]
 28:  708| [47] [Natsuhiko]
 29:  709| [45] [(I mean, when Mr. Ukita had that guest lecture, he said--)]
 30:  837| [47] [Ukita]
 31:  840| [45] ["In the unlikely event a leak occurs, the automatic radiation leakage prevention system activates."]
 32:  906| [47] [Ukita]
 33:  909| [45] ["Several 'bulkheads' and 'gates' are installed that lock down to completely shut out the scattering of radioactive material."]
 34: 1000| [47] [Natsuhiko]
 35: 1001| [45] [(He should've very well known that he could've been locked underground in the case of a meltdown...!)]
 36: 1006| [47] [Natsuhiko]
 37: 1007| [45] [(So why did Mr. Ukita stay behind during the evacuation?)]
 38: 1012| [47] [Natsuhiko]
 39: 1013| [45] [(Was he really the sleeper agent...!?)]
 40: 1018| [45] [For a moment, he saw Ukita in a suspicious light, but--]
 41: 1023| [47] [Natsuhiko]
