  0:  147| [55] [√Double Chapter1]
  1:  159| [45] [『お前とぼくで、みんなをこの悪夢から救うんだ』]
  2:  164| [45] [そう呼びかけた夏彦の目の前で――]
  3:  169| [45] [渡瀬は、気を失った。]
  4:  177| [47] [夏彦]
  5:  180| [45] [「おい待て、寝てる場合じゃないぞ！　起きてくれ！」]
  6:  185| [45] [だが呼びかけても、渡瀬は目覚めない。]
  7:  190| [45] [それどころか、]
  8:  237| [45] [泡を吹き、痙攣し始めた。]
  9:  245| [47] [夏彦]
 10:  248| [45] [「お、おい！？　どうした！？」]
 11:  253| [45] [そう呼びかけても反応がない。明らかに様子がおかしい。]
 12:  258| [47] [夏彦]
 13:  259| [45] [（なんだこれ！？　橘さんに殴られたせいか！？）]
 14:  265| [45] [そう思った時、周囲の巨大装置の駆動音が耳に入った。]
 15:  324| [47] [夏彦]
 16:  325| [45] [（いや、この機械に原因が！？）]
 17:  395| [45] [夏彦は渡瀬の懐から、プロキオンを取り出す。]
 18:  406| [45] [そしてスイッチを入れると、]
 19:  432| [45] [数値は一瞬にして『１３４９２ｍＳｖ』まで上昇した。]
 20:  437| [47] [夏彦]
 21:  438| [45] [（ッ！　なんて数字だ！）]
 22:  443| [45] [『ＷＸ粒子増幅器』とやらのマニュアルには、『８０００ｍＳｖ以上は意識断絶等の症状を起こす』と書かれていた。]
 23:  490| [47] [夏彦]
 24:  491| [45] [（しかも渡瀬は、そろそろ投与してたＡＤが切れる頃だ……）]
 25:  496| [47] [夏彦]
 26:  497| [45] [（この装置が有害な粒子を撒き散らしているとしたら、痙攣や失神はそのせいか！？）]
 27:  502| [45] [だが――だとしたらなぜ、夏彦は平気なのだろうか。]
 28:  507| [45] [頭痛などは特に感じない。撃たれた傷は痛むが、なんとか立っていられる。]
 29:  512| [45] [渡瀬たちの手当てを受け、夏彦の容態は快方に向かっていた。]
 30:  517| [47] [夏彦]
 31:  518| [45] [（全快には程遠いけど……誰かの心に潜り続けていなければ、死んでしまうってほどじゃない）]
 32:  523| [47] [夏彦]
 33:  524| [45] [（だけど渡瀬は、ここにいたらヤバそうだ。Ｎエリアの外に出してやらなきゃ！）]
 34:  567| [45] [そう思った時、視界の端に、あるものが映った。]
 35:  577| [45] [真っ二つに割れたセキュリティカード。]
 36:  582| [45] [元々夏彦が持っていて、渡瀬に踏み割られた、『Ｌｖ．Ｎ』のカードだ。]
 37:  587| [47] [夏彦]
 38:  588| [45] [（あれは……まだ使えるか？）]
 39:  593| [45] [拾い上げてみると、割れてはいるが、スロットに通す認証部分は無事なようだった。]
 40:  638| [45] [それをポケットにしまい、輸血キットを脇に抱え、渡瀬の手を掴む。]
 41:  646| [47] [夏彦]
 42:  649| [45] [「くっ……よいしょっ！！」]
 43:  698| [45] [そのまま床を引きずって、渡瀬を移動させ始めた。]
 44:  703| [47] [夏彦]
 45:  704| [45] [（第２エリア方面から出ちゃダメだ……向こうには橘さんがいる）]
 46:  709| [47] [夏彦]
 47:  710| [45] [（第１・第３エリアも危ない。おじさんや洵さんに出くわしかねない）]
 48:  715| [47] [夏彦]
 49:  716| [45] [（そして第４・第５エリア内周棟は汚染されていた……じゃあ必然的に、第６エリアに行くしかない）]
 50:  722| [45] [夏彦はそう思いながら、必死で渡瀬を引きずった。]
 51:  727| [47] [夏彦]
 52:  728| [45] [（くそ、重い……何ｋｇあるんだ？）]
 53:  733| [45] [体格を見るに、９０ｋｇ近くはあるだろう。]
 54:  749| [47] [夏彦]
 55:  752| [45] [「うっ……ぐっ……！」]
 56:  765| [45] [力を込めるごとに、全身が痛む。]
 57:  770| [45] [腕の銃創が開き、血が滲む。]
 58:  783| [45] [その傷を負わせた相手を、いま夏彦は助けようとしていた。]
 59:  857| [45] [さらに引きずり、連絡通路も抜ける。]
 60:  928| [45] [そして第６エリアに入ったところで――]
 61:  992| [47] [夏彦]
 62:  995| [45] [「く、そ……も、もう限界だ……！」]
 63: 1022| [45] [夏彦は力尽き、その場に崩れ落ちた。]
 64: 1027| [45] [わずかに回復していた体力を使いきり、ぜぇぜぇと息をつく。]
 65: 1032| [45] [体が自分のものではないように重く、座っているのも億劫なほどだった。]
 66: 1037| [47] [夏彦]
 67: 1038| [45] [（だけど……ここまでくればさすがに、安全じゃないか？）]
 68: 1104| [45] [見ればプロキオンの数値は『３９１１ｍＳｖ』まで減っていた。]
 69: 1109| [45] [前に第６エリアに渡瀬が来た時より、だいぶ数値が下がっているようだ。]
 70: 1114| [47] [夏彦]
 71: 1115| [45] [（……ん！？　そう言えば、数値が下がったのを見たのは初めてだな）]
 72: 1120| [45] [ずっと数値は上がり続けていたのに、ここに来てようやく『数値の減少』が見られた。]
 73: 1125| [45] [原因はわからないが――]
 74: 1139| [47] [夏彦]
 75: 1140| [45] [（ひとまずありがたい……ぼくにとっても、渡瀬にとっても）]
 76: 1148| [47] [夏彦]
 77: 1151| [45] [「なぁ、渡瀬……少しは楽になったか？」]
 78: 1156| [45] [そう呼びかけてから、ふと気付く。]
 79: 1161| [47] [夏彦]
 80: 1162| [45] [（いや……呼び捨てにしてると目覚めた時に、変に思われるか）]
 81: 1167| [45] [夏彦は口調を改め、敬語で呼びかける。]
 82: 1175| [47] [夏彦]
 83: 1178| [45] [「隊長さん、起きて下さい……！」]
 84: 1186| [47] [夏彦]
 85: 1189| [45] [「聞こえますか隊長さん、隊長さん！！」]
 86: 1194| [45] [夏彦が繰り返し、声をかけると――]
 87: 1199| [45] [やがて渡瀬の身が、かすかに動いた。]
