  0:   61| [45] [――それから数時間。悠里は病室でおとなしくしていた。]
  1:  110| [45] [だが天川博士はなかなか戻って来ず、夏彦がどうなったかもわからない。]
  2:  115| [45] [静寂の中、待ち続けていると――]
  3:  120| [45] [やがて不意に、病室の外が騒がしくなった。]
  4:  194| [45] [――それは大勢の人の足音らしかった。]
  5:  199| [45] [廊下を足早に歩き、この病室に近づいてきているようだ。]
  6:  204| [47] [悠里]
  7:  205| [45] [（え……な、なに？）]
  8:  210| [45] [足音は乱暴で荒々しく、悠里は少し怖くなった。]
  9:  217| [47] [？？]
 10:  220| [45] [「この病室の患者ですか？」]
 11:  225| [47] [？？]
 12:  228| [45] [「あぁ」]
 13:  233| [47] [？？]
 14:  236| [45] [「院長と話はついている。この病棟にも他に患者はいない。心おきなく搬出してくれ」]
 15:  241| [45] [部屋の前で何か囁くような声が聞こえる。]
 16:  256| [45] [そこにドタドタと駆け寄ってくる足音が混じり、さらにわめき声が響いた。]
 17:  264| [47] [美夜子]
 18:  267| [45] [「ちょっとあなたがた、何をしているの！」]
 19:  272| [45] [天川博士の声だった。]
 20:  279| [45] [悠里は少し安堵したが、やはり怖くて、部屋の外の様子を確かめようという気は起きなかった。]
 21:  287| [47] [美夜子]
 22:  290| [45] [「江里口さん、保安六課まで動員してなんのつもり？」]
 23:  295| [47] [江里口]
 24:  298| [45] [「上の指示ですよ」]
 25:  303| [47] [江里口]
 26:  306| [45] [「本日を以って、琴乃悠里は、当ラボの第４号被験体に登録されました」]
 27:  314| [47] [美夜子]
 28:  317| [45] [「なんですって……！」]
 29:  325| [47] [美夜子]
 30:  328| [45] [「冗談でしょう、この娘は息子の友達なのよ！」]
 31:  333| [47] [江里口]
 32:  336| [45] [「ラボの頭脳たる、天川美夜子上級研究員とも思えない発言ですな」]
 33:  341| [47] [江里口]
 34:  344| [45] [「世界中見渡しても極めて稀な、Ｓ級コミュニケーター……」]
 35:  349| [47] [江里口]
 36:  352| [45] [「それがどれほどの危険性を持つか、わからないあなたではないでしょう？」]
 37:  360| [47] [美夜子]
 38:  363| [45] [「私の息子も被験体にするつもりね！？」]
 39:  368| [47] [江里口]
 40:  371| [45] [「もちろんです」]
 41:  376| [47] [江里口]
 42:  379| [45] [「個人的感情を優先し、それを野放しにするなど、そんな身勝手が許されるわけがない」]
 43:  387| [47] [美夜子]
 44:  390| [45] [「ふざけないで！」]
 45:  398| [47] [美夜子]
 46:  401| [45] [「先日の一件といい、近頃のラボは倫理が欠落しているわ！」]
 47:  409| [47] [美夜子]
 48:  412| [45] [「これ以上それが続くようなら、超科局に告発するわよ！？」]
 49:  417| [47] [江里口]
 50:  420| [45] [「それができない事は、わかってますよね？　ご子息の身の安全を考えると……」]
 51:  428| [47] [美夜子]
 52:  431| [45] [「……っ」]
 53:  436| [45] [重い沈黙が訪れる。]
 54:  441| [45] [やがて押し殺した声で、天川博士が呟いた。]
 55:  449| [47] [美夜子]
 56:  452| [45] [「……悠里ちゃんは、まだ火災の後遺症で、動ける状態じゃないわ」]
 57:  460| [47] [美夜子]
 58:  463| [45] [「ラボへの輸送は、彼女の体に大きな負担を強いる事になる……」]
 59:  471| [47] [美夜子]
 60:  474| [45] [「江里口さん。保安六課の方々を連れて、今日は帰りなさい」]
 61:  479| [47] [江里口]
 62:  482| [45] [「……まぁいいでしょう。今日のところは天川博士の顔を立てます」]
 63:  487| [47] [江里口]
 64:  490| [45] [「また来ますよ」]
 65:  507| [45] [その言葉と共に、大勢の足音が遠ざかっていった。]
 66:  512| [45] [それが聞こえなくなった頃、]
 67:  569| [45] [病室の扉が開き、天川博士が入ってきた。]
 68:  577| [47] [悠里]
 69:  580| [45] [「あ……博士……」]
 70:  606| [47] [美夜子]
 71:  609| [45] [「悠里ちゃん……」]
 72:  614| [45] [博士は力なく笑い、悠里の傍に歩み寄って来た。]
 73:  640| [47] [美夜子]
 74:  643| [45] [「……聞こえた？　今の会話」]
 75:  651| [47] [悠里]
 76:  654| [45] [「は、はい……よくわからないところがおおかったですけど……」]
 77:  662| [47] [悠里]
 78:  665| [45] [「……こまったことに、なったんでしょうか」]
 79:  691| [47] [美夜子]
 80:  694| [45] [「そうね……」]
 81:  699| [45] [博士は深々とため息をついた。]
 82:  707| [47] [悠里]
