  0:   53| [45] [――――――]
  1:   58| [45] [――――]
  2:   63| [45] [――]
  3:   74| [45] [――何かが爆ぜるような音と熱で、悠里は目を覚ました。]
  4:  157| [47] [悠里]
  5:  160| [45] [「う、ううん……」]
  6:  168| [47] [悠里]
  7:  171| [45] [「ひ……ひこりん……」]
  8:  176| [45] [一瞬、かつて夏彦と共にラボに閉じ込められた時の事を思い出し、思わず彼の名を呼んだ。]
  9:  181| [45] [だが違う。今はあれから９年経った、２０３０年９月１６日だ。]
 10:  186| [45] [悠里は頭を振って辺りを見回す。男の姿は、そこにはなかったが――]
 11:  209| [47] [悠里]
 12:  212| [45] [「あっ……！」]
 13:  217| [45] [廊下は炎に包まれていた。]
 14:  222| [45] [気絶している間に、炎が燃え広がったのだろう。]
 15:  230| [47] [悠里]
 16:  233| [45] [「に……逃げなきゃ……！」]
 17:  244| [45] [悠里は混乱しつつも立ち上がり、炎と逆方向に駆け出した。]
 18:  249| [45] [走りながら悠里は考える。]
 19:  254| [47] [悠里]
 20:  255| [45] [（あれからどのくらい時間が経ったの？）]
 21:  260| [47] [悠里]
 22:  261| [45] [（さっきの男の人はどこへいったの！？）]
 23:  266| [45] [男は悠里を気絶させてから、姿を消した。]
 24:  271| [45] [なにが目的だったのか、これではまるでわからない。]
 25:  276| [47] [悠里]
 26:  277| [45] [（ううん、そんなこと考えているヒマはないよ！　今はとにかく生き延びなきゃ！）]
 27:  326| [45] [悠里は疑問を振り切り、廊下を駆け抜けた。]
 28:  375| [45] [途中立ち寄った部屋で、放置されていたレベル６のセキュリティカードを手に入れる。]
 29:  429| [45] [天川美夜子研究室にも行ってみたが、夏彦たちの姿はそこにはなかった。]
 30:  434| [45] [恐らく、自力で脱出できたのだろう。]
 31:  439| [47] [悠里]
 32:  440| [45] [（よかった……）]
 33:  468| [45] [ほっとする悠里を、炎が襲う。]
 34:  476| [47] [悠里]
 35:  479| [45] [「きゃっ！」]
 36:  484| [45] [悠里は火と煙に追われるままに逃げた。]
 37:  542| [45] [燃え盛るファクトリーを経由し――]
 38:  620| [45] [さらに第１エリアへ。]
 39:  625| [45] [だがそのどこにも、脱出口はなかった。]
 40:  641| [47] [悠里]
 41:  644| [45] [「あ、あ、あっ……！」]
 42:  650| [45] [もはや逃げ場はない。]
 43:  655| [45] [行く先も来た道も、火に塞がれていた。]
 44:  663| [47] [悠里]
 45:  666| [45] [「あの部屋に……」]
 46:  671| [45] [悠里はとにかく火から逃げたい一心で、手近な部屋に飛び込んだ。]
 47:  757| [45] [煙を吸い込まないように、身を低くして、机の下に潜り込む。]
 48:  762| [45] [だがこの部屋が焼き尽くされるのも、もはや時間の問題に思えた。]
 49:  767| [47] [悠里]
 50:  768| [45] [（ああ……わたし、ここで死ぬのかな……）]
 51:  815| [45] [あるいはそれもいいと思った。]
 52:  820| [45] [恐らく自分が生き延びたとしても、一生ラボから出る事はできないだろう。]
 53:  825| [45] [最後に夏彦たちを解放できただけでも、充分ではないだろうか。]
 54:  830| [47] [悠里]
 55:  831| [45] [（そうだよ……ずっとつき続けてきた嘘が、本当になるだけだよ）]
 56:  836| [45] [悠里がそう思い、覚悟を決めようとした時――]
 57: 1015| [45] [部屋の外で、爆発音が聞こえた。]
 58: 1023| [47] [悠里]
 59: 1026| [45] [「きゃあっ！！」]
 60: 1039| [45] [思わず悠里は叫んでいた。]
