  0:   60| [45] [--And then--]
  1:   65| [45] [Another long period of time passed from when Watase had saved those girls.]
  2:   70| [47] [Natsuhiko]
  3:   71| [45] [(This one's... 8 years after that dispatch, huh...)]
  4:   76| [45] [Watase's life as a rescue worker continued after that day.]
  5:   81| [45] [He'd been on more dispatches than he could count and had saved many lives.]
  6:   86| [45] [It was by no means an easy life, but it was one he eventually got used to.]
  7:   91| [45] [Now in his early 30s, he was a man of extremely sound mind that had no disturbances in his life.]
  8:  166| [45] [--It was a warm day.]
  9:  171| [45] [Watase finished his shift and took a walk around the city at dusk with his mind at total peace.]
 10:  176| [45] [There had been a lot of peaceful days like this recently with no dispatches.]
 11:  181| [47] [Watase]
 12:  182| [45] [(Hmm, why do I feel a bit unsatisfied...?)]
 13:  187| [47] [Watase]
 14:  188| [45] [(I mean, I never would have dreamed that there'd ever be days like this back then.)]
 15:  236| [45] [His job and coworkers had supported him all this way.]
 16:  241| [45] [Among those coworkers, there were two of them who had similar backgrounds as Watase.]
 17:  246| [45] [They were "Seiji Dojima" and "Kazuki Hiyama".]
 18:  251| [45] [Much like him, they had also lost family and loved ones in the Great Arson and had been brought up in the city.]
 19:  256| [45] [They had all become rescue workers for similar motives and were all close in age, so the three of them got along very well.]
 20:  261| [45] [He had been blessed with coworkers whom he could pour his heart out to, a job he that was worth doing-- and on top of that, a subordinate who loved him dearly.]
 21:  266| [45] [He'd often been thinking recently that his life wasn't so bad after all.]
 22:  324| [45] [Just as he returned to his apartment and finished changing, his PDA rang.]
 23:  332| [47] [Watase]
 24:  335| [45] ["...?"]
 25:  340| [45] [The display read "Caller Unknown".]
 26:  353| [45] [Watase hesitated for a moment, then picked up the phone.]
 27:  361| [47] [???]
 28:  364| [45] ["Mr. Watase Kasasagi, I presume?"]
 29:  375| [45] [He heard a man's voice on the other end.]
 30:  380| [45] [His voice sounded somewhat mechanical, like it was being filtered through a voice changer.]
 31:  388| [47] [Watase]
 32:  391| [45] ["Umm... who is this?"]
 33:  399| [47] [???]
 34:  402| [45] ["I'm not one to give away my name. The truth is, there is something I'd like to tell you."]
 35:  410| [47] [Watase]
 36:  413| [45] ["Huh? Me?"]
 37:  418| [45] [The man started talking dispassionately just as Watase was ready to fully write this off as a prank.]
 38:  426| [47] [???]
 39:  429| [45] ["I apologize, but we've looked into you."]
 40:  437| [47] [Watase]
 41:  440| [45] ["Huh?"]
 42:  448| [47] [???]
 43:  451| [45] ["Watase Kasasagi, age 31. Lost your family in the 'Great Rokumei City Arson' 15 years ago."]
 44:  459| [47] [???]
 45:  462| [45] ["After that, you were taken under the protection of Rokumei City and moved into municipal housing."]
 46:  470| [47] [???]
 47:  473| [45] ["You enrolled in firefighting school after graduating high school. After graduating that, you were assigned to the Rokumei City Fire Department."]
 48:  481| [47] [???]
 49:  484| [45] ["You quickly stuck out amongst your peers and passed the rescue worker exam two years later. You then enlisted in Sirius..."]
 50:  492| [47] [???]
 51:  495| [45] ["I know it must have been tough for you to lose your family, but you avoided lashing out and grew up to be an honest man."]
 52:  518| [47] [Watase]
 53:  521| [45] ["...!"]
 54:  526| [45] [Shivers ran down Watase's spine.]
 55:  531| [45] [For he didn't know for what reason his caller would run a background check on him.]
 56:  539| [47] [Watase]
 57:  542| [45] ["... What the hell are you, some kind of stalker?"]
 58:  550| [47] [Watase]
 59:  553| [45] ["Stalking other men? You sure have some sick hobbies."]
 60:  561| [47] [???]
 61:  564| [45] ["It's not a hobby. There's a reason I looked into you."]
 62:  572| [47] [???]
 63:  575| [45] ["It's because you're an unfortunate victim of the Great Arson."]
 64:  583| [47] [Watase]
 65:  586| [45] ["... Don't talk about that. I don't want to hear that kind of stuff from other people."]
 66:  594| [47] [???]
 67:  597| [45] ["You are indeed probably tired of hearing people offer their sympathies for the loss of your family. I can understand why you don't want to talk about this--"]
 68:  605| [47] [???]
 69:  608| [45] ["But what if I told you that your family didn't die just because of some arson?"]
 70:  616| [47] [Watase]
 71:  619| [45] ["... What?"]
 72:  624| [45] [Watase gasped.]
 73:  632| [47] [Watase]
 74:  635| [45] ["Hold on, what the hell's that supposed to mean!?"]
 75:  643| [47] [???]
 76:  646| [45] ["Let me make one thing clear in advance. If you learn the truth, your life will probably change forever."]
 77:  669| [47] [Watase]
 78:  672| [45] ["...!"]
 79:  680| [47] [???]
 80:  683| [45] ["If you treasure your current life, then hang up now."]
 81:  691| [47] [???]
 82:  694| [45] ["Then everything will stay the way it is. You can go back to your peaceful life."]
 83:  702| [47] [???]
 84:  705| [45] ["But if you still wish to know the truth-- then come to the ruins of the Old Rokumei City Hospital. Alone."]
 85:  716| [45] [And with those last words, the caller hung up.]
 86:  724| [47] [Watase]
 87:  727| [45] ["H-hey!"]
 88:  732| [45] [There was no response from his PDA no matter how much he yelled at it.]
 89:  792| [45] [Watase stood in a daze for a while in his apartment.]
 90:  797| [47] [Watase]
 91:  798| [45] [(The ruins of the Old Rokumei City Hospital...? What "truth" is he talking about?)]
 92:  806| [47] [Watase]
 93:  809| [45] ["... Dammit..."]
 94:  814| [45] [His desire to know the truth and his desire to keep on living in contentment were at odds in his mind.]
 95:  897| [45] [But Watase eventually made his decision, dashing out of his apartment.]
 96:  966| [45] [It had been 15 years since he'd last visited this place.]
 97:  971| [45] [The place where Wataru had lost her life had apparently been left the way it was for all those years.]
 98:  976| [45] [Probably because it was such a big hospital that demolishing it would cost a sum that no man was willing to pay.]
 99:  981| [45] [There was no sign of anyone in the ruined hospital.]
100:  989| [47] [Watase]
101:  992| [45] ["Hey! Is anyone there!?"]
102:  997| [45] [Watase's shouts simply echoed meaninglessly through the halls.]
103: 1005| [47] [Watase]
104: 1008| [45] ["Tch... so it really was a prank."]
105: 1021| [45] [Overcome with both irritation and relief, Watase was about to leave the ruins--]
106: 1026| [45] [--when he spotted something shining on the ground by the entrance.]
107: 1035| [47] [Watase]
108: 1038| [45] ["... The hell's this?"]
109: 1043| [45] [It was a PDA.]
110: 1048| [45] [He took a close look at it to find that the words "Call in progress" were displayed on its screen.]
111: 1053| [47] [Watase]
112: 1054| [45] ["..."]
113: 1065| [45] [Watase picked up the PDA, a sense of unease weighing on his mind.]
114: 1070| [45] [When he did, he heard the voice of the man who'd called him earlier coming from the speakers.]
115: 1078| [47] [???]
116: 1081| [45] ["Hey there. Looks like you really did come."]
117: 1089| [47] [Watase]
118: 1092| [45] ["So it really was you. Rather roundabout way of pranking people, don't you think?"]
119: 1100| [47] [???]
120: 1103| [45] ["Several problems could possibly arise if you were to see my face. Please forgive me for resorting to this method."]
121: 1111| [47] [Watase]
122: 1114| [45] ["And again, I don't get a word you're saying..."]
123: 1122| [47] [Watase]
124: 1125| [45] ["Well, whatever. Anyway, keep your damn promise and tell me that 'truth' you were mentioning, or whatever."]
125: 1130| [45] [The man started talking in a meek voice.]
126: 1187| [47] [???]
127: 1190| [45] ["--As you know, fires broke out simultaneously in 15 different places in this city on September 16th, 2014."]
128: 1198| [47] [???]
129: 1201| [45] ["That's the event we now call the Great Rokumei City Arson... but there are many unsolved mysteries behind that incident, wouldn't you agree?"]
130: 1209| [47] [Watase]
131: 1212| [45] ["Huh? Well, yeah, that's true..."]
132: 1227| [45] [Watase knew about that too.]
133: 1232| [45] [Most of the information concerning the trials related to the incident had not been made public.]
134: 1237| [45] [The country and Rokumei City had been hounded by the media, but they hadn't gotten much information out of them apart from "the incident was caused by an extremist group".]
135: 1245| [47] [???]
136: 1248| [45] ["They claim the incident to be a kind of terrorist attack committed by a group who aimed to reject Communicators."]
137: 1256| [47] [???]
138: 1259| [45] ["They say they kept the details away from the public to prevent copycat criminals and public unrest from rising up."]
139: 1267| [47] [???]
140: 1270| [45] ["Well, it all adds up... It's a rather simple story to swallow."]
141: 1278| [47] [Watase]
142: 1281| [45] ["... What are you implying?"]
143: 1289| [47] [???]
144: 1292| [45] ["The truth is actually the other way around."]
145: 1300| [47] [???]
146: 1303| [45] ["The extremist group that was arrested were nothing more than scapegoats."]
147: 1311| [47] [???]
148: 1314| [45] ["The incident was actually caused by a lone Communicator."]
149: 1319| [45] [Watase doubted what he heard.]
150: 1327| [47] [Watase]
151: 1330| [45] ["A lone Communicator did that!?"]
152: 1338| [47] [Watase]
153: 1341| [45] ["Don't be ridiculous. How the hell could a single Communicator set fire to 15 separate places in the city all at once?"]
154: 1349| [47] [???]
155: 1352| [45] ["It's possible."]
156: 1360| [47] [???]
157: 1363| [45] ["For the cause of it all was a Communicator who possessed an extraordinary power."]
158: 1371| [47] [Watase]
159: 1374| [45] ["What...?"]
160: 1382| [47] [???]
161: 1385| [45] ["She eventually came to be known as 'Communicator A'."]
162: 1390| [45] [The man began explaining the details about this Communicator in a subdued voice.]
163: 1398| [47] [???]
164: 1401| [45] ["A's real name was Alice Enflamme. She moved to Rokumei City from France 15 years ago."]
165: 1409| [47] [???]
166: 1412| [45] ["At the time, the Rokumei City government was inviting Communicators from all over the world to move to the city."]
167: 1420| [47] [???]
168: 1423| [45] ["They needed human resources for various experiments and studies in order to advance their research in the suddenly valuable field of BC."]
169: 1428| [45] [Watase remembered that.]
170: 1433| [45] [Rokumei City had indeed been doing just that all those years ago.]
171: 1441| [47] [???]
172: 1444| [45] ["They called the one who came from France 'A'."]
173: 1452| [47] [???]
174: 1455| [45] ["A was the first Rank S Aptitude Communicator discovered in the world. That's why she caught Rokumei City's eye."]
175: 1463| [47] [???]
176: 1466| [45] ["A was shown in to the PRC and became a test subject for the study and development of BC abilities."]
177: 1474| [47] [???]
178: 1477| [45] ["Back then, all they knew about BC was that it allowed for abilities to send your voice to a faraway person and to read others' minds--"]
179: 1485| [47] [???]
180: 1488| [45] ["But the PRC discovered the underlying mechanisms of telepathy and empathy through their study of A."]
181: 1496| [47] [???]
182: 1499| [45] ["And through all those experiments, A's own BC abilities developed and grew stronger."]
183: 1507| [47] [???]
184: 1510| [45] ["She became able to use telepathy and empathy freely, their effective ranges grew wider, and her power just kept on growing on and on with no end in sight."]
185: 1518| [47] [???]
186: 1521| [45] ["But if that was all there'd been to it, there wouldn't have been any problems."]
187: 1559| [47] [???]
188: 1562| [45] ["The problem was... that A was both the strongest Communicator there was and the worst criminal there was."]
189: 1567| [45] [When the man said that, a "floral scent" drifted through the air from somewhere.]
190: 1572| [45] [The screen on the PDA then changed.]
191: 1653| [47] [Watase]
192: 1656| [45] ["... What's this?"]
193: 1661| [45] [It appeared to be a magazine article written in a foreign language.]
194: 1667| [45] [There were two pictures there-- one of a burning building, and the other of a beautiful woman.]
195: 1672| [45] [Watase felt like he had seen her somewhere before.]
196: 1681| [47] [???]
197: 1684| [45] ["This is a French gossip magazine article about an incident that occurred in A's hometown in February 2014."]
198: 1692| [47] [???]
199: 1695| [45] ["A, with her tremendous power, was ostracized by the people around her."]
200: 1703| [47] [???]
201: 1706| [45] ["So one day... she set fire to her town to slaughter those who had ostracized her."]
