  0:   64| [45] [――そして、運命の日がやってきた。]
  1:   69| [45] [２０３０年９月１６日、６時１９分。]
  2:   74| [45] [ラボの自動化された防災システムが、シリウスに救命要請を発信した。]
  3:   79| [45] [『施設内で、原因不明の爆発事故発生。ただちに出場を願う』]
  4:   84| [45] [渡瀬たちはその要請を受け、ラボに急行した――。]
  5:  154| [45] [防護服を着て並ぶ隊員たちに、渡瀬は言う。]
  6:  162| [47] [渡瀬]
  7:  165| [45] [「よし、全員そのまま聞け！」]
  8:  173| [47] [渡瀬]
  9:  176| [45] [「現在このラボの中には、無数の人が取り残されている！」]
 10:  184| [47] [渡瀬]
 11:  187| [45] [「そして施設の性質上、これは通常の出場では――」]
 12:  192| [45] [――計画は予定通りに動いていた。]
 13:  197| [45] [宇喜多が施設内で爆弾騒ぎを起こし、渡瀬たちはラボへの侵入に成功したのだ。]
 14:  205| [47] [渡瀬]
 15:  208| [45] [「――橘は守部と！　堂島は桧山とツーマンセルだ！」]
 16:  216| [47] [渡瀬]
 17:  219| [45] [「Ｂチームとの連絡を欠かすな！　連携を常に取り続けろ！」]
 18:  282| [45] [そう指示を出し、施設内に４名の部下を送り込む。]
 19:  287| [45] [それからしばらく地上フロアに留まり、他の隊員が計画の妨げにならないよう、現場の指揮を行なった。]
 20:  343| [45] [なお渡瀬たちはすでに、ラボから支給されたＡＤを投与していた。]
 21:  348| [45] [これが被曝防止剤ではなく、対ＢＣ防護剤である事は、すでに宇喜多から聞いている。]
 22:  353| [45] [放射線被曝の恐れはなくとも、これからコミュニケーターを救出するのであれば、ＡＤを投与しておく必要はある。]
 23:  358| [47] [渡瀬]
 24:  359| [45] [（万が一の事を考えとかなきゃまずい）]
 25:  411| [47] [渡瀬]
 26:  412| [45] [（閉じ込められてる被験体たちが、『Ａ』と同等の力を持っているとしたら、ＢＣによって精神を汚染される可能性がある）]
 27:  417| [45] [渡瀬はそう思っていた。]
 28:  468| [45] [――そして６時３４分、堂島と桧山から無線通信が入った。]
 29:  473| [47] [堂島]
 30:  476| [45] [「笠鷺、すぐに地下に来てくれ！」]
 31:  481| [47] [桧山]
 32:  484| [45] [「時間がありません、急いで！」]
 33:  489| [45] [彼らは渡瀬を、隊長とは呼ばなかった。]
 34:  494| [45] [それも当然だ。今日は仕事ではない。]
 35:  499| [45] [この２人とは長年の付き合いであり、仕事を離れれば上下関係なく、互いに同等の口調で話す友なのだ。]
 36:  507| [47] [渡瀬]
 37:  510| [45] [「わかった、そこで待ってろ！」]
 38:  521| [45] [これも手はず通り。]
 39:  526| [45] [司令長がこの無線を傍受していても、怪しまれはしないはずだ。]
 40:  577| [45] [第２エリアで、堂島・桧山と合流する。]
 41:  582| [45] [途中、昨日さんざん脅して縛り上げておいたはずの学生たちと、なぜかまたしても遭遇するなどのアクシデントがあったが――]
 42:  587| [45] [それも退け、渡瀬たちは歩みを進めた。]
 43:  592| [45] [そして気絶させた幹部研究員２名を抱え、今度は第３エリアに向かう。]
 44:  661| [45] [監視ルームに着くと、宇喜多が待っていた。]
 45:  666| [45] [彼は監視ルームで施設内の様子を見ながら、職員たちの避難誘導放送をしていたのだ。]
 46:  674| [47] [宇喜多]
 47:  677| [45] [「おお、ちょうどいいところに来てくれた！」]
 48:  685| [47] [宇喜多]
 49:  688| [45] [「さっき地上と有線電話で話し、職員たちが全員避難したことを確認したよ。その２名を除いてね」]
 50:  694| [45] [『その２名』とは、渡瀬たちが抱えている、幹部研究員たちの事だ。]
 51:  702| [47] [宇喜多]
 52:  705| [45] [「さらにさきほどＢｒａｉｎＣｅｌｌを操作し、ＷＸ粒子増幅器を暴走させた」]
 53:  713| [47] [宇喜多]
 54:  716| [45] [「これでケースＮを発生させれば、隔壁は長時間閉まりっぱなしになる」]
 55:  724| [47] [宇喜多]
 56:  727| [45] [「ＢｒａｉｎＣｅｌｌの計算によれば、『１８時１６分』までな」]
 57:  735| [47] [渡瀬]
 58:  738| [45] [「よし……万事予定通りだな」]
 59:  746| [45] [渡瀬たちは、装備を確認した。]
 60:  751| [45] [Ｎエリアに侵入するためのセキュリティカードは、幹部研究員が持っていたものを奪った。]
 61:  756| [45] [拳銃は、渡瀬と堂島と桧山が１丁ずつ持っている。]
 62:  761| [45] [そしてパイプから脱出する際に使う削岩機。バックアップとしての防火斧。]
 63:  766| [45] [最後に、『テトリル爆弾』―― 一撃でラボ全体を破壊する威力を秘めた、Ｑが用意した時限爆弾だ。]
 64:  920| [47] [宇喜多]
 65:  923| [45] [「……悪いが爆破時刻を、ここでセットしてくれないか。間違いがあったら困る」]
 66:  931| [47] [渡瀬]
