  0:  119| [45] [――そうして夏彦は、全ての記憶の修正を終えた。]
  1:  124| [45] [夏彦はやや混乱しながら、思考を整理した。]
  2:  171| [47] [夏彦]
  3:  172| [45] [（え、えぇと……記憶を修復する事で、わかった事をまとめると……）]
  4:  226| [45] [まずわかった事の、その１。『コミュニケーターＡは、最悪の犯罪者などではなかった』]
  5:  278| [45] [『人々の迫害を受け、超心研で人体実験を受け、果てはラボに幽閉されて死んだ、まさに被害者』]
  6:  283| [45] [『だけど彼女が、鹿鳴市同時多発火災の原因である事は、紛れもない事実』]
  7:  298| [47] [夏彦]
  8:  299| [45] [（……つまりコミュニケーターＡも被験体Ｎも、似た境遇だったんだろうな）]
  9:  304| [47] [夏彦]
 10:  305| [45] [（そして次が、渡瀬たちの動機や目的……）]
 11:  339| [45] [わかった事、その２。『渡瀬が怒りを抱いたのは、コミュニケーターに対してではない』]
 12:  344| [45] [『コミュニケーターに対しては、むしろ同情的』]
 13:  349| [45] [『あくまで、今なお被験体の拉致を繰り返す、鹿鳴市とラボの連中に対して怒っていた』]
 14:  391| [45] [その３。『宇喜多の動機は、自分が生き残るためではない』]
 15:  396| [45] [『ラボの非人道的行為を止めようという純粋な正義感から、このテロ計画に参加した』]
 16:  437| [45] [その４。『渡瀬たちの目的は、被験体の拉致ではなく救出』]
 17:  442| [45] [『被験体に生き証人になってもらうことで、鹿鳴市やラボの悪事を、全て明るみに出そうとしていた』]
 18:  447| [47] [夏彦]
 19:  448| [45] [（そう……つまり渡瀬も、正義感から行動していた……！）]
 20:  453| [47] [夏彦]
 21:  454| [45] [（もちろん動機の根っこは、亘さんの復讐のためだろうけど……）]
 22:  518| [45] [渡瀬の動機は、あくまで私怨だ。]
 23:  523| [45] [テロリストである事も間違いない。]
 24:  528| [45] [だが、それでも――]
 25:  582| [47] [夏彦]
 26:  583| [45] [（自ら危険を冒してでも、悠里たちを助けるために――）]
 27:  588| [47] [夏彦]
 28:  589| [45] [（渡瀬とおじさんは、ラボに戦いを挑んだんだ！！）]
 29:  594| [47] [夏彦]
 30:  595| [45] [（誰も傷つけないように、注意を重ねて……！）]
 31:  610| [45] [夏彦は自分の視点が、１８０度変わるのを感じた。]
 32:  615| [45] [記憶の中で見てきた渡瀬は、夏彦の知っている彼とはところどころ違っていた。]
 33:  620| [45] [その正体も『正義のヒーロー』などではなく、正真正銘のテロリストだった。]
 34:  625| [45] [だが彼の心の奥に、常にあり続けたのは――]
 35:  679| [45] [『人を救いたい』という意思。]
 36:  684| [45] [亡き姉から受け継いだ想いだ。]
 37:  699| [47] [夏彦]
 38:  700| [45] [（そんな渡瀬を……このまま殺人鬼にしておくわけにはいかない）]
 39:  705| [47] [夏彦]
 40:  706| [45] [（なんとしても、本来の渡瀬に戻してやらなきゃ！）]
 41:  711| [45] [夏彦の心の中で、その決意が再び固まった。]
 42:  716| [45] [だがあの４つの記憶を修復しただけでは、渡瀬はきっと元に戻らないだろう。]
 43:  721| [45] [改竄された記憶群は、渡瀬の悪意を助長するものに過ぎなかった。]
 44:  726| [45] [恐らくまだ、渡瀬の中の悪意・敵意・殺意は消えてはいない。]
 45:  780| [47] [夏彦]
 46:  781| [45] [（……ぼくやましろを撃ったとき、渡瀬は凄まじい狂気に突き動かされていた）]
 47:  786| [47] [夏彦]
 48:  787| [45] [（あのときの記憶が問題なんだ！　あの記憶さえ消してしまえば――！）]
 49:  805| [45] [渡瀬はきっと、元に戻る。]
 50:  863| [45] [夏彦はそう信じ、新たに記憶検索を行った。]
 51:  868| [45] [条件は――]
 52:  873| [47] [夏彦]
 53:  874| [45] [（『渡瀬の悪意が、極限に達した時の記憶』……！）]
