  0:   57| [45] [――それは今から、４年半前。]
  1:   62| [45] [学生時代から物理学に打ち込んできた宇喜多は、１０年以上もの努力の末に――]
  2:   67| [45] [ついに念願だった、『原子力生物学機構・第６研究所』への入所を果たしていた。]
  3:  112| [45] [ラボが原子力科学ではなく、ＢＣの研究を行っているという事は、入所前に聞かされた。]
  4:  117| [45] [ラボは世間を欺いている。だが己の研究にしか興味のない宇喜多にとって、それは瑣末なことだった。]
  5:  122| [45] [数多くの成果を出しているその研究所に入れば、科学者としてのエリートコースが、半ば約束されるという。]
  6:  127| [45] [宇喜多は自分の将来への期待に、胸を膨らませていた。]
  7:  132| [45] [そして、はじめてラボを訪れた日……]
  8:  175| [45] [宇喜多は、彼女に出会った。]
  9:  265| [47] [宇喜多]
 10:  268| [45] [「――初めまして。新しく配属されました、宇喜多佳司です。よろしくお願いします」]
 11:  294| [47] [美夜子]
 12:  297| [45] [「私がこのセクションを統括している天川美夜子です。以後、お見知りおきを」]
 13:  302| [45] [そう挨拶したのは、素粒子物理学の世界的権威、『天川美夜子』博士だった。]
 14:  307| [45] [２０歳になる前から物理学界で活躍し、若くしてこの研究所の幹部研究員に上り詰めた女性である。]
 15:  312| [47] [宇喜多]
 16:  313| [45] [（ようやくだ……ようやく僕もこの人の下で、素粒子物理学の最先端で活躍することができるんだ）]
 17:  318| [45] [その日、宇喜多は熱意に燃えていた。]
 18:  371| [45] [だが、入所して半年もすると――]
 19:  419| [45] [宇喜多は思い悩む事が多くなった。]
 20:  424| [45] [仕事の合間に資料室にこもり、文献を探すふりをして、独り煩悶する。]
 21:  429| [47] [宇喜多]
 22:  430| [45] [（くそっ……同期の連中はみんな何かしらの成果を上げているのに、なぜ僕だけ何の結果も出せないんだ？）]
 23:  435| [45] [宇喜多はそれまで、およそ学問の分野においては、誰にも負ける事はなかった。]
 24:  440| [45] [だが飛びぬけた秀才も、天才に混じればかすんでしまう。]
 25:  445| [45] [そしてこのラボは、天才が群れをなす施設なのだ。]
 26:  450| [47] [宇喜多]
 27:  451| [45] [（……僕の科学者としての素養は、この程度のものだったのか？）]
 28:  462| [45] [そう思って奥歯を噛んだ時、背後で扉が開く音がした。]
 29:  492| [45] [振り返るとそこに、天川博士がいた。]
 30:  500| [47] [美夜子]
 31:  503| [45] [「あら？　宇喜多さん、あなたも何か資料を取りに？」]
 32:  511| [47] [宇喜多]
 33:  514| [45] [「あ、いえ……博士こそ何か資料をお探しですか？　よろしければ手伝いますが」]
 34:  540| [47] [美夜子]
 35:  543| [45] [「いいえ、場所を覚えているから大丈夫よ」]
 36:  557| [45] [博士はそう言いながら、棚の上に手を伸ばす。]
 37:  562| [47] [宇喜多]
 38:  563| [45] [（なんだ？　なんだか足元がふらついているような……）]
 39:  590| [45] [そう思った途端、彼女の膝が崩れた。]
 40:  599| [47] [宇喜多]
 41:  602| [45] [「――危ない！」]
 42:  628| [45] [宇喜多がとっさに博士を支え、数冊の論文が床に落下した。]
 43:  636| [47] [宇喜多]
 44:  639| [45] [「博士、大丈夫ですか！？」]
 45:  674| [47] [美夜子]
 46:  677| [45] [「あ、ごめんなさい。このところ徹夜続きだったから、少しめまいが……」]
 47:  730| [45] [彼女は宇喜多から離れたが、まだ身体はふらついていた。]
 48:  756| [47] [美夜子]
 49:  759| [45] [「……まったく私も情けないわ。たった３日寝てないだけで、こんな風になるなんて」]
 50:  767| [47] [宇喜多]
 51:  770| [45] [「３日もですか！？　それは少し、休んだ方が良いのでは？」]
 52:  796| [47] [美夜子]
 53:  799| [45] [「大丈夫よ、慣れているから」]
 54:  813| [45] [天川博士は落とした論文を棚に戻し、部屋を出て行こうとする。]
 55:  818| [45] [気付けば宇喜多は、その背に声をかけていた。]
 56:  826| [47] [宇喜多]
 57:  829| [45] [「あ、あの、天川博士！」]
 58:  862| [47] [美夜子]
 59:  865| [45] [「え？」]
 60:  873| [47] [宇喜多]
 61:  876| [45] [「僕はどうしたら、博士のような立派な科学者になれるでしょうか？」]
 62:  899| [45] [その質問に、博士は目を丸くした。]
 63:  925| [47] [美夜子]
 64:  928| [45] [「『立派な科学者』って……まるで子供のような事を言うのね」]
 65:  936| [47] [宇喜多]
 66:  939| [45] [「あ、いや、その……」]
 67:  965| [47] [美夜子]
 68:  968| [45] [「いずれにしろ宇喜多さん、私は別に立派な科学者というわけではないわ」]
 69:  976| [47] [美夜子]
 70:  979| [45] [「私は大きな問題を解決しなければならない。だから睡眠時間も、研究時間に充てているだけよ」]
 71:  987| [47] [宇喜多]
