  0:   64| [45] [――そうしてラボの真実を知った、あの夜から――]
  1:   69| [45] [宇喜多の孤独な戦いが始まった。]
  2:   98| [45] [宇喜多は自分の個人研究室で、独り作業を行っていた。]
  3:  103| [45] [送られてくるデータを淡々と検証するだけの、まさに閑職という仕事。]
  4:  108| [45] [研究室内には監視カメラが設けられ、怪しい動向があればすぐに察知される。]
  5:  113| [45] [――それでも、頭の中までは覗けない。]
  6:  118| [45] [宇喜多は作業をしながら、思案をめぐらせていた。]
  7:  123| [47] [宇喜多]
  8:  124| [45] [（どうする……？　どうすれば人体実験を止められる？）]
  9:  129| [47] [宇喜多]
 10:  130| [45] [（これほど大規模な隠蔽が行われているという事は、鹿鳴市も当然グルだ。となると警察もアテにはできないだろう）]
 11:  135| [47] [宇喜多]
 12:  136| [45] [（マスコミにタレこむのも……難しいか）]
 13:  141| [45] [入出所のたびに厳しい身体検査が行われるラボから、証拠資料を持ち出すのは極めて困難だ。]
 14:  146| [45] [そもそも宇喜多はまだ、被験体に関する概要しか掴んでいない。]
 15:  151| [45] [下手に行動すれば、宇喜多も死んだ上級研究員Ｓと、同じ運命を辿ることになるだろう。]
 16:  156| [47] [宇喜多]
 17:  157| [45] [（……では、他に頼れる団体といえば……）]
 18:  262| [45] [宇喜多は考え抜いた末、自分に協力してくれそうな組織を求め、様々なネットフォーラムに参加した。]
 19:  267| [45] [そしてそのフォーラムの中で、参加者たちに問いかけた。]
 20:  272| [45] [『もし鹿鳴市が、裏でコミュニケーターを使った人体実験を行っていたとしたら、あなた方は鹿鳴市の事を許せますか？』と。]
 21:  277| [45] [だが彼らの回答は、宇喜多の期待を裏切るものばかりだった。]
 22:  282| [45] [曰く『妄想に捕らわれすぎ』だの『陰謀論乙』だの、全く誰も信じないどころか、危機感すら抱いてくれない。]
 23:  287| [47] [宇喜多]
 24:  288| [45] [（くそ、どうすればいいんだ？　こうしてる間にも、被験体が苦しんでいるかもしれないのに……！）]
 25:  295| [45] [――その時。]
 26:  312| [45] [滅多に鳴る事のない、宇喜多のＰＤＡが鳴った。]
 27:  317| [45] [取り出してディスプレイを見てみると、そこには『非通知』と表示されている。]
 28:  328| [45] [どことなく不安を感じつつも、宇喜多は電話に出た。]
 29:  336| [47] [宇喜多]
 30:  339| [45] [「……もしもし」]
 31:  344| [47] [？？]
 32:  347| [45] [「発言者Ｕさんだね？」]
 33:  370| [47] [宇喜多]
 34:  373| [45] [「なっ……！」]
 35:  381| [47] [宇喜多]
 36:  384| [45] [「だ、誰だね君は！？　いや、それよりどうして僕の事を！？」]
 37:  389| [45] [宇喜多はネットフォーラムへの参加に際し、身元がばれないように細心の注意を払ったはずだった。]
 38:  394| [47] [宇喜多]
 39:  395| [45] [（なのに、こうして電話がかかってきたということは――！？）]
 40:  400| [45] [すると電話の相手は、宇喜多の焦りを見透かしたように、笑みを含んだ声で言う。]
 41:  405| [47] [？？]
 42:  408| [45] [「いや待ってくれ。私の話をする前に、君の話をしたい」]
 43:  416| [47] [宇喜多]
 44:  419| [45] [「僕の……？」]
 45:  424| [47] [？？]
 46:  427| [45] [「君の発言がどうにも気になってね。もっと踏み込んだ議論がしたいのだが――」]
 47:  432| [47] [？？]
 48:  435| [45] [「少々込み入った話になるんだ。場所を変えて話さないかね？」]
 49:  443| [47] [宇喜多]
 50:  446| [45] [「これから……直接会おうというのか？」]
 51:  451| [47] [？？]
 52:  454| [45] [「そんなところだ。なのでこれから私が指定する場所に、１人で来てほしい」]
 53:  459| [47] [？？]
 54:  462| [45] [「もちろん断るのも君の自由だがね」]
 55:  469| [45] [宇喜多は不思議とその声に、逆らう事ができなかった。]
 56:  536| [45] [――指定されたその場所は、１４年前の『鹿鳴市同時多発火災』で焼け落ちた旧鹿鳴市立病院跡だった。]
 57:  541| [47] [宇喜多]
 58:  542| [45] [（もしこれがラボ側の罠だったとしたら……僕は消されるかもしれないな）]
 59:  554| [45] [警戒しながらそこに踏み込んだのだが、人の気配は全くしなかった。]
 60:  562| [47] [宇喜多]
 61:  565| [45] [「おい！　誰かいないのかね！」]
 62:  570| [45] [張り上げた宇喜多の声が、虚しく廃墟にこだまする。]
 63:  576| [45] [やはり罠かもしれないと、宇喜多が逃げ出そうとした時――]
 64:  581| [45] [床の片隅に、何か光るものが落ちているのが見えた。]
 65:  589| [47] [宇喜多]
 66:  592| [45] [「あれは……？」]
 67:  605| [45] [歩み寄って拾い上げると、それはＰＤＡだった。]
 68:  610| [45] [『通信中』という文字が、ディスプレイに大きく表示されている。]
 69:  617| [45] [宇喜多が恐る恐るそれを耳に当てると……先ほどの男の声が聞こえた。]
 70:  628| [47] [？？]
 71:  631| [45] [「良かった。来てくれたようだな」]
 72:  639| [47] [宇喜多]
 73:  642| [45] [「……これはどういう事だね？　まさか人を呼び出しておいて、自分は姿を現さないつもりかね？」]
 74:  647| [47] [？？]
 75:  650| [45] [「実はすまないが、直接会うのは無理なんだ。私は鹿鳴市に入れない身分なのでね」]
 76:  655| [47] [？？]
