  0:   57| [45] [そして、運命の日がやってきた。]
  1:  109| [45] [９月１６日、５時３０分――]
  2:  114| [45] [通路に人気がないのを見計らって、宇喜多は行動を開始した。]
  3:  199| [45] [扉を開けると、監視ルームに待機していた警備員たちは――]
  4:  204| [47] [警備員１]
  5:  207| [45] [「んがー、んごー、んがー、んごー」]
  6:  212| [47] [警備員２]
  7:  215| [45] [「がーぷひゅるるる、がーぷしゅるるる」]
  8:  220| [45] [――全員が深い眠りに落ちていた。]
  9:  225| [45] [３０分前に差し入れたコーヒーに、強力な睡眠薬を混ぜておいたのだ。]
 10:  230| [47] [宇喜多]
 11:  231| [45] [（どうやら、チェスで負け続けた甲斐はあったようだな……）]
 12:  236| [45] [宇喜多はそうほくそ笑むと、消火システムを停止させるため、エンジンルームへと向かった。]
 13:  286| [45] [そして、６時１９分――]
 14:  340| [45] [エンジンルームから戻った宇喜多は、すぐに監視モニターで、第１エリア内周棟に人がいない事を確認した。]
 15:  348| [47] [宇喜多]
 16:  351| [45] [「……よし、それでは始めよう」]
 17:  362| [45] [自分に言い聞かせるように呟き、第１エリア内周棟の館内放送をＯＮにする。]
 18:  367| [45] [そしてＰＤＡを取り出すと、宇喜多は即時起爆用の音楽データを再生した。]
 19:  372| [45] [すると超音波が、館内放送を伝い――]
 20:  398| [45] [第１エリア内周棟で起こった爆発と振動が、監視ルームにもかすかに届く。]
 21:  403| [47] [宇喜多]
 22:  404| [45] [（さらに第２、第３エリアも……）]
 23:  409| [47] [宇喜多]
 24:  410| [45] [（周りに人がいないことを確認して――今だ！）]
 25:  451| [45] [そうして次々に爆破を起こしていると、ラボ内に自動放送が鳴り響いた。]
 26:  462| [47] [自動放送]
 27:  465| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 28:  491| [47] [自動放送]
 29:  494| [45] [「――ただいま地下２階第３エリアで、火災が発生しました」]
 30:  520| [47] [自動放送]
 31:  523| [45] [「――ただいま地下１階第５エリアで、火災が発生しました」]
 32:  549| [47] [自動放送]
 33:  552| [45] [「施設内のセキュリティを、『避難モード』に移行。Ｎエリアを除く全ゲートを開放します」]
 34:  578| [47] [自動放送]
 35:  581| [45] [「職員の皆様は、落ち着いて地上へ避難して下さい」]
 36:  607| [47] [宇喜多]
 37:  608| [45] [（いいぞ！　警報装置が作動した！　これでシリウスにも出動要請がかかったはずだ！）]
 38:  613| [47] [宇喜多]
