  0:   64| [45] [――夏彦がその記憶を覗き込むと――]
  1:   69| [45] [宇喜多がテロを起こすまでの情景が、浮かんでは消えた。]
  2:  100| [45] [宇喜多の運命が変わったのは、約２年前の事だ。]
  3:  105| [45] [それまで真面目なラボの一職員に過ぎなかった宇喜多だったが――]
  4:  156| [45] [ある日ふとしたきっかけから、ラボの秘密を知ってしまった。]
  5:  161| [45] [一般の研究員が立ち入れない地下３階『Ｚｅｒｏエリア』に、『被験体』と呼ばれる何かが幽閉されているという事を。]
  6:  166| [47] [宇喜多]
  7:  167| [45] [（まさか……このラボは、地下で人体実験でも行っているというのか……！？）]
  8:  172| [45] [宇喜多は信じたくなかった。愛着のある自分の職場が、裏ではそんな事をやっているなど。]
  9:  222| [45] [だが調べるほどに、その疑惑は濃くなっていき――]
 10:  227| [45] [ついに動かぬ証拠を掴んでしまったのだ。]
 11:  232| [45] [それは過去ラボで起きた火災について、記録した文書だった。]
 12:  237| [47] [宇喜多]
 13:  238| [45] [（間違いない……ラボ内には、コミュニケーターが閉じ込められている……！）]
 14:  243| [45] [それも１人だけではない。]
 15:  248| [45] [恐らく『被験体Ｎ』と『被験体ＹⅡ』という、２名の人間が幽閉されているらしかった。]
 16:  312| [45] [その事を知ってしまった時、宇喜多が抱き続けてきたラボへの愛着は、粉々に砕け散った。]
 17:  317| [45] [自分もラボの職員だ。]
 18:  322| [45] [知らなかった事とは言え、宇喜多も人体実験に加担していたとも言える。]
 19:  327| [45] [彼の中で、罪悪感と怒りが渦巻き――]
 20:  332| [45] [やがて正義感に転化した。]
 21:  337| [47] [宇喜多]
 22:  338| [45] [（……救わなければ）]
 23:  343| [47] [宇喜多]
 24:  344| [45] [（僕が、その被験体たちを……！）]
 25:  349| [45] [それは恐らく、限りなく困難な事に思われた。]
 26:  354| [45] [宇喜多はいち研究員に過ぎない。]
 27:  410| [45] [被験体のいるＺｅｒｏエリアはおろか、Ｎエリアにさえも立ち入れない。]
 28:  415| [47] [宇喜多]
 29:  416| [45] [（それにむろん、ラボはそんな事を許さないだろう……）]
 30:  421| [47] [宇喜多]
 31:  422| [45] [（この秘密を暴こうとすれば、消される可能性もある）]
 32:  441| [45] [事実、宇喜多の他にも、過去に被験体を助けようとした研究員がいたようだが――]
 33:  446| [45] [彼はその後、不審な死を遂げている。]
 34:  451| [47] [宇喜多]
 35:  452| [45] [（僕も同じ運命を辿るか……？）]
 36:  457| [47] [宇喜多]
 37:  458| [45] [（……いや！　それでもやるんだ！）]
 38:  463| [45] [今、宇喜多は恐らくこの街で、ただ１人被験体の解放を望んでいる。]
 39:  468| [45] [行動できる者が己１人しかいないのであれば、行動しない事は罪だ。]
 40:  474| [45] [宇喜多は振り返り、ラボの巨影を睨みつけた。]
 41:  479| [47] [宇喜多]
 42:  480| [45] [（……やってやる）]
