  0:   59| [45] [――夏彦は、洵の記憶を読み進めた。]
  1:  109| [45] [汚染区域でＡＤを手に入れ、]
  2:  162| [45] [ファクトリーで天井の崩落に遭遇し、皆で悠里を助け――]
  3:  169| [45] [そして搬出リフトのゲートを、クレーンを使ってこじ開けるまで。]
  4:  174| [47] [夏彦]
  5:  175| [45] [（そう、ここだ……この先に、例の記憶が……！）]
  6:  209| [47] [洵]
  7:  212| [45] [「ぃよーし、じゃああたしが先に入って安全を確かめよう」]
  8:  238| [47] [渡瀬]
  9:  241| [45] [「そうだな、頼む」]
 10:  249| [47] [洵]
 11:  252| [45] [「はーい、まかせてー」]
 12:  300| [45] [洵は上機嫌で、その隙間にもぐりこむ。]
 13:  307| [45] [だが、そのゲートの向こうにあったのは――]
 14:  464| [47] [洵]
 15:  467| [45] [「きゃああああああっ！」]
 16:  472| [45] [見知らぬ少女の、死体だった。]
 17:  512| [45] [――夏彦は洵の目を通じ、その光景を見ていた。]
 18:  517| [47] [夏彦]
 19:  518| [45] [（ここで洵さんは悪意に感染した……）]
 20:  523| [47] [夏彦]
 21:  524| [45] [（だったら、そろそろ現れるんじゃないか！？）]
 22:  529| [47] [夏彦]
 23:  530| [45] [（被験体Ｎの魂の跡は、ここに残ってるんじゃないか！？）]
 24:  560| [47] [夏彦]
 25:  563| [45] [「なぁそうだろ……被験体Ｎ」]
 26:  568| [45] [夏彦は死体に語りかける。]
 27:  576| [47] [夏彦]
 28:  579| [45] [「さぁ、出てきてくれ……洵さんの中から、お前の悪意を消してやる」]
 29:  584| [45] [夏彦がそう叫ぶと――]
 30:  594| [47] [？？]
 31:  597| [45] [「――あたしを、殺すのかい？」]
 32:  602| [45] [被験体Ｎが、そう答えた。]
 33:  622| [47] [夏彦]
 34:  623| [45] [（……！）]
 35:  692| [45] [彼女はゆっくりと立ち上がり、夏彦を睨みつける。]
 36:  697| [45] [夏彦はその目を見返して、答えた。]
 37:  705| [47] [夏彦]
 38:  708| [45] [「……殺すんじゃない。記憶を元の形に、修復するだけだ」]
 39:  734| [47] [被験体Ｎ]
 40:  737| [45] [「違うね。あんたがやってることは修復じゃない」]
 41:  745| [47] [被験体Ｎ]
 42:  748| [45] [「だいたい『元の形』って何さ？　あんたがそう思いこんでるだけでしょ？」]
 43:  774| [47] [被験体Ｎ]
 44:  777| [45] [「それを歪めて、自分の都合のいいように作り変える……それを修復だなんて、ちゃんちゃらおかしいね」]
 45:  785| [47] [夏彦]
 46:  788| [45] [「……確かにお前の言う通りかもしれない」]
 47:  796| [47] [夏彦]
 48:  799| [45] [「だけどお前を放置していたら、本当に死人が出るんだ」]
 49:  807| [47] [夏彦]
 50:  810| [45] [「精神世界の話じゃない。現実の世界でだ」]
 51:  818| [47] [夏彦]
 52:  821| [45] [「それを見過ごすわけにはいかないんだよ」]
 53:  847| [47] [被験体Ｎ]
 54:  850| [45] [「正義の名のもとに殺すか。いいね、実にヒーロー的だ」]
 55:  858| [47] [被験体Ｎ]
 56:  861| [45] [「あたしの肉体は、もう死んでいる。洵の記憶の中に残したあたしの名残も、あんたが消した」]
 57:  887| [47] [被験体Ｎ]
 58:  890| [45] [「あんたがあたしを消滅させるんだ。いくらでも言い繕う事はできるけど、それはやっぱり殺人さ」]
 59:  916| [47] [被験体Ｎ]
 60:  919| [45] [「それを躊躇しないあんたには、人殺しの素養があるよ」]
 61:  927| [47] [被験体Ｎ]
 62:  930| [45] [「……洵と、同じにね」]
 63:  935| [45] [その言葉が、夏彦の心に引っかかった。]
 64:  943| [47] [夏彦]
 65:  946| [45] [「洵さんと同じ……！？」]
 66:  954| [47] [夏彦]
 67:  957| [45] [「お前、ぼくだけじゃなくて……洵さんに、人殺しの素養があるって言うのか！」]
 68:  965| [47] [被験体Ｎ]
 69:  968| [45] [「当然じゃん？　今さら何を？」]
 70:  973| [45] [被験体Ｎは、鼻で笑って言う。]
 71:  999| [47] [被験体Ｎ]
 72: 1002| [45] [「ねぇ、『一殺多生』って言葉を知ってるかい？　洵が嫌いな言葉なんだけどさ」]
 73: 1010| [47] [夏彦]
 74: 1013| [45] [「いきなり何の話だ」]
 75: 1039| [47] [被験体Ｎ]
 76: 1042| [45] [「『一人を殺す代わりに大勢を助けられるなら、そうすべき』っていう考え方だよ」]
 77: 1050| [47] [被験体Ｎ]
 78: 1053| [45] [「嫌いなくせに、洵が選んだ事さ。あんただって、さっきの洵の言葉を聞いたでしょ？」]
 79: 1058| [45] [その瞬間、被験体Ｎの声が洵の声に変わった。]
 80: 1084| [47] [洵]
 81: 1087| [45] [「――そんな事、どうして言える！？　一度人を殺そうとした人間が、どうして改心したと言えるのさ！？」]
 82: 1095| [47] [洵]
 83: 1098| [45] [「いいかい！？　人が殺されてからじゃ遅いんだ！　死んだ人は絶対に戻ってこないんだ！」]
 84: 1106| [47] [洵]
 85: 1109| [45] [「あたしだってこんな事したくないよ！　でも、万が一の犠牲者が出てから、後悔するくらいなら――」]
 86: 1117| [47] [洵]
 87: 1120| [45] [「あたしはシリウスを辞めてでも、こいつに手を下す！」]
 88: 1128| [47] [夏彦]
 89: 1131| [45] [「……！」]
 90: 1157| [47] [被験体Ｎ]
 91: 1160| [45] [「……この子の心の中には、『人の命を救う』って事しかない。そのためには人を傷つけてもいいと考えてる」]
 92: 1168| [47] [被験体Ｎ]
 93: 1171| [45] [「矛盾しているようで、一貫しているよ」]
 94: 1179| [47] [被験体Ｎ]
 95: 1182| [45] [「ここまでこの子の心を見てきたなら、わかるだろ？」]
 96: 1208| [47] [被験体Ｎ]
 97: 1211| [45] [「洵は弱い女だ。コンプレックスの塊だし、だから闇雲に自分を鍛えてきた」]
 98: 1219| [47] [被験体Ｎ]
 99: 1222| [45] [「他者への依存性も高い。凪沙だお姉ちゃんだ隊長だって、いつも誰かを求めている」]
100: 1230| [47] [被験体Ｎ]
101: 1233| [45] [「頼り頼られる事でしか、自分の価値を確認できないんだよ」]
102: 1259| [47] [被験体Ｎ]
103: 1262| [45] [「そしてそんな弱っちい自分を憎んでいる。それが他人への攻撃性に転化するのさ」]
104: 1270| [47] [被験体Ｎ]
105: 1273| [45] [「『人命を守る』っていう大義名分があると、よけいにあっさりとね」]
106: 1278| [47] [夏彦]
107: 1279| [45] [「……」]
108: 1305| [47] [被験体Ｎ]
109: 1308| [45] [「あたしが記憶を改竄した後、洵がどうなったかわかるかな？」]
110: 1334| [47] [被験体Ｎ]
111: 1337| [45] [「皆の命を救おうと思うあまり、怪しい奴はぶっ殺そうと思ったんだよ」]
112: 1342| [45] [被験体Ｎがそう言った瞬間、目の前の光景が変わった。]
113: 1509| [45] [――それはほんの数時間ほど前の、洵の記憶だ。]
114: 1514| [45] [彼女は連絡通路を歩きながら、呪詛の言葉を吐いている。]
115: 1523| [47] [洵]
116: 1526| [45] [「あいつ……いったいどこに……？」]
117: 1531| [47] [洵]
118: 1532| [45] [（……あたしを後ろから殴るなんて……！）]
119: 1541| [47] [洵]
120: 1544| [45] [「そうだ……やっぱり、そうなんだよ……」]
121: 1549| [47] [洵]
122: 1550| [45] [（隊長じゃなくて、宇喜多さんが犯人だったんだ……）]
123: 1559| [47] [洵]
124: 1562| [45] [「だったら……もう、仕方ない……」]
125: 1567| [47] [洵]
126: 1568| [45] [（あいつがＡＤを奪ったんなら――あたしが何とかしなきゃ）]
127: 1577| [47] [洵]
128: 1580| [45] [「そうしなきゃみんなを護れない……あたしが、あいつを殺さなきゃ……」]
129: 1585| [47] [洵]
130: 1586| [45] [（皆の命を救うために……）]
131: 1595| [47] [洵]
132: 1598| [45] [「辛くても、頑張らなきゃ……！」]
133: 1750| [47] [被験体Ｎ]
134: 1753| [45] [「あはははは！　『辛くても頑張らなきゃ』だってさ！」]
135: 1779| [47] [被験体Ｎ]
136: 1782| [45] [「わかったろ？　洵は自分を殴った宇喜多さんを、『殺そう』と思ったんだよ」]
137: 1790| [47] [夏彦]
138: 1793| [45] [「黙れ……！」]
139: 1801| [47] [被験体Ｎ]
140: 1804| [45] [「これはあたしが改竄した記憶じゃないよ。洵が実際に発言した『事実』さ」]
141: 1830| [47] [被験体Ｎ]
142: 1833| [45] [「ＡＤが無くなって、皆の命が危機にさらされたと思って……それでテンパってたにしても、ちょっと酷すぎるね」]
143: 1841| [47] [被験体Ｎ]
144: 1844| [45] [「隊長の事も疑ってたじゃん？　あげくの果てにはあんたたちの事さえ疑って、本末転倒もいいとこだ」]
145: 1852| [47] [被験体Ｎ]
146: 1855| [45] [「宇喜多さんに『弱い人間』って言ってたけど、洵こそが間違いなく――」]
147: 1881| [47] [夏彦]
148: 1884| [45] [「黙れって言ってるんだ！」]
149: 1907| [45] [夏彦は被験体Ｎの言葉を、遮って叫んだ。]
150: 1915| [47] [夏彦]
