  0:   65| [45] [――そして最愛の父を失った後、恵那は――]
  1:   70| [45] [母親と共に、鹿鳴市を離れ、隣の市に移住した。]
  2:   75| [45] [悲しい想い出のあるその街に留まる事を、母が拒んだのだ。]
  3:   80| [45] [だが引越し先の街でも、恵那は亡き父の足跡を追うように育った。]
  4:  107| [45] [彼と同じく、『コミュニケーターを護る仕事』に就こうと望み続けていた。]
  5:  112| [45] [もっともそれは、平坦な道ではなかった。]
  6:  118| [45] [父は『文部科学省・超感覚科学技術局』の役人だったという。]
  7:  123| [45] [２０１４年４月に設立された、ＢＣ関連の行政活動を一手に担う機関だ。]
  8:  128| [45] [ならばそこに入れば、父と同じ仕事に就けるかと思ったのだが――]
  9:  133| [45] [中学校に上がった頃、生前の父について調べていくうち、奇妙な事に気付いた。]
 10:  138| [45] [彼の経歴はなぜか、超心研に配属された２０１４年４月の時点で抹消されていたのだ。]
 11:  143| [45] [そこから逝去した９月１６日までの約半年、彼がどのような仕事をしていたのかは全く不明だった。]
 12:  148| [47] [恵那]
 13:  149| [45] [（どうして……？　何か特殊な仕事をしていたの？）]
 14:  154| [45] [この事について母に問いただすと、やがて口の堅い彼女も、父の仕事について語ってくれた。]
 15:  160| [45] [父が就いていた仕事とは、『コミュニケーター管理官』。]
 16:  165| [45] [コミュニケーターの管理と保護を行う、世に知られざる役人だったのだ。]
 17:  208| [45] [それを知ってなお、恵那は父の足跡を追った。]
 18:  213| [45] [大学では超心理学を専攻し、優れた成績を修め――]
 19:  218| [45] [そして卒業と同時に、狭き門を潜り抜け、『超感覚科学技術局』に入った。]
 20:  223| [45] [気付けば父の死から、１３年あまりの歳月が過ぎていた……。]
 21:  228| [45] [――超感覚科学技術局に入局した初日、恵那は直属の上司となる者たちに挨拶に行った。]
 22:  239| [45] [東京某所のビルの一室。そのドアを開けて、中に入る。]
 23:  362| [47] [恵那]
 24:  365| [45] [「失礼します」]
 25:  370| [45] [ドアの向こうには、男が２人いた。]
 26:  375| [45] [恵那の姿を見止め、声をかけてくる。]
 27:  380| [47] [黒田]
 28:  383| [45] [「おぉ、お前が例の新人の子か」]
 29:  388| [47] [恵那]
 30:  391| [45] [「本日より配属された、椿山恵那と申します。宜しくお願いします」]
 31:  463| [47] [黒田]
 32:  466| [45] [「コミュニケーター管理課第一室長の黒田だ」]
 33:  476| [47] [比嘉]
 34:  479| [45] [「同じく管理官の比嘉」]
 35:  489| [47] [黒田]
 36:  492| [45] [「まぁ楽にしてくれ。うちは『ＢＣ警察』なんて揶揄される部署だが、無論本物の警察じゃない。そんなに格式ばらなくていい」]
 37:  497| [47] [恵那]
 38:  500| [45] [「は、恐れ入ります」]
 39:  505| [45] [そう言いつつも姿勢を崩さない恵那に、黒田と名乗った男は苦笑して言う。]
 40:  510| [47] [黒田]
 41:  513| [45] [「――まぁいいさ、仕事の話をしようか」]
 42:  518| [47] [黒田]
 43:  521| [45] [「聞いてるとは思うが、うちはＢＣに関する様々な行政活動を担っている部署でな」]
 44:  526| [47] [黒田]
 45:  529| [45] [「職域はコミュニケーターの保護・管理・監視から、ＢＣ関連の犯罪摘発まで、かなり手広くやっている」]
 46:  534| [47] [黒田]
 47:  537| [45] [「人員は文科省はもちろん、厚労省や察庁、公安などから出向した者で構成される」]
 48:  542| [47] [黒田]
 49:  545| [45] [「まぁよく言えばエキスパート集団、悪く言えば寄せ集め部隊さ」]
 50:  550| [47] [黒田]
 51:  553| [45] [「なにしろ年々コミュニケーターを取り巻く状況は緊迫化し、文科省だけでは対応できなくなってな」]
 52:  558| [47] [黒田]
 53:  561| [45] [「お前の親父さんがいた頃に比べると、大幅に組織も強化されたってわけさ」]
 54:  566| [47] [恵那]
 55:  569| [45] [「え……黒田室長は、父をご存知なのですか？」]
 56:  579| [47] [黒田]
 57:  582| [45] [「俺が若い頃、お世話になった上司だよ。あの人からは色んな事を教わったんだ」]
 58:  587| [47] [黒田]
 59:  590| [45] [「当時は椿山室長と俺を含めても、１０人しかいない小さな部署だったが、いまじゃすっかり大所帯さ」]
 60:  595| [47] [恵那]
 61:  598| [45] [「そうなんですか……！」]
 62:  603| [45] [役人としての父を知る者に出会い、恵那は嬉しくなった。]
 63:  608| [47] [黒田]
 64:  611| [45] [「さて椿山室長の娘さんよ、お前はどんな管理官になりたい？」]
 65:  616| [47] [恵那]
 66:  619| [45] [「父のような……命を賭してでもコミュニケーターを護る、そんな管理官になりたいです」]
 67:  624| [47] [黒田]
 68:  627| [45] [「……そうか」]
 69:  632| [45] [恵那が言うと、黒田は寂しげに笑った。]
 70:  637| [47] [黒田]
 71:  640| [45] [「お前には、親父さんのようにはなってほしくないな」]
 72:  645| [47] [恵那]
 73:  648| [45] [「え？」]
 74:  653| [47] [黒田]
 75:  656| [45] [「親父さんの足跡を追いたくなる気持ちはわかるが、お前はまだコミュニケーターの危険性をわかっちゃいない」]
 76:  661| [47] [黒田]
 77:  664| [45] [「そんな事じゃ、親父さんと同じ運命をたどっちまうぞ」]
 78:  669| [47] [恵那]
 79:  672| [45] [「……！？」]
 80:  677| [45] [語意を図りかねる恵那を、黒田は見据えた。]
