  0:   77| [45] [--Three weeks later.]
  1:   82| [45] [Just as Dr. Tenkawa had implied, there wasn't a single experiment since that last one.]
  2:   87| [45] [Salyu spent the whole time alone in this room reading a book.]
  3:  108| [45] [What she read was a sci-fi novel based on the themes of "self" and "memories".]
  4:  113| [45] [The story involved a scientist attempting to create an electronic brain with a sense of "self"-- And in that process was the following excerpt:]
  5:  204| [85] [　]
  6:  207| [85] [　]
  7:  210| [85] [　]
  8:  213| [45] [--The "self" is formed by "memories".]
  9:  217| [85] [　]
 10:  220| [45] [Humans decide their wills and behaviors based off of their own memories of the past.]
 11:  224| [85] [　]
 12:  227| [45] [But I still do not quite understand the process behind this formation of the "self".]
 13:  237| [85] [　]
 14:  240| [85] [　]
 15:  243| [85] [　]
 16:  246| [45] [If one were to gather a sufficient number of memories, would that necessarily form a "self"?]
 17:  250| [85] [　]
 18:  253| [45] [One would assume that as more and more memories are accumulated,]
 19:  256| [45] [the self would become more and more defined.]
 20:  260| [85] [　]
 21:  263| [45] [Let's take, for example, the process through which an infant first begins to speak.]
 22:  274| [85] [　]
 23:  277| [45] [After an infant is born and they hear their parents speak,]
 24:  280| [45] [the infant gradually appears to memorize sounds.]
 25:  284| [85] [　]
 26:  287| [45] [At first, the infant does not know how to utilize its memories.]
 27:  291| [85] [　]
 28:  294| [45] [But one day, as if the puzzle pieces in the infant's brain finally snap into place,]
 29:  297| [45] [their countless disjointed memories become one connected network.]
 30:  301| [85] [　]
 31:  304| [45] ["I see, so that's it!]
 32:  307| [45] [Stringing these sounds together is a way to convey my will to other people!"]
 33:  311| [85] [　]
 34:  314| [45] [And thus, the infant begins to speak,]
 35:  317| [45] [and its once-isolated "self" connects with the outer world.]
 36:  327| [85] [　]
 37:  330| [45] [This is one process of the formation of the "self".]
 38:  334| [85] [　]
 39:  337| [45] [And as the infant connects its accumulated memories,]
 40:  340| [45] [it uses them to further nurture its own "self".]
 41:  344| [85] [　]
 42:  347| [45] [But does this effect only apply to the brains of living beings?]
 43:  351| [85] [　]
 44:  354| [45] [As you and I both know, no matter how much data you store on a high capacity disk,]
 45:  357| [45] [the disk does not spontaneously form a "self".]
 46:  361| [85] [　]
 47:  364| [45] [Why is such an ordinary occurrence in nature impossible for human hands to recreate...?]
 48:  442| [45] [That novel's content was philosophical, so it was far detached from the type of adventure stories that Salyu liked.]
 49:  447| [45] [But she still found some parts thought-provoking.]
 50:  452| [47] [Salyu]
 51:  453| [45] [(Maybe I'm something like the "high capacity disk" this protagonist mentioned...)]
 52:  458| [47] [Salyu]
 53:  459| [45] [(What's particularly similar is how neither of us chooses the knowledge we gain.)]
 54:  464| [45] [But there was nothing to be gained by just pondering that fact.]
 55:  469| [45] [She perceived herself, others, and everything in the environment around her simply as the way they were.]
 56:  480| [45] [Just then, the door finally opened again after weeks of being shut, and in walked the professor.]
 57:  513| [47] [Miyoko]
 58:  516| [45] ["Yui, come out."]
 59:  521| [47] [Salyu]
 60:  524| [45] ["For an experiment?"]
 61:  532| [47] [Miyoko]
 62:  535| [45] ["No, today's a physical examination. Let's go to Area 5."]
 63:  540| [45] [That would mean Salyu would make the rare departure from Area Zero.]
 64:  560| [45] [Since she was a little fed up with the tedium, Salyu happily nodded at the professor's words.]
 65:  676| [45] [Salyu walked with the professor down the hallway to the neuroscience laboratory.]
 66:  681| [45] [Along the way, Salyu asked the professor a question.]
 67:  686| [47] [Salyu]
 68:  689| [45] ["Professor, I heard I was an orphan."]
 69:  697| [47] [Miyoko]
 70:  700| [45] ["That's right."]
 71:  708| [47] [Miyoko]
 72:  711| [45] ["When you were an infant, you were in an orphanage in France that went bankrupt, and so I took custody of you since you had nowhere to go."]
 73:  716| [45] [The professor answered without any change in her facial expression.]
 74:  721| [45] [But Salyu shook her head.]
 75:  726| [47] [Salyu]
 76:  729| [45] ["Lies."]
 77:  755| [47] [Miyoko]
 78:  758| [45] ["Huh?"]
 79:  763| [47] [Salyu]
 80:  766| [45] ["I was born in LABO, wasn't I? I'm the child of a former LABO test subject, aren't I?"]
 81:  772| [45] [Those words stopped the professor in her tracks.]
 82:  800| [47] [Miyoko]
 83:  803| [45] ["--Who told you this?"]
 84:  808| [47] [Salyu]
 85:  811| [45] ["The man whose memories were transferred the other day had knowledge of that information."]
 86:  837| [47] [Miyoko]
 87:  840| [45] ["...!"]
 88:  845| [47] [Salyu]
 89:  848| [45] ["Is it true?"]
 90:  874| [47] [Miyoko]
 91:  877| [45] ["... It is."]
 92:  882| [45] [The professor spoke in a shameful voice.]
 93:  887| [45] [And then she continued in a tone of consolation.]
 94:  919| [47] [Miyoko]
 95:  922| [45] ["I know it might come as a shock to you, Yui..."]
 96:  927| [47] [Salyu]
 97:  930| [45] ["Not particularly."]
