  0:   68| [45] [――そしてそれから、約１週間後。]
  1:   73| [45] [仕事からの帰り道を、風見は足早に歩いていた。]
  2:  108| [47] [風見]
  3:  109| [45] [（遅くなってしまったわ。急がないと）]
  4:  114| [45] [明日は凪沙の、小学校の入学式なのだ。]
  5:  119| [45] [前日くらいは一緒にゆっくり過ごし、明日の準備などもしてやりたい。]
  6:  124| [47] [風見]
  7:  125| [45] [（明日は休みを取ったし、入学をお祝いしたいわね）]
  8:  130| [47] [風見]
  9:  131| [45] [（そうだわ、せっかくだから洵ちゃんも呼んで……）]
 10:  136| [45] [そう思った時――]
 11:  150| [45] [消防車がサイレンを鳴らして、風見を追い越して行った。]
 12:  157| [47] [風見]
 13:  158| [45] [（……？）]
 14:  163| [47] [風見]
 15:  164| [45] [（何か、あったのかしら……）]
 16:  169| [45] [不意に胸騒ぎがした。]
 17:  174| [45] [風見は行く手の空に目をやり、そして気付く。]
 18:  179| [45] [――風見と凪沙が住む団地の方角の空に、煙が一筋たなびいているのを。]
 19:  185| [47] [風見]
 20:  188| [45] [「え……！？」]
 21:  199| [45] [風見は思わず駆け出した。]
 22:  204| [45] [凪沙が助けを求める声が聞こえた気がしたのだ。]
 23:  250| [45] [そして、そこで彼女が見たのは――]
 24:  329| [45] [――団地から煙が上がり、崩壊しかけている光景だった。]
 25:  334| [47] [風見]
 26:  337| [45] [「あ、あ、あああ……」]
 27:  342| [47] [風見]
 28:  345| [45] [「嘘よ、嫌、なにこれ……！！」]
 29:  350| [45] [目の前にあるものが信じられなかった。]
 30:  355| [45] [消防隊が駆け回り、野次馬が辺りに殺到し、ガヤガヤと騒いでいる。]
 31:  360| [47] [野次馬１]
 32:  363| [45] [「えれぇこったな、何が起きたんだこりゃ！？」]
 33:  368| [47] [野次馬２]
 34:  371| [45] [「ガス爆発だってよ！　あーあ、こりゃ中にいた人ヤバいぜ」]
 35:  376| [45] [彼らが言う通り、団地は橘家のある３階部分が崩れかけ――]
 36:  381| [47] [風見]
 37:  384| [45] [「あ、あぁ……凪沙、凪沙……！」]
 38:  389| [45] [風見はよろよろと、団地に向かって歩き出した。]
 39:  452| [45] [歩き慣れた廊下が傾いている。]
 40:  459| [45] [一歩歩くごとに、天井からパラパラと何かが落ちてくる。]
 41:  464| [45] [それでも３階を目指して、階段を登ろうとした時、]
 42:  469| [47] [？？]
 43:  472| [45] [「君、何をしてるんだ！？」]
 44:  477| [45] [階上から声が聞こえた。]
 45:  482| [47] [風見]
 46:  485| [45] [「！？」]
 47:  508| [45] [視線を移すと、オレンジ色の服を着た男が立っていた。]
 48:  513| [47] [風見]
 49:  516| [45] [「あ、あなたは……」]
 50:  542| [47] [渡瀬]
 51:  545| [45] [「レスキュー隊です。団地内の人命救助に当たってます。中に家族の方でも？」]
 52:  550| [47] [風見]
 53:  553| [45] [「い、妹がいるんです！　助けてあげて下さい！　３０３号室に――！」]
 54:  561| [47] [渡瀬]
 55:  564| [45] [「ちょうどその部屋に向かうところです」]
 56:  618| [47] [渡瀬]
 57:  621| [45] [「大丈夫です、妹さんは必ず我々が助けます！　あなたは危険ですから、外にいて下さい」]
 58:  626| [47] [風見]
 59:  629| [45] [「は……はい！」]
 60:  634| [45] [男の冷静な口調に、頼れそうな感触があった。]
 61:  639| [45] [風見は迷いつつもうなずき、そして団地の外に出た。]
 62:  736| [45] [――そして男は、風見に約束した通り、凪沙を救助してくれた。]
 63:  741| [45] [一緒に居合わせて、爆発に巻き込まれた洵も一緒に。]
 64:  746| [45] [凪沙と洵は救急車で運ばれ、風見もそれに着いていった。]
 65:  813| [45] [だが、事態はそれで終わらなかった。]
 66:  818| [45] [病院で検査した結果、凪沙は爆発の際に頭を打っており、脳内出血を起こしていると診断されたのだ。]
 67:  823| [45] [それから丸一日に渡り、集中治療が行われている間、風見は一睡もせずに凪沙の生還を待った。]
 68:  834| [45] [そして、４月８日の夜中――]
 69:  839| [45] [凪沙の治療を行っていた医者が、治療室から出てきた。]
 70:  844| [47] [風見]
 71:  847| [45] [「お医者様！　凪沙は、妹は！？」]
 72:  852| [45] [そうわめく風見に、医者が沈痛な面持ちで言う。]
 73:  857| [47] [医者]
 74:  860| [45] [「お気の毒ですが……！」]
 75:  871| [47] [風見]
 76:  874| [45] [「――……っ」]
 77:  879| [45] [風見はその瞬間、世界が崩れる音を聞いた気がした。]
 78:  924| [45] [――その後の事を、風見はよく覚えていない。]
 79:  929| [45] [彼女は凪沙を失った事を、受け入れられず……]
 80:  934| [45] [しばらくの間、精神を失調してしまったのだ。]
 81: 1027| [45] [風見は街を歩きながら呟く。]
 82: 1065| [47] [風見]
 83: 1068| [45] [「凪沙……ねぇ、どこにいるの……？」]
 84: 1104| [47] [風見]
 85: 1107| [45] [「そろそろごはんの時間よ……一緒に帰りましょう」]
 86: 1115| [47] [風見]
 87: 1118| [45] [「私たちの住む家、鹿鳴市営団地に……」]
 88: 1123| [45] [もういなくなってしまった妹と、もう無くなってしまった家に帰ろうと、風見は街をさまよう。]
 89: 1128| [45] [それは夢の中の出来事のように、現実感がない。時間の感覚も曖昧だ。]
 90: 1173| [45] [その時期、風見は団地の管理組合が与えてくれた仮住居に、寝泊りしていた。]
 91: 1178| [45] [そこには誰かが何度か訪ねてきたようだが、それさえもよくわからない。]
 92: 1183| [45] [恐らく管理組合の誰かが謝罪しに来たんだろう。]
 93: 1188| [45] [何度も謝るような声が聞こえた気がした。]
 94: 1193| [45] [だがそれもこれも、全てどうでもいい。客は全て追い返す。]
 95: 1198| [45] [そして毎日街を歩き回っては、その仮住居に帰るだけの生活。]
 96: 1203| [45] [仕事もせず、食事もろくにとらず、ただ失われたものを探し続けるだけの日々――]
 97: 1289| [45] [――そこから彼女を現実に引き戻したのは、洵だった。]
 98: 1294| [45] [ある日、久しぶりに訪れた公園で、風見は洵に会った。]
 99: 1324| [47] [風見]
100: 1327| [45] [「あら、洵ちゃん……凪沙、見なかった？」]
101: 1332| [45] [そう尋ねると、彼女は――涙を浮かべて言ったのだ。]
102: 1358| [47] [洵]
103: 1361| [45] [「もういい！　もういいんだよ風見ちゃん！」]
104: 1369| [47] [洵]
105: 1372| [45] [「探しても無駄なんだよ……！　どんなに探したって、凪沙はもういないの！」]
106: 1377| [47] [風見]
107: 1380| [45] [「な……何を言ってるの……？」]
108: 1388| [47] [洵]
109: 1391| [45] [「死んじゃったんだよ、凪沙は！　あのときの爆発事故で、頭を打って！」]
110: 1396| [45] [―― 一瞬、何を言われたかわからなかった。]
111: 1401| [45] [だがその言葉が風見の心に突き刺さり――]
112: 1407| [45] [頭にかかった靄を、晴らした。]
113: 1412| [47] [風見]
114: 1413| [45] [（ああ……）]
115: 1465| [45] [剥落した現実が、徐々に脳裏に蘇る。]
116: 1470| [45] [曖昧な感覚の中に埋没していた記憶が、思い返される。]
117: 1475| [45] [――街外れの小さな葬儀場。]
118: 1480| [45] [読経の声。]
119: 1485| [45] [参列者のほとんどいない中、それでも来てくれた洵。]
120: 1490| [45] [申し訳なさそうに風見を見つめる、凪沙を救助したレスキュー隊員。]
121: 1495| [45] [そして、棺の中で眠る凪沙――。]
122: 1540| [45] [……あれから何日経つのだろう。]
123: 1545| [45] [少しずつあの日の事が、心に染み入ってきた。]
124: 1617| [47] [風見]
125: 1620| [45] [「そう……」]
126: 1625| [47] [風見]
127: 1628| [45] [「あの子は……死んだのね……」]
128: 1633| [45] [風見もようやく、現実を認めた。]
129: 1638| [45] [そして再び気付かされた。自分が失ったものの大きさに。]
130: 1643| [45] [――とうとう、１人になってしまった。]
131: 1648| [45] [ずっと２人きりで暮らしてきた、たった１人の妹を失ってしまったのだ。]
132: 1653| [45] [凪沙のいないこれからの日々を、自分はどう生きればいいのだろう？]
133: 1658| [45] [風見がそう思った時――洵が意を決したように言う。]
134: 1684| [47] [洵]
135: 1687| [45] [「風見ちゃんを１人にはさせないよ」]
136: 1695| [47] [洵]
137: 1698| [45] [「あたしが凪沙の代わりに――風見ちゃんの、妹になるから」]
138: 1703| [47] [風見]
139: 1706| [45] [「え……？」]
140: 1732| [47] [洵]
141: 1735| [45] [「凪沙とは全然違う、かわいくない子だけど……あたし、お姉ちゃんの妹になるから……」]
142: 1761| [47] [洵]
143: 1764| [45] [「だから……」]
144: 1769| [47] [風見]
145: 1772| [45] [「洵ちゃん……あなた……」]
146: 1777| [45] [その言葉を聞き、風見は悟った。]
147: 1782| [45] [悲しんでいるのは、自分だけではないと。]
148: 1787| [45] [風見以外にも、凪沙の死を悼んでくれる子がいたと。]
149: 1792| [45] [そして風見は、そのたった１人の女の子に――悲しい想いをさせてしまったのだ。]
150: 1798| [47] [風見]
151: 1799| [45] [（……私は、１人じゃない……）]
152: 1804| [47] [風見]
153: 1805| [45] [（同じ悲しみを分かち合えるこの子が、いてくれたんだから……）]
154: 1810| [45] [赤の他人である洵が、年端も行かない彼女が、自分にかけてくれた優しさ――]
155: 1815| [45] [それが凪沙の優しさと重なった。]
156: 1839| [45] [風見は洵を、そっと抱きしめて言う。]
157: 1844| [47] [風見]
158: 1847| [45] [「……ありがとう」]
159: 1975| [45] [――そして洵と別れた後、風見は仮住宅に帰った。]
160: 1980| [45] [恐らく室内は荒れ果てているだろう。]
161: 1985| [45] [それさえもわからないほど、日々をぼんやりと過ごしていたのだ。]
162: 1990| [47] [風見]
163: 1991| [45] [（帰ったら、まず片づけを……）]
164: 1996| [45] [そう思いつつ、家のドアに歩み寄り――]
165: 2001| [45] [そこで風見は立ち止まった。]
166: 2006| [47] [風見]
167: 2009| [45] [「……？」]
168: 2014| [45] [ポストに、封筒が差さっているのに気付いたのだ。]
169: 2019| [45] [抜き出してみると、差出人は『鹿鳴市消防局』となっている。]
170: 2024| [47] [風見]
171: 2027| [45] [「なにかしら……？」]
172: 2032| [45] [風見はその封筒を、そっと開けた。]
173: 2037| [45] [中にぐしゃぐしゃに潰れた小さな箱と、手紙が入っている。]
174: 2042| [45] [手紙には硬い字で、こう書かれていた。]
175: 2081| [45] [――橘風見様]
176: 2085| [85] [　]
177: 2088| [45] [先日は失礼致しました。]
178: 2092| [45] [妹御・凪沙様が身罷られた事、心中謹んでお察し申し上げます。]
179: 2096| [85] [　]
180: 2099| [45] [たびたびの日参、大変ご迷惑をおかけ致しました。]
181: 2103| [45] [風見様の心労を鑑み、もう御宅を訪ねる事は致しません。]
182: 2107| [85] [　]
183: 2110| [45] [しかし、非礼は重々承知ですが……]
184: 2114| [45] [凪沙様が救助された時、手に握り締めていたものを、お送りさせて頂きます。]
185: 2122| [85] [　%N]
186: 2125| [45] [救急車にお乗り頂く前に、私たちが凪沙様から預かっていたものです。]
187: 2133| [85] [　]
188: 2136| [45] [中身は見ておりません。]
189: 2140| [45] [風見様にお渡しするようにのみ、頼まれておりました。]
190: 2144| [85] [　]
191: 2147| [45] [どうかお気を落とさず、今後の日々を、心安らかにお過ごし願えればと思います。]
192: 2154| [85] [　%N]
193: 2157| [45] [最後に、何度も申し上げましたが――]
194: 2161| [45] [大切な妹様を救えず、まことに申し訳ございませんでした。]
195: 2165| [85] [　]
196: 2168| [45] [ですが私たちは、これからも、この仕事を続けていきます。]
197: 2172| [45] [それが凪沙様のために、私たちができる唯一の事だからです。]
198: 2176| [85] [　]
199: 2179| [45] [――鹿鳴市消防局　特別高度救助隊　隊員　笠鷺渡瀬・堂島誠二]
200: 2205| [47] [風見]
201: 2208| [45] [「え？　え……？」]
202: 2213| [45] [風見はその名前に、見覚えがなかった。]
203: 2218| [47] [風見]
204: 2221| [45] [「何度も訪ねてきたって……？　どういう事なの？」]
205: 2226| [45] [そう言えば曖昧な日々を過ごしていた間、誰かが何度も家を訪ね、謝っていた気がした。]
206: 2231| [47] [風見]
207: 2232| [45] [（あれは……この消防士さんたちだったの？）]
208: 2237| [47] [風見]
209: 2238| [45] [（私、この人たちを、追い返してしまったの……！？）]
210: 2243| [45] [その時の記憶が飛んでいる。]
211: 2248| [47] [風見]
212: 2249| [45] [（『凪沙が救助された時、手に握り締めていたもの』って……！）]
213: 2254| [45] [混乱しながらも風見は、封筒の中に入っていた箱を見た。]
214: 2259| [45] [リボンのかけられた小さな箱。]
215: 2264| [45] [贈り物を入れる箱のように見えた。]
216: 2275| [45] [そっとリボンを取り、箱を開けると――]
217: 2392| [45] [中には、小さな首飾りが入っていた。]
218: 2397| [47] [風見]
219: 2400| [45] [「……！？」]
220: 2411| [45] [首飾りは、中に写真を入れられる、ロケットのようだった。]
221: 2416| [45] [それにも小さな手紙が添えてある。]
222: 2421| [45] [手紙には、凪沙の字でこう書いてあった。]
223: 2465| [45] [おねえちゃんへ]
224: 2469| [85] [　]
225: 2472| [45] [いつもおいしいおりょうりをつくってくれて、ありがとう。]
226: 2476| [45] [おれいに、わたしとじゅんちゃんからプレゼントです。]
227: 2480| [85] [　]
228: 2483| [45] [これからもいつもいっしょだよ。]
229: 2487| [45] [だいすきだよ、おねえちゃん。]
230: 2491| [85] [　]
231: 2494| [45] [なぎさ]
232: 2520| [47] [風見]
233: 2523| [45] [「…………あ」]
234: 2528| [47] [風見]
235: 2531| [45] [「あ、あ、ああああ……」]
236: 2536| [45] [風見はその手紙を見た瞬間、嗚咽を漏らした。]
237: 2541| [45] [凪沙の死から、ずっと流れなかった涙が、そのとき不意に溢れ出した。]
238: 2551| [47] [風見]
239: 2554| [45] [「あああああっ！　わぁああああっ！」]
240: 2559| [45] [風見は人目もはばからず、大声で泣いた。]
241: 2564| [47] [風見]
242: 2567| [45] [「凪沙……凪沙ぁあああ！」]
243: 2572| [45] [声を枯らして叫ぶにつれ、凪沙の言葉が心に染み入ってくる。]
244: 2577| [45] [妹と過ごした日々が、脳裏に浮かんでは消える。]
245: 2582| [45] [風見は凪沙の贈り物を握り締め、いつまでもそこで泣き続けた。]
246: 2626| [45] [やがて、その涙も枯れた頃――]
247: 2631| [45] [風見は、決意した。]
248: 2636| [47] [風見]
249: 2637| [45] [（……生きよう……凪沙の分まで……）]
250: 2642| [45] [それが彼女のためにできる、ただ一つの事だ。]
251: 2647| [45] [その決意は風見の心に、希望をもたらした。]
252: 2708| [45] [――だが同時に、風見は後悔に縛られていた。]
253: 2713| [45] [もしあのとき、自分がもっと早く家に帰っていたら、凪沙を救えたかもしれない。]
254: 2718| [45] [いつしか風見は、そのことばかりを考えるようになっていた。]
255: 2723| [47] [風見]
256: 2724| [45] [（……ただ生きるだけでは、ダメだわ……）]
257: 2729| [47] [風見]
258: 2730| [45] [（この命を使って、何かできる事を）]
259: 2735| [47] [風見]
260: 2736| [45] [（救えなかった凪沙の代わりに、誰かを……！）]
261: 2741| [45] [やがて風見は考えた末に、己の生きる道を決めた。]
262: 2829| [47] [洵]
263: 2832| [45] [「――お姉ちゃんが、消防士に！？」]
264: 2837| [45] [洵と会った時、風見は彼女にその意思を告げてみた。]
265: 2863| [47] [洵]
266: 2866| [45] [「なんで急に、そんな事……」]
267: 2871| [47] [風見]
268: 2874| [45] [「急にじゃないわ。考え抜いた結果よ」]
269: 2900| [47] [洵]
270: 2903| [45] [「花屋の仕事は？」]
271: 2908| [47] [風見]
272: 2911| [45] [「あの仕事も好きだったけど……辞めて、消防学校に入るわ」]
273: 2916| [45] [団地の管理組合から、多額の賠償金が支払われたため、当座の生活費については問題なかった。]
274: 2921| [45] [だが洵はわずかな沈黙の後、風見をじっと見て言う。]
275: 2947| [47] [洵]
276: 2950| [45] [「ねぇ、お姉ちゃん……」]
277: 2958| [47] [洵]
278: 2961| [45] [「もしかして、それって――凪沙のことが関係してる？」]
279: 2966| [47] [風見]
280: 2969| [45] [「それは……」]
281: 2995| [47] [洵]
282: 2998| [45] [「もしそうだとしたら、あたしはお姉ちゃんが消防士になるのは反対だな」]
283: 3003| [47] [風見]
284: 3006| [45] [「どうして？」]
285: 3032| [47] [洵]
286: 3035| [45] [「だってお姉ちゃん、とんでもなく無茶しそうなんだもん」]
287: 3040| [47] [風見]
288: 3043| [45] [「……！」]
289: 3048| [45] [確かに洵の言葉には一理ある。]
290: 3053| [45] [風見はあのとき、凪沙を助けることができなかった。]
291: 3058| [45] [自分がいれば救えたかもしれないなどと言う事は、恐らくおこがましい考えだろう。]
292: 3063| [45] [だが、それでも風見は――これから多くの人の命を救うことで、その贖罪をしたいと考えていた。]
293: 3068| [47] [風見]
294: 3071| [45] [「あなたの心配はわかったわ」]
295: 3076| [47] [風見]
296: 3079| [45] [「でも駄目。この意思は変えません」]
297: 3105| [47] [洵]
298: 3108| [45] [「ど、どうしてさ？」]
299: 3113| [47] [風見]
300: 3116| [45] [「さぁ、どうしてかしらね……？」]
301: 3121| [45] [風見は静かに微笑んだ。]
302: 3126| [45] [凪沙ならきっと、応援してくれると思いながら――]
