  0:   68| [45] [――そしてそれから時が流れ、凪沙の死から２年ほどが過ぎた頃――]
  1:   73| [45] [風見は公務員試験に合格し、消防学校も卒業し、鹿鳴市東消防署に配属された。]
  2:   78| [45] [それまで肉体労働とは無縁のところにいた彼女が、消防士になるには、かなりの努力が必要だった。]
  3:   83| [45] [だがそれを乗り越え仕事に就いてからは、力の限り仕事に邁進した。]
  4:   88| [45] [命のかかった現場でも、彼女は決して躊躇わなかった。]
  5:   93| [45] [失うものの少なさと、背負ったものの大きさが、彼女に蛮勇にも似た勇気と、鋼の意思をもたらしたのだ。]
  6:   98| [45] [――そしてその意思は、己を鍛える事にも向けられる。]
  7:  103| [47] [風見]
  8:  104| [45] [（もっと強くならなければ……人を救うことなどできはしない）]
  9:  109| [45] [一度は自失状態にまで陥った経験が、彼女に自分の弱さを知らしめた。]
 10:  114| [45] [それを乗り越えるため、常軌を逸したトレーニング量を己に課す。]
 11:  119| [45] [張り詰めた日々の中、彼女の肉体と精神は研ぎ澄まされていく。]
 12:  124| [45] [やがて、それは性別や適性を超えた能力を、彼女に与えた。]
 13:  129| [45] [消防士になってから、４年目の春――。]
 14:  134| [45] [風見はついにその能力を認められ、シリウスへの入隊を果たした。]
 15:  139| [45] [鹿鳴市消防局初の、女性レスキュー隊員の誕生だった。]
 16:  215| [45] [――それに伴い風見の職場は、鹿鳴市東消防署から、中央消防署に異動になった。]
 17:  220| [45] [そして異動を前にした、ある日の昼下がり――]
 18:  225| [45] [風見が中央消防署の前を通ると、敷地の周囲をランニングしている男がいた。]
 19:  230| [47] [風見]
 20:  231| [45] [（あの人は、シリウスの……）]
 21:  236| [45] [同じ鹿鳴市消防局に所属している者同士だ。顔や名前くらいは知っていた。]
 22:  241| [45] [今までは職場が違っていたため、言葉を交わす事もなかったが、これからは違う。]
 23:  252| [45] [風見は一言挨拶しようと、男が来るのを待っていた。]
 24:  258| [45] [やがて男は、署の正門のところまで戻ってきた。]
 25:  291| [47] [渡瀬]
 26:  294| [45] [「ふぅ……」]
 27:  299| [45] [息をつく男に、風見は歩み寄る。]
 28:  304| [45] [どこか険のある表情をした、厳しそうな男だったが――]
 29:  309| [45] [彼の顔を近くで見て、風見は湧き上がる感情を抑えていた。]
 30:  314| [47] [風見]
 31:  315| [45] [（……ようやく会えた……！）]
 32:  320| [45] [少しためらったが、思い切って声をかけた。]
 33:  325| [47] [風見]
 34:  328| [45] [「失礼します！」]
 35:  354| [47] [渡瀬]
 36:  357| [45] [「ん？」]
 37:  362| [47] [風見]
 38:  365| [45] [「シリウスＡチーム隊長の、笠鷺渡瀬消防士長ですね？」]
 39:  391| [47] [渡瀬]
 40:  394| [45] [「そうだが……君は？」]
 41:  399| [47] [風見]
 42:  402| [45] [「橘風見消防士と申します。来週からシリウスに入隊する事になりました」]
 43:  425| [45] [風見が敬礼して自己紹介すると、渡瀬はほぅ、という風に目を見開いた。]
 44:  451| [47] [渡瀬]
 45:  454| [45] [「君が我が局初の、女性レスキュー隊員か。噂には聞いているよ」]
 46:  462| [47] [渡瀬]
 47:  465| [45] [「なんでも優秀な女性消防官がいると、司令長が話していた」]
 48:  470| [47] [風見]
 49:  473| [45] [「は、光栄です！」]
 50:  478| [45] [敬礼したまま、風見はかしこまる。心臓が早鐘のように鳴っていた。]
 51:  504| [47] [渡瀬]
 52:  507| [45] [「まぁそんなに固くなるなよ。これからは同じ釜の飯を食うんだし」]
 53:  512| [47] [風見]
 54:  515| [45] [「しかし、後輩ではあります」]
 55:  541| [47] [渡瀬]
 56:  544| [45] [「まぁそうか。そうだな」]
 57:  570| [47] [渡瀬]
 58:  573| [45] [「なんにしろ、これからよろしくな。活躍っぷりを期待してるぜ」]
 59:  578| [47] [風見]
 60:  581| [45] [「こちらこそ、よろしくご指導ご鞭撻のほど」]
 61:  623| [45] [あくまで礼を欠かさない風見の肩を、渡瀬は軽く叩いて、署の方に歩いていった。]
 62:  628| [45] [風見はその背を見て思う。]
 63:  633| [47] [風見]
