  0:   57| [55] [√Double Chapter5]
  1:   73| [47] [夏彦]
  2:   76| [45] [「ああああああっ！！」]
  3:   81| [45] [――現実に戻って来た夏彦は、思わず叫んでいた。]
  4:   86| [45] [ましろが驚いて声を上げる。]
  5:  148| [47] [ましろ]
  6:  151| [45] [「ど、どうしたの夏彦！？」]
  7:  159| [47] [夏彦]
  8:  162| [45] [「わ、わからない！」]
  9:  188| [47] [悠里]
 10:  191| [45] [「わからないけど……センシズシンパシーの最中に、橘さんが話しかけてきた……！？」]
 11:  217| [47] [恵那]
 12:  220| [45] [「どういう事！？　悪意の消去は終わったの！？」]
 13:  228| [47] [夏彦]
 14:  231| [45] [「お、終わってません……」]
 15:  257| [47] [悠里]
 16:  260| [45] [「わたしたちにも、何が起きたか……」]
 17:  343| [45] [夏彦たちは戸惑い、風見を見る。]
 18:  348| [45] [その時――風見が冷たい声で言った。]
 19:  375| [47] [風見]
 20:  378| [45] [「……不用意すぎですよ、２人とも」]
 21:  386| [47] [風見]
 22:  389| [45] [「人の心に潜ると言う事は、自らも心をさらしてしまうという事なのに」]
 23:  397| [47] [風見]
 24:  400| [45] [「おかげで、ずっと知りたかった事がわかりました」]
 25:  427| [47] [悠里]
 26:  430| [45] [「し、知りたかった事って……！？」]
 27:  462| [47] [風見]
 28:  465| [45] [「あの娘が――あなたたちが被験体Ｎと呼ぶ娘が、なぜここで死んでいたかという事です」]
 29:  491| [47] [風見]
 30:  494| [45] [「答えはあなたたちの記憶の中にありました」]
 31:  520| [47] [風見]
 32:  523| [45] [「あの子は……ずっとこの施設の中に、閉じ込められていたんですね」]
 33:  564| [47] [夏彦]
 34:  567| [45] [「っ！？」]
 35:  572| [45] [夏彦は驚愕した。なぜ風見がそれを知っているのか！？]
 36:  577| [47] [夏彦]
 37:  578| [45] [（橘さんは、ＢＣが使えないはずなのに――！）]
 38:  583| [45] [そこまで考えた時、]
 39:  588| [45] [夏彦の脳裏に、ある考えがよぎった。]
 40:  596| [47] [夏彦]
 41:  599| [45] [「あ……！」]
 42:  605| [45] [風見は過去に、ＢＣを使えた事はない。]
 43:  610| [45] [昔から適性度が低かったからだ。]
 44:  615| [45] [適性度は先天的なもので、通常変わるものではない。]
 45:  620| [47] [夏彦]
 46:  621| [45] [（だけど、それを覆す状況が１つだけある！）]
 47:  675| [45] [それは夏彦たちが幼い頃、ラボに忍び込んだ時と同じ状況。]
 48:  727| [45] [ＷＸ粒子が蔓延する環境下、つまり――]
 49:  735| [47] [夏彦]
 50:  738| [45] [「『今日、この施設の中では、適性度の上昇が起こりうる』……！」]
 51:  743| [45] [その言葉に、皆がはっと息を呑んだ。]
 52:  751| [47] [夏彦]
 53:  754| [45] [「橘さん、あなたまさか……」]
 54:  762| [47] [悠里]
 55:  765| [45] [「ＢＣに目覚めたんですか！？」]
 56:  850| [47] [風見]
