  0:   61| [45] [――ラボの真実を知った、あの夜から――]
  1:   66| [45] [宇喜多の孤独な戦いが始まった。]
  2:   94| [45] [宇喜多は自分の個人研究室で、独り作業を行っていた。]
  3:   99| [45] [送られてくるデータを淡々と検証するだけの、まさに閑職という仕事。]
  4:  104| [45] [研究室内には監視カメラが設けられ、怪しい動向があればすぐに察知される。]
  5:  109| [45] [――それでも、頭の中までは覗けない。]
  6:  114| [45] [宇喜多は作業をしながら、思案をめぐらせていた。]
  7:  119| [47] [宇喜多]
  8:  120| [45] [（どうする……？　どうすれば人体実験を止められる？）]
  9:  125| [47] [宇喜多]
 10:  126| [45] [（これほど大規模な隠蔽が行われているという事は、鹿鳴市も当然グルだ。となると警察もアテにはできないだろう）]
 11:  131| [47] [宇喜多]
 12:  132| [45] [（マスコミにタレこむのも……難しいか）]
 13:  137| [45] [入出所のたびに厳しい身体検査が行われるラボから、証拠資料を持ち出すのは極めて困難だ。]
 14:  142| [45] [そもそも宇喜多はまだ、被験体に関する概要しか掴んでいない。]
 15:  147| [45] [下手に行動すれば、宇喜多も死んだ上級研究員Ｓと、同じ運命を辿ることになるだろう。]
 16:  152| [47] [宇喜多]
 17:  153| [45] [（……では、他に頼れる団体といえば……）]
 18:  258| [45] [宇喜多は考え抜いた末、自分に協力してくれそうな組織を求め、様々なネットフォーラムに参加した。]
 19:  263| [45] [そしてそのフォーラムの中で、参加者たちに問いかけた。]
 20:  268| [45] [『もし鹿鳴市が、裏でコミュニケーターを使った人体実験を行っていたとしたら、あなた方は鹿鳴市の事を許せますか？』と。]
 21:  273| [45] [だが彼らの回答は、宇喜多の期待を裏切るものばかりだった。]
 22:  278| [45] [曰く『妄想に捕らわれすぎ』だの『陰謀論乙』だの、全く誰も信じないどころか、危機感すら抱いてくれない。]
 23:  283| [47] [宇喜多]
 24:  284| [45] [（くそ、どうすればいいんだ？　こうしてる間にも、被験体が苦しんでいるかもしれないのに……！）]
 25:  291| [45] [――その時。]
 26:  308| [45] [滅多に鳴る事のない、宇喜多のＰＤＡが鳴った。]
 27:  313| [45] [取り出してディスプレイを見てみると、そこには『非通知』と表示されている。]
