  0:   62| [45] [――その記憶は、宇喜多たちが３人の死体を見るところから始まった。]
  1:  106| [47] [３人]
  2:  109| [45] [「きゃあああああ！！」]
  3:  115| [45] [部屋の奥で、死んでいたのは堂島だった。]
  4:  121| [45] [おまけに渡瀬たちが脱出のために用意した、削岩機まで壊れている。]
  5:  126| [47] [宇喜多]
  6:  127| [45] [（僕が気を失っている間に、このラボで何が起こったんだ！？）]
  7:  179| [45] [宇喜多たちが部屋の外に出ると、すぐに別行動を取っていた渡瀬たちが駆けつけて来る。]
  8:  184| [45] [そしてレスキュー隊の３人で部屋に入り――]
  9:  258| [45] [渡瀬が部屋から出て来たとたん、宇喜多は思わず彼に掴みかかっていた。]
 10:  266| [47] [宇喜多]
 11:  269| [45] [「おい、隊長さん！　一体ここで何があったんだ！？」]
 12:  295| [47] [渡瀬]
 13:  298| [45] [「なっ！？」]
 14:  342| [47] [宇喜多]
 15:  345| [45] [「３人も殺され、削岩機まで壊されて……！」]
 16:  389| [47] [宇喜多]
 17:  392| [45] [「君が何か知ってるんじゃないのか！？　言え、言うんだ！」]
 18:  446| [45] [削岩機が壊されたという事は、想定していたパイプからの脱出ができなくなったという事だ。]
 19:  451| [45] [渡瀬たちが別の脱出口を用意していたのか、それとも１８時１６分に隔壁が開くのを待って脱出するつもりなのか――]
 20:  456| [47] [宇喜多]
 21:  457| [45] [（だいたい削岩機が壊れたのは、ただの偶然なのか！？）]
 22:  462| [47] [宇喜多]
 23:  463| [45] [（誰かが何らかの意図を持って、壊したんじゃないのか！？）]
 24:  478| [45] [宇喜多はそう思い、渡瀬を睨みつける。]
 25:  529| [47] [渡瀬]
 26:  532| [45] [「そ、そんなこと……！　オレにわかるわけ、ない、だろ……」]
 27:  537| [47] [宇喜多]
 28:  538| [45] [（――だったら君以外に、誰がわかると言うんだね！）]
 29:  543| [45] [だがそう叫ぼうとしたところで、宇喜多は被験体ＹⅡに止められた。]
 30:  576| [47] [悠里]
 31:  579| [45] [「あ、暴れたりしないで……！　人がそこで、し、死んでいるんでしょう……？」]
 32:  605| [47] [悠里]
 33:  608| [45] [「もしまた、そんな事が起きたら……！」]
 34:  618| [47] [宇喜多]
 35:  621| [45] [「あ……す、すまない……」]
 36:  629| [47] [宇喜多]
 37:  632| [45] [「僕としたことが……取り乱してしまって……」]
 38:  721| [45] [そして宇喜多は自分に言い聞かせる。]
 39:  726| [47] [宇喜多]
 40:  727| [45] [（そうだ、落ち着け……落ち着いて、状況を見極めるんだ……！）]
 41:  734| [45] [状況が一向に見えてこないまま、ラボの捜索は続く……。]
