  0:   66| [45] [――それは宇喜多が、Ｑの人間に声をかけられた時の事――]
  1:   87| [47] [Ｑ]
  2:   90| [45] [「Ｑはかつて、テロ組織ではなかった。単なる善意の市民団体だったのだ」]
  3:   95| [47] [Ｑ]
  4:   98| [45] [「その頃我々は、世に訴えかけた。『人に心を読まれたくない、そう思うのは当然の権利のはずだ』と」]
  5:  103| [45] [彼は宇喜多に、そう言った。]
  6:  108| [45] [その話を聞いた時は、特に気にも留めなかったが――後に宇喜多は、彼の発言の中に、気になる点を見つけた。]
  7:  113| [47] [宇喜多]
  8:  114| [45] [（当時からＱは、市民団体として活動していたらしい……という事は当時から、Ｑという名を世に出していたのか？）]
  9:  119| [47] [宇喜多]
 10:  120| [45] [（鹿鳴市同時多発火災が起きた時、すでにＱという組織は存在していたのか……？）]
 11:  125| [45] [宇喜多は当時１９歳だったが、そんな団体・組織の名前は聞いた事がなかった。]
 12:  185| [45] [後日その事について、Ｑの人間に確かめてみると――]
 13:  233| [47] [曽根崎]
 14:  236| [45] [「ふむ……存在していたと言えるし、存在していなかったとも言えるな」]
 15:  241| [45] [電話の向こうで彼は、そう答えた。]
 16:  249| [47] [宇喜多]
 17:  252| [45] [「と言うと……？」]
 18:  257| [47] [曽根崎]
 19:  260| [45] [「その頃、我々は別の組織名を名乗っていた。Ｑと名乗り始めたのは、鹿鳴市同時多発火災からかなり経った後だ」]
 20:  265| [47] [曽根崎]
 21:  268| [45] [「以前話したように、我々は鹿鳴市同時多発火災の後、無実の罪で逮捕された」]
 22:  273| [47] [曽根崎]
 23:  276| [45] [「異様なまでのスピード裁判。そして３年間の獄中生活」]
 24:  281| [47] [曽根崎]
 25:  284| [45] [「塀の外に出てきた時には、社会はすっかり様変わりしていた……」]
 26:  338| [47] [曽根崎]
 27:  341| [45] [「生まれ育った故郷には都市ゲートが築かれ、前科持ちの我々は、鹿鳴市に入る事さえ許されなくなっていた」]
 28:  346| [47] [曽根崎]
 29:  349| [45] [「我々はただ、『言うべきことを主張した』だけなのにな」]
 30:  367| [47] [宇喜多]
 31:  370| [45] [「……その時点では……君たちに、非はないな」]
 32:  375| [47] [曽根崎]
 33:  378| [45] [「そうだろう。故に我らは無実を訴えるため、再び組織を結成した」]
 34:  383| [47] [曽根崎]
 35:  386| [45] [「……しかし鹿鳴市の為政者たちは、我々の想像以上に狡猾だった」]
 36:  391| [47] [曽根崎]
 37:  394| [45] [「我々の団体が再結成されたのを知るや、それをも治安維持のために利用しようとしたんだよ」]
 38:  448| [47] [曽根崎]
 39:  451| [45] [「国内で起こる様々なＢＣ絡みの事件――それらは全て、我々のせいにされた」]
 40:  459| [47] [宇喜多]
 41:  462| [45] [「なに！？　なぜそんな事を！？」]
 42:  477| [47] [曽根崎]
 43:  480| [45] [「その方が治安維持のために、都合がいいからさ」]
 44:  485| [47] [曽根崎]
 45:  488| [45] [「為政者は我々に『Ｑ』即ち『不明の者』などという名前をつけ、ありもしないテロ組織をでっち上げ――」]
 46:  493| [47] [曽根崎]
 47:  496| [45] [「捏造した常識を、社会に定着させたんだ」]
 48:  501| [47] [曽根崎]
 49:  504| [45] [「曰く、『コミュニケーターを憎む悪の組織が、日本には存在します』」]
 50:  509| [47] [曽根崎]
 51:  512| [45] [「『彼らは鹿鳴市同時多発火災を起こした、最悪のテロリストたちです』」]
 52:  517| [47] [曽根崎]
 53:  520| [45] [「『コミュニケーターはかわいそうな被害者。でも政令指定機密都市に来れば、安全に暮らせますよ』」]
 54:  525| [47] [曽根崎]
 55:  528| [45] [「……そんな耳当たりのいい言葉を、誰もが受け入れた」]
 56:  533| [47] [曽根崎]
 57:  536| [45] [「つまり我々は、公共の治安のための生贄にされたのさ」]
 58:  559| [47] [宇喜多]
 59:  562| [45] [「……！」]
 60:  567| [47] [曽根崎]
 61:  570| [45] [「わかるかね？　これが我らが組織の誕生の経緯だ」]
 62:  575| [47] [曽根崎]
 63:  578| [45] [「敵が我々をテロ組織だというのなら、その嘘を真実に変えてやる……それが我々の、復讐心の源なんだよ」]
 64:  585| [45] [宇喜多は彼の言葉に、戦慄を覚えていた。]
 65:  596| [47] [宇喜多]
 66:  597| [45] [（彼らの気持ちもわかるが、しかし……！）]
 67:  602| [45] [Ｑや宇喜多のとった手段は、どれだけ理由があろうと、結局はテロ行為だ。]
 68:  607| [45] [主張が受け入れられなかったからと言って、破壊活動に走るのは、社会のルールから外れている。]
 69:  612| [45] [しかしＱが敵対する『社会』、即ち『鹿鳴市』もまた、ルールを逸脱した事をやっているのだ。]
 70:  617| [47] [宇喜多]
 71:  618| [45] [（この悪意の連鎖は……どこまで続くんだ？）]
 72:  623| [45] [Ｑの主張は、何かが間違っている気がした。]
 73:  628| [45] [だからと言って、誰が正しいのかはわからない。]
 74:  633| [47] [宇喜多]
 75:  634| [45] [（いや……ここには正しい人間など、存在しないのかもしれない……！）]
 76:  639| [45] [――ふと、若い頃に読んだ本の一節を思い出した。]
 77:  644| [45] [『人々に怪物と目された者は、やがて本当に怪物になる』]
 78:  649| [47] [宇喜多]
 79:  650| [45] [（怪物は……誰なんだ）]
 80:  655| [47] [宇喜多]
 81:  656| [45] [（Ａか、Ｑか、鹿鳴市の連中か……）]
 82:  661| [47] [宇喜多]
 83:  662| [45] [（それとも……！）]
