  0:   81| [45] [――それはましろにとって、最も悔やむべき記憶。]
  1:   86| [45] [夏彦が、悠里と一緒に、ラボに向かった日――]
  2:   91| [45] [その記憶の中で、ましろと夏彦は話していた。]
  3:  130| [47] [夏彦]
  4:  133| [45] [「――ラボにいくんだよ、母さんをたすけるためにさ」]
  5:  138| [45] [その言葉に、ましろは目を見開いた。]
  6:  143| [47] [ましろ]
  7:  146| [45] [「やめなよ夏彦、あぶないよ！　あんなところ、いっちゃダメだって！」]
  8:  172| [47] [夏彦]
  9:  175| [45] [「なんで？」]
 10:  180| [47] [ましろ]
 11:  183| [45] [「だってラボは、あぶないけんきゅうをしているってうわさだし……」]
 12:  188| [47] [ましろ]
 13:  191| [45] [「それに、『ほうしゃせん』ってのが出てるから、はいっちゃダメだっておとうさんいってたもん！」]
 14:  217| [47] [夏彦]
 15:  220| [45] [「え、ましろビビッてるのか？　じゃあいいや、悠里さそおっかな～」]
 16:  225| [47] [ましろ]
 17:  228| [45] [「……なにさそれ！　ちかごろいっつも悠里悠里って……！」]
 18:  233| [45] [悠里の事はましろも大好きで、年齢は違っても親友だと思っている。]
 19:  238| [45] [だがなぜか、夏彦が悠里の名を口にすると面白くないのだ。]
 20:  264| [47] [夏彦]
 21:  267| [45] [「なんだよ、まさかヤキモチ？　おとこおんなのくせにー」]
 22:  272| [47] [ましろ]
 23:  275| [45] [「……！」]
 24:  280| [45] [頬が赤くなるのを感じる。]
 25:  285| [45] [かぁっと頭に血が上ったましろは――]
 26:  290| [47] [ましろ]
 27:  293| [45] [「夏彦なんか、もうしらない！　悠里とどこにでもいっちゃえ！」]
 28:  298| [45] [その言葉を口にしてしまった。]
 29:  303| [45] [以後、幾度となく後悔する言葉を……。]
 30:  373| [45] [そして夏彦は悠里と共に、ラボに行った。]
 31:  378| [45] [そこで何が起こるか知らずに。]
 32:  443| [45] [――３日後。]
 33:  448| [45] [ましろは１人で公園に来ていた。]
 34:  453| [45] [ケンカしてしまった夏彦と、そろそろ仲直りしたいと思ったのだ。]
 35:  458| [45] [学校で会ったら謝ろうと思っていたのだが、一昨日から夏彦も悠里も休んでたため、今日まで機会がなかった。]
 36:  463| [47] [ましろ]
 37:  464| [45] [（あんなケンカ、いつものことだよね……いちにちあそべば、いつもどおりになれるよね）]
 38:  469| [45] [夏彦と２人だと、互いに意地を張ってしまいそうだが、悠里も一緒にいてくれればそれも大丈夫だ。]
 39:  474| [45] [彼女がかすがいになり、すぐ仲直りできるだろう。]
 40:  479| [45] [そう思って、待っていたのだが――]
 41:  484| [45] [なかなか彼は来なかった。]
 42:  489| [45] [いつもならこの時間には、たいてい顔を出すというのに。]
 43:  494| [47] [ましろ]
 44:  495| [45] [「……」]
 45:  500| [47] [ましろ]
 46:  503| [45] [「夏彦んち、いってみようかな……」]
 47:  508| [45] [やがてましろは、そう呟いて歩き出した。]
 48:  603| [45] [夏彦の家についたましろは、チャイムを押してみた。]
 49:  614| [45] [だが、誰も出ない。]
 50:  643| [45] [何度押しても、反応はなかった。]
 51:  648| [47] [ましろ]
 52:  651| [45] [「……へんだなぁ」]
 53:  656| [47] [ましろ]
 54:  659| [45] [「あの～、だれかいないんですか～」]
 55:  664| [45] [そう声をかけた時――背後で声が聞こえた。]
 56:  669| [47] [？？]
 57:  672| [45] [「……ましろちゃん？」]
 58:  789| [45] [はっとして振り返ると、夏彦の母、天川美夜子博士が立っていた。]
 59:  794| [47] [ましろ]
 60:  797| [45] [「あ、はかせ」]
 61:  802| [45] [ましろがそのあだ名を呼ぶと、彼女は疲れたように言う。]
 62:  828| [47] [美夜子]
 63:  831| [45] [「……どうしたの？」]
 64:  836| [47] [ましろ]
 65:  839| [45] [「あのっ、夏彦くんにあいにきたんですけど、いないみたいなんです」]
 66:  844| [47] [ましろ]
 67:  847| [45] [「どこにいっちゃったんですか？」]
 68:  870| [47] [美夜子]
 69:  871| [45] [「……」]
 70:  879| [47] [美夜子]
 71:  882| [45] [「……あなた、まだ、知らないのね……」]
 72:  887| [47] [ましろ]
 73:  890| [45] [「なにがですか？」]
 74:  916| [47] [美夜子]
 75:  919| [45] [「……夏彦は今、病院にいるわ」]
 76:  924| [47] [ましろ]
 77:  927| [45] [「びょういん！？」]
 78:  935| [47] [美夜子]
 79:  938| [45] [「ラボで火災があって、悠里ちゃんと一緒に巻き込まれて……」]
 80:  943| [47] [ましろ]
 81:  946| [45] [「ま、まさかにゅういんしたんですか？」]
 82:  951| [47] [ましろ]
 83:  954| [45] [「悠里といっしょって……じゃあ悠里もびょういんに！？」]
 84:  980| [47] [美夜子]
 85:  983| [45] [「……悠里ちゃんは……もう、いないわ」]
 86:  988| [47] [ましろ]
 87:  991| [45] [「……？」]
 88: 1043| [45] [博士は暗い表情のまま、ましろに歩み寄り――そして肩を掴んで言った。]
 89: 1051| [47] [美夜子]
 90: 1054| [45] [「ましろちゃん……悠里ちゃんはね……」]
 91: 1062| [47] [美夜子]
 92: 1065| [45] [「……救助された後、意識が戻らなくて……」]
 93: 1073| [47] [美夜子]
 94: 1076| [45] [「それで、昨夜……！」]
 95: 1081| [47] [ましろ]
 96: 1084| [45] [「……え？」]
 97: 1095| [45] [――その言葉を聞いた瞬間、ましろは――]
 98: 1100| [45] [今まで自分を取り巻いていた平穏が、崩れ落ちるのを感じた。]
