  0:   65| [45] [――それはつい、１週間ほど前の記憶。]
  1:   70| [45] [９月１０日の、朝の情景が目の前に浮かんだ。]
  2:  105| [47] [ましろ]
  3:  108| [45] [「ふんふんふ～ん♪」]
  4:  113| [45] [ましろはいつものように、天川家のキッチンで、朝食を作っていた。]
  5:  124| [45] [やがてリビングのドアが開く音と共に、夏彦の声が聞こえる。]
  6:  157| [47] [夏彦]
  7:  160| [45] [「おはよう」]
  8:  165| [47] [ましろ]
  9:  168| [45] [「あ、おっはよー」]
 10:  227| [45] [挨拶を返しながら、手早く料理を進める。]
 11:  232| [45] [テレビではニュースキャスターが、淡々とした口調で喋っていた。]
 12:  237| [47] [キャスター]
 13:  240| [45] [「――次のニュースです」]
 14:  245| [47] [キャスター]
 15:  248| [45] [「今朝未明、鹿鳴市の『ＢＣトレーニングセンター』に、過激派団体による怪文書が届きました」]
 16:  253| [47] [キャスター]
 17:  256| [45] [「先ごろ行われたＢＣセミナーとの関連も指摘されており、警察は市の保安課と共同で――」]
 18:  267| [45] [やがてその声に混じり、夏彦の声がまた聞こえた。]
 19:  275| [47] [夏彦]
 20:  278| [45] [「おはよう悠里」]
 21:  283| [45] [ましろははっとして、振り返った。]
 22:  288| [47] [ましろ]
 23:  291| [45] [「おはよう悠里！」]
 24:  345| [45] [むろん、そこには誰もいない。]
 25:  350| [45] [だが夏彦は、『悠里が部屋に入ってきた』と認識している。]
 26:  355| [45] [ましろは話を合わせたに過ぎなかった。]
 27:  408| [47] [ましろ]
 28:  411| [45] [「ちょうどご飯が出来たとこだよ～」]
 29:  416| [45] [ましろは特に慌てる事もなく、夏彦と『悠里』に食事を配る。]
 30:  421| [45] [この半年で、ましろはすっかり呼吸を掴んでいた。]
 31:  447| [47] [夏彦]
 32:  450| [45] [「今日のメニューは？」]
 33:  455| [47] [ましろ]
 34:  458| [45] [「ハッシュドポテトにベーコンエッグ、サラダにオムレツにオレンジジュース」]
 35:  463| [47] [ましろ]
 36:  466| [45] [「いわゆるアメリカンブレックファーストだよ」]
 37:  492| [47] [夏彦]
 38:  495| [45] [「おぉ、朝から充実してるな」]
 39:  500| [45] [――このやりとりの間にも、夏彦は悠里の声を聞いているのだろう。]
 40:  505| [45] [彼は今もなお、彼女の死を受け入れていなかった。]
 41:  550| [45] [声が聞こえるだけではない。]
 42:  555| [45] [彼の目にはいつも、悠里の幻が映っているらしい。]
 43:  561| [47] [ましろ]
 44:  562| [45] [（『シャルル・ボネ症候群』か……）]
