  0:   64| [45] [――それはもう１６年も前の事。]
  1:   69| [45] [恵那がまだ、８歳の頃――]
  2:   74| [45] [彼女は大好きな父と共に、街を散歩していた。]
  3:  110| [47] [恵那の父]
  4:  113| [45] [「恵那、ここがお父さんの新しい職場だよ」]
  5:  118| [47] [恵那]
  6:  121| [45] [「わー、りっぱなたてもの！」]
  7:  126| [45] [恵那は父に連れられ、彼の職場を訪れていた。]
  8:  131| [45] [恵那の無邪気な声に、父は優しく答える。]
  9:  136| [47] [恵那の父]
 10:  139| [45] [「超心理学研究所っていうんだ。以前から超能力とかを研究してた、ちょっと変わった施設だったんだけど――」]
 11:  144| [47] [恵那の父]
 12:  147| [45] [「超能力っていうものが、どうやら実際に存在するものだと、最近になってわかってね」]
 13:  152| [47] [恵那]
 14:  155| [45] [「ちょうのうりょく？　すてき！」]
 15:  160| [47] [恵那の父]
 16:  163| [45] [「ワクワクするだろ？　大人たちもその発見に、すんごくワクワクしたんだよ」]
 17:  168| [47] [恵那の父]
 18:  171| [45] [「それで人員を急増する事が決まり、お父さんもここに転属になったってわけさ」]
 19:  176| [47] [恵那]
 20:  179| [45] [「じゃあお父さんも、ちょうのうりょくをけんきゅうするの？」]
 21:  184| [47] [恵那の父]
 22:  187| [45] [「しないしない。お父さんは研究者じゃなくて役人だからね」]
 23:  192| [47] [恵那]
 24:  195| [45] [「じゃあお父さんはなにをするの？」]
 25:  200| [47] [恵那の父]
 26:  203| [45] [「超能力者たちを、護るのさ」]
 27:  208| [47] [恵那]
 28:  211| [45] [「まもる……？　だれからまもるの？」]
 29:  216| [47] [恵那の父]
 30:  219| [45] [「悪い人たちからだよ」]
 31:  224| [47] [恵那の父]
 32:  227| [45] [「超能力者たちはこれまで、よそですごくいじめられててね……しかも誰からも護ってもらえなかったんだ」]
 33:  232| [47] [恵那]
 34:  235| [45] [「かわいそう……」]
 35:  240| [47] [恵那の父]
 36:  243| [45] [「そうだろ。だからお父さんたちが護ってあげなきゃならないって思って、超能力者を護るための部署を立ち上げたのさ」]
 37:  248| [47] [恵那の父]
 38:  251| [45] [「超能力者をいじめる悪者がいたら、お父さんたちが捕まえる」]
 39:  256| [47] [恵那の父]
 40:  259| [45] [「逆に超能力が悪用されたら、その時もお父さんたちが止めるのさ。すごくやりがいのある仕事だよ」]
 41:  264| [47] [恵那]
 42:  267| [45] [「かっこいい、なんかおまわりさんみたい」]
 43:  272| [47] [恵那の父]
 44:  275| [45] [「はは、そうだね。さしずめお父さんたちは、『ＢＣ警察』ってところかな」]
 45:  280| [47] [恵那]
 46:  283| [45] [「えなもおとなになったら、おとうさんみたいなおしごとしたい！」]
 47:  288| [47] [恵那の父]
 48:  291| [45] [「おー、いいね。一緒の職場で働ける日を、楽しみにしておこうかな」]
 49:  296| [45] [そう言って父は微笑んだ。]
 50:  355| [45] [――恵那もいつかその日が来る事を楽しみにしていた。]
 51:  360| [45] [だが、決してそれが叶わないと思い知ったのは――]
 52:  365| [45] [それから約半年後。]
 53:  370| [45] [２０１４年９月１６日の事だった。]
 54:  503| [85] [　%N]
 55:  506| [45] [――『鹿鳴市同時多発火災』――]
 56:  510| [85] [　%N]
 57:  513| [45] [あの夜起きた出来事は、後にそう呼ばれた。]
 58:  555| [85] [　%N]
 59:  558| [45] [鹿鳴市中の実に１５箇所で、同時に火災が発生したのだ。]
 60:  562| [85] [　]
 61:  565| [45] [鹿鳴市立病院をはじめ、公共施設、雑居ビル、マンション。]
 62:  568| [45] [様々な建物に無差別に火が放たれ、一夜のうちにそれらは焼け落ちた。]
 63:  575| [85] [　%N]
 64:  578| [45] [死者１１８名。]
 65:  582| [85] [　]
 66:  585| [45] [その内訳は一酸化炭素等による中毒死が６７名、焼死が３４名。]
 67:  588| [45] [高所からの転落死が１１名、]
 68:  591| [45] [ショック死が３名、]
 69:  594| [45] [苦痛による自殺が２名。]
 70:  598| [85] [　]
 71:  601| [45] [そして――]
 72:  604| [45] [放火犯に遭遇して、刺殺された者が１名。]
 73:  647| [85] [　%N]
 74:  650| [45] [――刺殺されたのは、平凡な公務員だった。]
 75:  654| [85] [　%N]
 76:  657| [45] [彼を知らぬ者たちにとっては、]
 77:  660| [45] [その夜に命を落とした１１８名のうちの１人に過ぎない。]
 78:  664| [85] [　%N]
 79:  667| [45] [だが恵那にとっては違う。]
 80:  670| [45] [彼女にとって、彼は――かけがえのない、最愛の父だった。]
 81:  790| [45] [火災から数日後。]
 82:  795| [45] [恵那は父の職場を、１人で訪れていた。]
 83:  800| [47] [恵那]
 84:  803| [45] [「お父さん……」]
 85:  808| [45] [そう呼びかけても、答えはない。]
 86:  813| [45] [あの優しい声を聞く事は、もう２度とないのだ。]
 87:  818| [45] [葬儀の日からたびたび流れていた涙が、またも頬を伝った。]
 88:  861| [45] [父はあの日、放火犯から誰かを庇って殺されたのだという。]
 89:  866| [45] [その誰かが誰なのかは、恵那には知らされていない。]
 90:  871| [45] [だが知らされずとも、彼女にはわかった。]
 91:  876| [47] [恵那]
 92:  877| [45] [（お父さんはきっと、ちょうのうりょくしゃをまもろうとして……）]
 93:  882| [47] [恵那]
 94:  883| [45] [（わるいひとたちに……！）]
 95:  927| [45] [恵那は空を見上げて想う。]
 96:  932| [45] [父が護ろうとしたものを、自分が護ってみせようと。]
 97:  937| [45] [いつか父と同じ仕事に就こうと――。]
 98:  942| [47] [恵那]
 99:  945| [45] [「お父さん……やくそくまもるからね」]
100:  950| [47] [恵那]
101:  953| [45] [「それまでてんごくから、えなをみててね」]
102:  958| [45] [幼い彼女には、まだ大きすぎる望み。]
103:  963| [45] [だが確かにそれを胸に留め、恵那は涙を拭った。]
