  0:  107| [45] [――最愛の父を失った後、恵那は――]
  1:  112| [45] [母親と共に、鹿鳴市を離れ、隣の市に移住した。]
  2:  117| [45] [悲しい想い出のあるその街に留まる事を、母が拒んだのだ。]
  3:  122| [45] [だが引越し先の街でも、恵那は亡き父の足跡を追うように育った。]
  4:  228| [45] [父の持ち物は、全て残してあった。]
  5:  233| [45] [――休日にドライブに連れて行ってもらった、フランス製のスポーツカー。]
  6:  238| [45] [――ジャズのレコードのコレクション。]
  7:  243| [45] [――教育書や思想書が大半を占める蔵書。万年筆。コーヒーサイフォン。]
  8:  248| [45] [それらはどれも、女の子の恵那には馴染みのないもので……しかし亡き父の心を知る、重要な手がかりだった。]
  9:  253| [47] [恵那]
 10:  254| [45] [（私、ファザコンなのかしら）]
 11:  259| [45] [古いジャズを聞きながら、ふとそんな事を思う。]
 12:  264| [45] [時を経ても父の存在は薄れるばかりか、大きくなる一方だった。]
 13:  269| [45] [もし自分が恋をするなら、きっと間違いなく、父のような男性に惹かれるだろう。]
 14:  274| [45] [優しさと、暖かさと、命に替えても人を護ろうとする意思を兼ね備えた男性――そんな男に、そうそう出会えるものではない。]
 15:  279| [47] [恵那]
 16:  280| [45] [（……だから今は、お父さんの思い出に浸るだけで充分よ）]
 17:  285| [47] [恵那]
 18:  286| [45] [（私が大人になるまでは……）]
 19:  291| [45] [そう思いながら恵那は、少しずつ成長していった。]
 20:  296| [45] [そしてその間、いつも恵那が願っていた事がある。]
 21:  301| [45] [それは父と同じ、『コミュニケーターを護る仕事』に就く事だ。]
 22:  309| [45] [彼と同じく、『コミュニケーターを護る仕事』に就こうと望み続けていた。]
 23:  314| [45] [もっともそれは、平坦な道ではなかった。]
 24:  320| [45] [父は『文部科学省・超感覚科学技術局』の役人だったという。]
 25:  325| [45] [２０１４年４月に設立された、ＢＣ関連の行政活動を一手に担う機関だ。]
 26:  330| [45] [ならばそこに入れば、父と同じ仕事に就けるかと思ったのだが――]
 27:  335| [45] [中学校に上がった頃、生前の父について調べていくうち、奇妙な事に気付いた。]
 28:  340| [45] [彼の経歴はなぜか、超心研に配属された２０１４年４月の時点で抹消されていたのだ。]
 29:  345| [45] [そこから逝去した９月１６日までの約半年、彼がどのような仕事をしていたのかは全く不明だった。]
 30:  350| [47] [恵那]
 31:  351| [45] [（どうして……？　何か特殊な仕事をしていたの？）]
 32:  356| [45] [この事について母に問いただすと、やがて口の堅い彼女も、父の仕事について語ってくれた。]
 33:  362| [45] [父が就いていた仕事とは、『コミュニケーター管理官』。]
 34:  367| [45] [コミュニケーターの管理と保護を行う、世に知られざる役人だったのだ。]
 35:  410| [45] [それを知ってなお、恵那は父の足跡を追った。]
 36:  415| [45] [大学では超心理学を専攻し、優れた成績を修め――]
 37:  420| [45] [そして卒業と同時に、狭き門を潜り抜け、『超感覚科学技術局』に入った。]
 38:  425| [45] [気付けば父の死から、１３年あまりの歳月が過ぎていた……。]
 39:  430| [45] [――超感覚科学技術局に入局した初日、恵那は直属の上司となる者たちに挨拶に行った。]
 40:  441| [45] [東京某所のビルの一室。そのドアを開けて、中に入る。]
 41:  564| [47] [恵那]
