  0:   64| [45] [――そして運命の日がやってきた。]
  1:   69| [45] [９月１６日早朝、黒田と比嘉と共に、恵那はラボに向かった。]
  2:  104| [45] [裏口のところで、ラボの警備員に止められたが……]
  3:  109| [45] [偽造した令状を盾に、半ば無理やり、中に侵入した。]
  4:  176| [45] [白衣に着替えさせられ、第６エリア内周棟まで通される。]
  5:  181| [45] [だがそこでもまた、研究員たちに呼び止められた。]
  6:  186| [45] [曰く、『機密保持のため、いかに超科局の管理官といえど、これ以上先には入れる事はできません』との事。]
  7:  191| [45] [かくなる上は、銃で脅して、Ｎエリアへの道を開こうとしたが――]
  8:  228| [45] [その時、不意に轟音が聞こえた。]
  9:  233| [47] [恵那]
 10:  236| [45] [「ッ！？　な、なんの音！？」]
 11:  241| [45] [その問いに答えるように、音が連続して響く。]
 12:  302| [45] [自動防災システムが、狂ったように警告放送を流す。]
 13:  313| [47] [自動放送]
 14:  316| [45] [「――ただいま地下１階第１エリアで、激しい振動を感知しました」]
 15:  321| [47] [自動放送]
 16:  324| [45] [「――ただいま地下２階第３エリアで、激しい振動を感知しました」]
 17:  329| [47] [自動放送]
 18:  332| [45] [「――ただいま地下１階第２エリアで、火災が発生しました」]
 19:  337| [47] [自動放送]
 20:  340| [45] [「――ただいま地下２階第２エリアで、激しい振動を感知しました」]
 21:  391| [45] [――恵那は予想していなかった。]
 22:  396| [45] [よりにもよって今日、こんな事が起きるとは。]
 23:  401| [45] [偶然か、あるいは必然か――]
 24:  406| [45] [ともかく恵那たち超科局のメンバーも、テロに巻き込まれてしまったのだ。]
 25:  470| [45] [恵那たちを呼び止めていた研究員は、蜘蛛の子を散らすように逃げていった。]
 26:  475| [47] [黒田]
 27:  478| [45] [「こ、こりゃ……いったい何事だ！？」]
 28:  483| [47] [恵那]
 29:  486| [45] [「わ、わかりません、ですが……あるいは、Ｑによるテロかと……！」]
 30:  491| [47] [比嘉]
 31:  494| [45] [「Ｑだと！？　連中はここがＢＣの研究施設だと知っていたというのか！？」]
 32:  499| [47] [恵那]
 33:  502| [45] [「あくまで、可能性としてですが」]
 34:  507| [45] [Ｑが市内に侵入しているという噂は、恵那たちも聞いていた。]
 35:  512| [45] [だがＱが侵入したからと言って、ラボの警備を露骨に厳しくしたら、『ここはＢＣ研究施設です』と宣伝しているようなものだ。]
 36:  517| [45] [故にラボとしては、平時同様の警備をしていたのかもしれないが――]
 37:  522| [47] [恵那]
 38:  523| [45] [（その隙を突かれたの……？）]
 39:  528| [47] [黒田]
 40:  531| [45] [「……ちっ！　だったらひとまず、出口を探そう！」]
 41:  536| [47] [比嘉]
 42:  539| [45] [「万が一テロリストに遭遇したら、まぁ完全に業務範囲外だが……捕まえられるかどうか、試してみるか」]
 43:  544| [47] [恵那]
 44:  547| [45] [「はっ！」]
 45:  552| [45] [恵那たちは出口を探し、駆け出した。]
 46:  671| [45] [――しかし、ファクトリーで大火に遭遇し――]
