  0:   65| [45] [――それは恵那が、鹿鳴学園に赴任してから、しばらく経った頃――]
  1:   70| [45] [天川美夜子博士と、密会した時の記憶だった。]
  2:  134| [47] [美夜子]
  3:  137| [45] [「――初めまして。天川美夜子です」]
  4:  142| [47] [恵那]
  5:  145| [45] [「初めまして。超科局コミュニケーター管理官、椿山恵那と申します」]
  6:  150| [45] [初対面の２人は、挨拶を交わす。]
  7:  155| [45] [恵那は今日、夏彦への対処の仕方について話し合おうと思い、博士を学校に呼び出したのだ。]
  8:  160| [45] [このＢＣルームには監視カメラがない。ＢＣ絶縁体で囲まれているため、見知らぬ誰かにエンパシーで心を読まれることもない。]
  9:  165| [45] [壁も分厚く、声も外に漏れないため、密談には最適の場所だった。]
 10:  170| [47] [恵那]
 11:  173| [45] [「ご多忙でしょうから、さっそく本題に入ります」]
 12:  178| [47] [恵那]
 13:  181| [45] [「今年から鹿鳴学園内でのコミュニケーター管理任務は、私が担当することになりました」]
 14:  186| [47] [恵那]
 15:  189| [45] [「無論それに伴い、ご子息の監視任務も」]
 16:  197| [47] [美夜子]
 17:  200| [45] [「はい、よろしくお願いします」]
 18:  205| [47] [恵那]
 19:  208| [45] [「ではご子息の監視体制についてなのですが、今後も超科局基準に照らし合わせ――」]
 20:  213| [47] [恵那]
 21:  216| [45] [「『エンパシーを発現した時点で、ラボへの幽閉処置を検討する』という事でよろしいでしょうか？」]
 22:  221| [45] [それは適性度Ｓのコミュニケーターにのみ与えられる、特別な処置だった。]
 23:  226| [45] [天川博士も納得済みらしく、素直にうなずく。]
 24:  234| [47] [美夜子]
 25:  237| [45] [「問題ありません。センシズシンパシーを発現してしまってからでは、遅いので」]
 26:  242| [47] [恵那]
 27:  245| [45] [「では教育ガイドラインに従い、エンパシー発現を目指した指導を行います」]
 28:  250| [47] [恵那]
 29:  253| [45] [「卒業までにエンパシーを発現した場合、幽閉処置」]
 30:  258| [47] [恵那]
 31:  261| [45] [「卒業まで発現しなかった場合は、超科局による監視を続行するという事で」]
 32:  269| [47] [美夜子]
 33:  272| [45] [「はい、それでお願いします」]
