  0:   65| [45] [突然の健康診断を受けてから、数日――]
  1:   70| [45] [またしばらく、何もない日々が続いた。]
  2:   75| [45] [博士が買ってきてくれた本も、全て読み終えてしまったが、それでも実験の予定は入らない。]
  3:   80| [45] [サリュはさすがに、不安を覚え始めていた。]
  4:  115| [47] [サリュ]
  5:  116| [45] [（……何か起きたの？）]
  6:  121| [45] [サリュは開かない扉を見つめていた。]
  7:  126| [45] [いつまでも、日々は同じように繰り返されると思っていた。]
  8:  131| [45] [いつものように博士が部屋に入ってきて、実験が行われるのだと。]
  9:  136| [47] [サリュ]
 10:  137| [45] [（いくらなんでも、おかしい……）]
 11:  142| [45] [だが原因を確かめる事は不可能だ。]
 12:  147| [45] [どうすればいいのかと思っていた時――]
 13:  158| [45] [部屋の扉が開いた。]
 14:  163| [47] [サリュ]
 15:  166| [45] [「博士！」]
 16:  171| [45] [思わずサリュは声を上げていた。]
 17:  204| [47] [美夜子]
 18:  207| [45] [「……優衣」]
 19:  212| [47] [サリュ]
 20:  215| [45] [「博士、今日の実験は？」]
 21:  220| [45] [サリュは博士の来訪を喜んでいた。またいつもの生活が戻ってくるのだと思って。]
 22:  225| [45] [だが――その日はいつもと違っていた。]
 23:  251| [47] [美夜子]
 24:  254| [45] [「……ごめんなさい、優衣」]
 25:  262| [47] [美夜子]
 26:  265| [45] [「記憶伝達実験は終了よ。もう、実験に参加する事はないわ」]
 27:  270| [45] [サリュは耳を疑った。]
 28:  275| [45] [つまりそれは、サリュが一切の義務から解放されるという事を意味していた。]
 29:  280| [47] [サリュ]
 30:  283| [45] [「――なぜ？」]
 31:  310| [47] [美夜子]
 32:  313| [45] [「被験体Ｎが……人格を失ってしまったの」]
 33:  321| [47] [美夜子]
 34:  324| [45] [「彼女がそうなってしまっては、実験の継続も不可能だから……」]
 35:  329| [47] [サリュ]
 36:  332| [45] [「……まさか……Ｎ化？」]
 37:  343| [45] [そんな言葉を聞いた事があった。]
 38:  348| [45] [自ら耳にしたのか、誰かの知識をコピーされたのかはわからない。]
 39:  353| [45] [だが確実に言える事は、Ｎ化したコミュニケーターは、２度と元に戻らないという事だった。]
 40:  379| [47] [美夜子]
 41:  382| [45] [「……６年にも渡る実験に、脳が耐えられなかったのね」]
 42:  387| [47] [サリュ]
 43:  390| [45] [「新しいコミュニケーターは？　被験体ＹⅡという人もいるんでしょう？」]
 44:  398| [47] [美夜子]
 45:  401| [45] [「彼女は……記憶伝達実験には参加させない事になったわ」]
 46:  409| [47] [美夜子]
 47:  412| [45] [「彼女はラボが擁する最後のコミュニケーターだから、Ｎ化の危険がある事はさせられない」]
 48:  420| [47] [美夜子]
 49:  423| [45] [「だから……実験をする事は、もうできないの」]
 50:  429| [47] [サリュ]
 51:  432| [45] [「嫌！」]
 52:  443| [45] [気付けばサリュは、そう叫んでいた。]
 53:  477| [45] [サリュは博士にすがり、震える声で言う。]
 54:  482| [47] [サリュ]
 55:  485| [45] [「実験をして、博士。そうでなければ、私は――自身の存在の無意味さに耐えられない」]
 56:  490| [47] [サリュ]
 57:  493| [45] [「記憶を詰め込まれるのが、私の存在意義。私はそのための空洞でしょう？」]
 58:  498| [47] [サリュ]
 59:  501| [45] [「私からその役目を奪わないで」]
 60:  527| [47] [美夜子]
 61:  530| [45] [「駄目なのよ、優衣。これ以上の実験継続は危険なの」]
 62:  538| [47] [美夜子]
 63:  541| [45] [「あなたの脳にも、悪影響が出ているのよ」]
 64:  561| [47] [サリュ]
 65:  564| [45] [「っ！？」]
 66:  572| [47] [美夜子]
 67:  575| [45] [「自覚症状はない？」]
 68:  583| [47] [美夜子]
 69:  586| [45] [「あなたの自己意識は極度に肥大化しているけど、代わりに他者の気持ちを理解する機能が、失われつつあるはず」]
 70:  591| [47] [サリュ]
 71:  594| [45] [「嘘……」]
 72:  620| [47] [美夜子]
 73:  623| [45] [「じゃあ優衣、私がいま何を考えているのかわかる？」]
 74:  628| [47] [サリュ]
 75:  631| [45] [「わかる」]
 76:  657| [47] [美夜子]
 77:  660| [45] [「言ってごらんなさい」]
 78:  665| [47] [サリュ]
 79:  666| [45] [「……」]
 80:  671| [45] [天川博士は微笑んでいた。]
 81:  676| [45] [それは重要な判断材料だった。]
 82:  681| [45] [どこかに重大な誤りがあるような、そんな気もしたが――サリュは自分の判断を述べた。]
 83:  686| [47] [サリュ]
 84:  689| [45] [「楽しいと思っている……？」]
 85:  713| [45] [そう答えた瞬間――不意に博士の目の端に、涙が浮かんだ。]
 86:  742| [45] [微笑んだまま、博士は泣いていた。]
 87:  747| [47] [サリュ]
 88:  750| [45] [「っ……博士、それはどういう意味の表情……？」]
 89:  758| [47] [美夜子]
 90:  761| [45] [「……考えなくていいの。これ以上、そんな事考えなくていいのよ」]
 91:  766| [45] [博士はサリュの肩を抱いて言う。]
 92:  774| [47] [美夜子]
 93:  777| [45] [「あなたはもう限界の際にいるの……」]
 94:  785| [47] [美夜子]
 95:  788| [45] [「私もこれから、できる限りの事はするから……だから……」]
 96:  793| [45] [彼女の声は優しかった。]
 97:  798| [45] [かろうじてサリュにも、博士が自分を気遣っている事は認識できる。]
 98:  803| [45] [しかしそんな事は、どうでもよかった。]
 99:  808| [45] [サリュは今、自分が世界から断絶した事を悟り――]
100:  813| [45] [その孤独感に、震えていた。]
