  0:   64| [45] [――鹿鳴市に着いた初日は、サリュはホテルに宿泊した。]
  1:   69| [45] [そこでＡＲＭＳの使用法や、新生活に関する諸注意などについて、しっかりレクチャーを受ける。]
  2:   74| [45] [そして翌朝、天川博士に連れられ、ホテルから学校に向かった。]
  3:  112| [45] [事情はよく知らないが、博士が言うには、サリュが入学を認められるのはこの『鹿鳴学園』だけらしかった。]
  4:  117| [45] [その前に立つと不安がよぎる。校門前までは天川博士が着いてきてくれたが、そこから先は１人だ。]
  5:  166| [47] [サリュ]
  6:  167| [45] [（うまくやれるだろうか……）]
  7:  172| [45] [緊張しながら教室の前で待つサリュに、先ほど挨拶した担任教師の声がかかる。]
  8:  177| [47] [恵那]
  9:  180| [45] [「そうよ。それじゃ三ノ宮さ～ん、入ってきて～」]
 10:  185| [45] [その声に従い、気合を入れて、サリュは教室に入った。]
 11:  311| [47] [恵那]
 12:  314| [45] [「はい、それじゃ自己紹介してね」]
 13:  319| [47] [サリュ]
 14:  322| [45] [「三ノ宮・ルイーズ・優衣」]
 15:  327| [45] [――と、難関だった自己紹介もなんとかこなした。]
 16:  370| [45] [だが教室にいる生徒の群れが、サリュには怖かった。]
 17:  440| [45] [そしてホームルームが終わると――]
 18:  532| [47] [ましろ]
 19:  535| [45] [「ハァイ、ボンジュール！　マドモアゼル・ルイーズ？」]
 20:  540| [45] [元気な女生徒が話しかけてきた。]
 21:  546| [45] [いきなり声をかけられ、サリュはびくっとする。]
 22:  551| [45] [声をかけてきた娘は、『鳥羽ましろ』。彼女はサリュと友達になりたいと言ってきた。]
 23:  556| [47] [サリュ]
 24:  557| [45] [（……本当に？　何か企んでなければいいけど）]
 25:  608| [45] [一瞬疑心暗鬼になったサリュだが、そのとき気付いた。そう言えばこの少女は、博士が言っていた『夏彦の友達』らしい。]
 26:  613| [45] [傍らには当の夏彦もいる。だったらこの２人と仲良くすべきだろう。]
 27:  618| [45] [サリュが２人と友達になる事を承諾すると、ましろは飛び上がって喜んでくれた。]
 28:  626| [47] [ましろ]
 29:  629| [45] [「さーて、なんて呼んだらいいかな？」]
 30:  637| [47] [ましろ]
 31:  640| [45] [「そうだ！　『サリュ』っていうのはどう！？」]
 32:  725| [45] [そう言われ、サリュも素直にうなずいた。]
 33:  730| [47] [サリュ]
 34:  733| [45] [「確かに、可愛い名前……それに意味深い」]
 35:  759| [47] [ましろ]
 36:  762| [45] [「え？」]
 37:  767| [47] [サリュ]
 38:  770| [45] [「『Ｓａｌｕｔ』とはフランス語で、『やぁ』という意味」]
 39:  775| [47] [サリュ]
 40:  778| [45] [「挨拶の言葉、即ちコミュニケーションの始まり」]
 41:  783| [47] [サリュ]
 42:  786| [45] [「私の頑張りを、後押ししてくれそう」]
 43:  812| [47] [ましろ]
 44:  815| [45] [「頑張りって？　コミュニケーションを取ることに対して？」]
 45:  820| [47] [サリュ]
 46:  823| [45] [「そう。私はあなたたちと仲良くしたいと思っている」]
 47:  828| [47] [サリュ]
 48:  831| [45] [「正直そういうのは、とても苦手だけど」]
 49:  857| [47] [ましろ]
 50:  860| [45] [「なーにいってんの、ちゃんと話せてるじゃん！」]
 51:  865| [47] [サリュ]
 52:  868| [45] [「……そう？」]
 53:  894| [47] [ましろ]
 54:  897| [45] [「そうだよ、ね、夏彦？」]
 55:  923| [47] [夏彦]
 56:  926| [45] [「ん……まぁ、そうだな」]
 57:  931| [45] [２人の言葉を、サリュは密かに喜んだ。]
 58:  936| [47] [サリュ]
 59:  937| [45] [（完璧なファーストコンタクト……２人ともう仲良くなれた）]
 60:  942| [45] [そんな好感触と共に、サリュの新しい生活は始まったのだった。]
 61:  950| [47] [サリュ]
 62:  953| [45] [「ん……別にそれでもいい」]
 63:  958| [47] [サリュ]
 64:  959| [45] [（というか……むしろ素敵なあだ名）]
 65:  964| [45] [『Ｓａｌｙｕ』とは、フランス語で『やぁ』という意味だ。]
 66:  969| [47] [サリュ]
 67:  970| [45] [（挨拶の言葉、即ちコミュニケーションの始まり……私の頑張りを後押ししてくれそう）]
 68:  975| [47] [サリュ]
 69:  976| [45] [（それに夏彦たちとのファーストコンタクトも、なかなかうまくいった気がする）]
 70:  981| [45] [サリュは内心で、密かに喜んだ。]
 71:  986| [45] [そのようにして、サリュの新しい生活は始まったのだった。]
 72: 1082| [45] [――だがそれから、なかなかゆっくり話す機会を得られないまま、その日の授業は終わった。]
 73: 1149| [45] [超心研での課外授業の後、天川博士に迎えに来てもらう。]
 74: 1160| [45] [建物の脇でしばらく待っていると、博士の車が近づいてきて、止まった。]
 75: 1192| [47] [美夜子]
 76: 1195| [45] [「優衣、お疲れさま」]
 77: 1200| [47] [サリュ]
 78: 1203| [45] [「あ、博士」]
 79: 1229| [47] [美夜子]
 80: 1232| [45] [「学園生活初日はどうだった？」]
 81: 1237| [47] [サリュ]
 82: 1240| [45] [「ん、疲れたけど……夏彦とましろに接触できた」]
 83: 1248| [47] [美夜子]
 84: 1251| [45] [「そう、予定通りね。仲良くなれた？」]
 85: 1256| [47] [サリュ]
 86: 1259| [45] [「かなり。もう友達になった」]
 87: 1282| [47] [美夜子]
 88: 1283| [45] [「……」]
 89: 1288| [47] [アリス]
 90: 1291| [45] [「きゅ～ん……」]
 91: 1296| [45] [ふとＡＲＭＳが、不安そうな鳴き声を上げた。]
 92: 1301| [47] [サリュ]
 93: 1304| [45] [「博士は不安に思っている？　なぜ？」]
 94: 1330| [47] [美夜子]
 95: 1333| [45] [「い、いや、気のせいよ……」]
 96: 1338| [47] [サリュ]
 97: 1341| [45] [「？」]
 98: 1346| [45] [ＡＲＭＳも判断を間違える事があるのだろうか。]
 99: 1351| [45] [不安になるようなことなど、何一つ無いはずなのに。]
100: 1377| [47] [美夜子]
101: 1380| [45] [「ともかく、今日から我が家で寝泊りする事になるわ。家に行きましょう」]
102: 1388| [47] [美夜子]
103: 1391| [45] [「あの子も恐らく、反対しないはず……」]
104: 1396| [47] [サリュ]
105: 1399| [45] [「承知した」]
106: 1470| [45] [だが天川家に行き、そこで夏彦たちと再会すると――]
107: 1558| [45] [夏彦はサリュの同居に反対した。]
108: 1563| [47] [サリュ]
109: 1564| [45] [（おかしい……こんな展開になるという話は、聞いていない）]
110: 1569| [47] [サリュ]
111: 1570| [45] [（幻覚については触れてもいないし、夏彦とはすでに友達になったはずなのに）]
112: 1575| [45] [しかし、戸惑うサリュをよそに、博士はさっさと帰ってしまった。]
113: 1598| [47] [サリュ]
114: 1601| [45] [「私がこの家に住むと、迷惑？」]
115: 1606| [47] [サリュ]
116: 1609| [45] [「だとしたら話が違う。博士は『夏彦たちは反対しないはず』と言っていたのに」]
117: 1635| [47] [夏彦]
118: 1638| [45] [「……！」]
119: 1643| [45] [その夏彦の表情を見て、サリュはぎくりとした。]
120: 1648| [47] [サリュ]
121: 1649| [45] [（この表情は、さすがに私でもわかる……）]
122: 1654| [45] [夏彦は怒っていた。誰に対して怒っているのかも、ある程度は予測がつく。]
123: 1659| [47] [サリュ]
124: 1660| [45] [（まさか私は、邪魔者なの……？）]
125: 1711| [45] [そう思うと悲しくなってくる。]
126: 1716| [45] [せっかく膨らんできた楽しさが、急にしぼんでしまった。]
127: 1795| [45] [少しでも夏彦と打ち解けようと、自分の役目について、語ってもみたが――]
128: 1800| [47] [サリュ]
129: 1803| [45] [「私はあなたを護るために、ここへ来たというのに」]
130: 1829| [47] [夏彦]
131: 1832| [45] [「え……？　ぼくを、護る？」]
132: 1916| [45] [きょとんとする夏彦を見て、サリュは思う。]
133: 1921| [47] [サリュ]
134: 1922| [45] [（説明不足？　もっと詳細を語らなければいけないのかも）]
135: 1927| [47] [サリュ]
136: 1930| [45] [「……つまり、私はあなたを護るのが役目」]
137: 1935| [47] [サリュ]
138: 1938| [45] [「嫌々やっているのではなく、欲求もある」]
139: 1964| [47] [夏彦]
140: 1967| [45] [「へ……？　な、なんで？」]
141: 1972| [47] [サリュ]
142: 1975| [45] [「……わからない。なんとなく」]
143: 2001| [47] [夏彦]
144: 2004| [45] [「な、なんとなくか」]
145: 2009| [47] [サリュ]
146: 2012| [45] [「でも、護りたいというのは本当」]
147: 2038| [47] [夏彦]
148: 2041| [45] [「そ、そうか、はは……ありがとう」]
149: 2046| [45] [夏彦が乾いた笑い声を上げた。サリュはそれに困惑する。]
150: 2051| [47] [サリュ]
151: 2052| [45] [（……別に面白い話などしていないのに）]
152: 2078| [47] [夏彦]
153: 2081| [45] [「ま、なんにしても……女の子に護られるほどヤワじゃないよ」]
154: 2107| [47] [夏彦]
155: 2110| [45] [「それじゃそろそろ戻ろうか」]
156: 2115| [47] [サリュ]
157: 2118| [45] [「……ん」]
158: 2123| [45] [誠意を尽くして語ったにも関わらず、夏彦の反応は不透明だ。]
159: 2128| [45] [サリュには彼が何を考えているのか、余計にわからなくなった。]
160: 2136| [45] [夏彦はきょとんとするばかりで、喜んでもくれなかった。]
161: 2141| [47] [サリュ]
162: 2142| [45] [（やはり、受け入れられていない……）]
163: 2147| [47] [サリュ]
164: 2148| [45] [（どうして私が、邪険にされなければならないの？　何も悪い事はしてないのに……）]
165: 2153| [45] [サリュには夏彦が何を考えているのか、まるでわからなかった。]
166: 2225| [45] [――そうして不安と共に、サリュの新生活第１日目は終わった。]
167: 2230| [45] [こんな事でこの先、うまくやっていけるのだろうかと思ったが――]
168: 2334| [45] [翌日から、事態は大きく好転した。]
169: 2339| [45] [夏彦たちと買い物に行って、少し打ち解け……]
170: 2344| [45] [そして一昨日、事故現場で会った時の事を問いただされた後、勇気を出して自分の弱点について話した。]
171: 2349| [47] [サリュ]
172: 2352| [45] [「……実は私は、他者の表情や感情の変化を察するのが、とても苦手」]
173: 2357| [47] [サリュ]
174: 2360| [45] [「これがあってようやく、人とまともにコミュニケートできる」]
175: 2426| [45] [サリュはそう言って、ＡＲＭＳを夏彦に見せた。]
176: 2468| [47] [サリュ]
177: 2471| [45] [「だから新しい生活に馴染めるか不安だった。だけどＡＲＭＳがあれば、なんとかやっていけそう」]
178: 2497| [47] [夏彦]
179: 2500| [45] [「……そうだったのか」]
180: 2551| [45] [サリュの言葉に夏彦はしばらく黙り込み、それからおずおずと言った。]
181: 2577| [47] [夏彦]
182: 2580| [45] [「あのさ、サリュ……」]
183: 2585| [47] [サリュ]
184: 2588| [45] [「なに？」]
185: 2614| [47] [夏彦]
186: 2617| [45] [「えっとその……悪かったな。今まで態度悪く接しててさ」]
187: 2622| [47] [サリュ]
188: 2625| [45] [「……ん」]
189: 2711| [45] [サリュがギクシャクとうなずいた時、傍らのましろが声を上げた。]
190: 2737| [47] [ましろ]
191: 2740| [45] [「んー、いい感じだねぇ。誤解も解けて、こいつぁ新たな友情の始まりだね？」]
192: 2766| [47] [夏彦]
193: 2769| [45] [「おまっ……そういう事を言うなよ、台無しだよ」]
194: 2774| [45] [夏彦はそう言ったが、サリュにはましろの言葉が、心にぐっときた。]
195: 2779| [47] [サリュ]
196: 2782| [45] [「友情……素敵な言葉」]
197: 2823| [47] [夏彦・ましろ]
198: 2826| [45] [「え？」]
199: 2831| [47] [サリュ]
200: 2834| [45] [「夏彦とましろに問う。私たちは、友達？」]
201: 2860| [47] [夏彦]
202: 2863| [45] [「え？　ま、まぁ……」]
203: 2889| [47] [ましろ]
204: 2892| [45] [「あったりまえだよ、サリュ！　最初に会ったときにも、そう言ったでしょ？」]
205: 2903| [47] [サリュ]
206: 2906| [45] [「……っ」]
207: 2911| [45] [サリュは心臓がどきどきするのを感じた。]
208: 2916| [45] [ましろのストレートな言葉が、嬉しかったのだ。]
209: 2924| [45] [まだギクシャクしたやり取りではあったが――決して不快な感じではなかった。]
210: 2968| [47] [サリュ]
211: 2969| [45] [（１つ学んだ……なるべく素直になった方が、コミュニケーションはうまくいくのかもしれない）]
212: 2974| [47] [サリュ]
213: 2975| [45] [（怖いと思っても、自ら心を開き、他人と触れ合っていくべき）]
214: 2980| [45] [それはサリュにとって、大きな発見だった。]
215: 3053| [45] [そしてその夜は、ましろがサリュの歓迎会を開いてくれた。]
216: 3058| [47] [ましろ]
217: 3061| [45] [「はいっ、お待たせ！」]
218: 3112| [47] [夏彦]
219: 3115| [45] [「お、おおお～！！」]
220: 3189| [47] [サリュ]
221: 3192| [45] [「……素晴しい」]
222: 3197| [45] [料理はとても美味しかったが、それ以上にましろの気遣いが嬉しかった。]
223: 3281| [47] [サリュ]
224: 3284| [45] [「……あの、ありがとうましろ。こんなに豪勢な料理を作ってくれて」]
225: 3310| [47] [ましろ]
226: 3313| [45] [「いやいや、お気になさらず。私こういうの好きなんだよ」]
227: 3339| [47] [ましろ]
228: 3342| [45] [「それにやっぱ美味しい料理は、人との距離を近くするからさ」]
229: 3347| [47] [サリュ]
230: 3350| [45] [「同感」]
231: 3355| [45] [サリュとましろは、笑みを交わした。]
232: 3360| [47] [サリュ]
233: 3361| [45] [（不思議……ましろといると、心が安らぐ）]
234: 3366| [45] [今まで天川博士以外に、そんな相手にめぐり合う事はなかった。]
235: 3371| [45] [どうしてだろうと考え、サリュはすぐに気付いた。]
236: 3376| [47] [サリュ]
237: 3377| [45] [（安らぎの原因がわかった……ましろは優しいし、裏表がないからだ）]
238: 3382| [47] [サリュ]
239: 3385| [45] [「ましろ」]
240: 3411| [47] [ましろ]
241: 3414| [45] [「ん？」]
242: 3419| [47] [サリュ]
243: 3422| [45] [「私、ましろが好き」]
244: 3448| [47] [ましろ]
245: 3451| [45] [「えっ！？　そ、そりゃ告白ッスか？」]
246: 3456| [47] [サリュ]
247: 3459| [45] [「素直に感情を表現してみた。いけなかった？」]
248: 3485| [47] [ましろ]
249: 3488| [45] [「いやいや、いけなくないよ！　私もサリュが好きだよ」]
250: 3499| [45] [ましろがそう言った時、アリスが『きゅっきゅー』と鳴いた。]
251: 3504| [45] [好意的感情を示す鳴き声――それを聞いて、サリュは思う。]
252: 3509| [47] [サリュ]
253: 3510| [45] [（やはりアリスによる判断と、言動がほぼ一致している）]
254: 3515| [47] [サリュ]
255: 3516| [45] [（私にかけてくれた諸々の言葉も、全てが真実という気がする）]
256: 3521| [45] [サリュはアリスに、全幅の信頼を置いている。]
257: 3526| [45] [その分析結果を見るに、サリュもましろの事は無条件に信じてもいいと思えてきたのだ。]
258: 3534| [47] [サリュ]
259: 3535| [45] [（彼女は優しいし、裏表がない……アリスによる判断と、言動がほぼ一致している）]
260: 3540| [47] [サリュ]
261: 3541| [45] [（私にかけてくれた諸々の言葉も、全てが真実という気がする）]
262: 3546| [45] [人の心がわからないサリュも、ましろの事は無条件に信じてもいいと思えてきたのだ。]
263: 3642| [45] [その後も皆で、小説の話などをして、とても楽しい時間を過ごす事ができた。]
264: 3727| [45] [そしてましろが帰った後、夏彦に尋ねてみる。]
265: 3732| [47] [サリュ]
266: 3735| [45] [「――今日はみんな、楽しそうにしてるように見えた。夏彦も楽しかった？」]
267: 3761| [47] [夏彦]
268: 3764| [45] [「え？　そ、そりゃもちろん。サリュは楽しくなかったのか？」]
269: 3769| [47] [サリュ]
270: 3772| [45] [「……いや」]
271: 3777| [47] [サリュ]
272: 3780| [45] [「私も、すごく楽しかった」]
273: 3803| [45] [サリュがそう言って微笑むと、夏彦も笑みを返してくれた。]
274: 3808| [45] [こんな日がずっと続けばいい……サリュはそう思っていた。]
275: 3886| [45] [――だが、その平穏は長く続かなかった。]
276: 3891| [45] [翌日の夜、仲が良かったはずの夏彦とましろが、ケンカしてしまったのだ。]
277: 3973| [47] [ましろ]
278: 3976| [45] [「もう夏彦には頼らないよ！　じゃあね！」]
279: 3985| [47] [夏彦]
280: 3988| [45] [「お、おい、ちょっと待てよましろ！」]
281: 3993| [45] [さらに、その翌日には――]
282: 4087| [45] [サリュ自身が、夏彦とケンカしてしまった。]
283: 4092| [47] [サリュ]
284: 4095| [45] [「ましろの言葉を信じていないなら、放っておけばいいのでは？」]
285: 4103| [47] [夏彦]
286: 4106| [45] [「あのな……ちょっと冷たすぎじゃないか？」]
287: 4132| [47] [夏彦]
288: 4135| [45] [「そんなんじゃ友達できないぞ」]
289: 4155| [47] [サリュ]
290: 4158| [45] [「っ……」]
291: 4163| [45] [その言葉に、サリュの胸はひどく痛む。]
292: 4168| [45] [せっかくできた友達に、まさかそんな事を言われるなんて、思ってもみなかったのだ。]
293: 4173| [47] [サリュ]
294: 4174| [45] [（いや、でも……素直に話せばあるいは……）]
295: 4179| [45] [サリュはそう思い、自分の特質について改めて話した。]
296: 4184| [45] [脳の機能が、一部機能不全を起こしている事。]
297: 4189| [45] [そのせいで他人の気持ちが、一切わからないという事を――。]
298: 4212| [47] [サリュ]
299: 4215| [45] [「日本に来て、夏彦たちと出会い、楽しい事もあったけど……混乱する事も多く、時々怖くなる」]
300: 4220| [47] [サリュ]
301: 4223| [45] [「やっぱり他人と触れ合うべきでは、なかったのかもしれない」]
302: 4228| [45] [サリュは泣きそうな気持ちで、そう言ったが――夏彦は低い声で答えた。]
303: 4254| [47] [夏彦]
304: 4257| [45] [「……他人と触れ合うべきではなかったなんて、そんな事言うなよ」]
305: 4265| [47] [夏彦]
306: 4268| [45] [「確かに他人の気持ちなんて、ぼくらにはわからないよ」]
307: 4276| [47] [夏彦]
308: 4279| [45] [「ぼくやサリュに限った話じゃないんだ。誰だってそんな事、わかるわけないんだよ」]
309: 4284| [47] [サリュ]
310: 4287| [45] [「え……！？」]
311: 4292| [47] [サリュ]
312: 4295| [45] [「私だけじゃなくて……みんな同じなの？」]
313: 4321| [47] [夏彦]
314: 4324| [45] [「そうだよ。だけど、それでもぼくらは……わかろうとする努力をするべきなんじゃないか？」]
315: 4332| [47] [夏彦]
316: 4335| [45] [「……他人の心がわからなくても、努力し続けるのが、つまりは『人を思いやる』って事で……」]
317: 4343| [47] [夏彦]
318: 4346| [45] [「それはきっと、自分のためにも他人のためにもなる事でさ……」]
319: 4354| [47] [夏彦]
320: 4357| [45] [「そう思わなきゃ、誰にも優しくなれないじゃないか」]
321: 4408| [45] [――その言葉は、サリュの心に響いた。]
322: 4413| [47] [サリュ]
323: 4414| [45] [（そうか、みんな同じなら……私だけがやきもきしていても、空回るだけ）]
324: 4419| [47] [サリュ]
325: 4420| [45] [（ひょっとしたら夏彦も、私のように、内心ではやきもきしていたのかもしれない）]
326: 4425| [47] [サリュ]
327: 4426| [45] [（それをこらえて、夏彦は今の話をしてくれた……）]
328: 4431| [47] [サリュ]
329: 4432| [45] [（……これが、思いやりと言うこと？）]
330: 4516| [47] [サリュ]
331: 4519| [45] [「……夏彦」]
332: 4545| [47] [夏彦]
333: 4548| [45] [「ん？」]
334: 4553| [47] [サリュ]
335: 4556| [45] [「夏彦は私を、思いやってくれたの？」]
336: 4582| [47] [夏彦]
337: 4585| [45] [「あぁ、ぼくなりにね」]
338: 4590| [45] [夏彦ははっきりとそう言った。]
339: 4601| [45] [アリスの反応も、その言葉が真実であることを示していた。]
340: 4606| [47] [サリュ]
341: 4607| [45] [（やっぱり、夏彦も私と同じ……！）]
342: 4612| [45] [――そのとき初めてサリュは、夏彦の心を理解できた気がした。]
343: 4620| [45] [その時、初めてサリュは、夏彦というわけのわからない少年の心を、少しだけ理解できた気がした。]
344: 4625| [47] [サリュ]
345: 4626| [45] [（ならば私も、それに応えよう……夏彦を思いやってみよう）]
346: 4673| [45] [サリュは夏彦と仲直りし、そして共にましろを探す事を決意した。]
347: 4706| [47] [サリュ]
348: 4709| [45] [「――落ち着いて考えよう、ましろを見つける方法を。私も一緒に考えるから」]
349: 4735| [47] [夏彦]
350: 4738| [45] [「ああ！」]
351: 4806| [45] [そして陰鬱な都市ゲートの前で、ましろと再会し――]
352: 4863| [45] [テロリストを探して、超心研に侵入した。]
353: 4923| [45] [そこで発生した誤解から、保安課の連中に追われるようになり、]
354: 4980| [45] [カラオケボックスで、夜を明かした。]
355: 5023| [45] [サリュの生活は、大きく変化し始めていた。]
356: 5028| [45] [夏彦たちが危険に踏み込む事は推奨できないが、サリュ自身は心の片隅で、それを楽しんでいた。]
357: 5033| [47] [サリュ]
358: 5034| [45] [（……なんだか、大冒険という感じ……）]
359: 5039| [47] [サリュ]
360: 5040| [45] [（役目にやや反してしまう可能性はあるけど、私はこういうのが好きなのかも知れない）]
361: 5098| [45] [――その翌日も、冒険は続く。]
362: 5146| [45] [超心研の爆破に遭遇した後、敵の真の狙いがラボの原子炉だと気付き――]
