  0:   81| [45] [――病院跡で、渡瀬に真実を語った男の名は、宇喜多佳司と言った。]
  1:   86| [45] [彼は渡瀬に『同志になってくれるというのなら、いつでも連絡してくれたまえ』と言い残し、その日は別れた。]
  2:   91| [45] [それから１ヶ月、渡瀬は悩みに悩んで――]
  3:   96| [45] [そしてついに、彼に連絡した。]
  4:  165| [45] [――密談の場所は、あの時と同じ病院跡だった。]
  5:  170| [45] [仕事を抜けてそこに行くと、やがて宇喜多が、緊張の面持ちで現れた。]
  6:  209| [47] [宇喜多]
  7:  212| [45] [「久しぶりだね、笠鷺さん」]
  8:  238| [47] [宇喜多]
  9:  241| [45] [「僕らの同志になる事を、決意してくれたのかな？」]
 10:  249| [47] [渡瀬]
 11:  252| [45] [「いや……その前に、１つ聞きたい事がある」]
 12:  278| [47] [宇喜多]
 13:  281| [45] [「なんだね？」]
 14:  289| [47] [渡瀬]
 15:  292| [45] [「あんたがラボを裏切る理由は？」]
 16:  300| [47] [渡瀬]
 17:  303| [45] [「納得できる理由もないのに、自分が所属している組織を裏切るような人間は、信用できない」]
 18:  308| [45] [宇喜多はその問いに、苦々しい表情を浮かべた。]
 19:  334| [47] [宇喜多]
 20:  337| [45] [「……幽閉されている被験体が、かわいそうになっただけさ」]
 21:  345| [47] [渡瀬]
 22:  348| [45] [「なに？　コミュニケーターを拉致し、人体実験をやっているのは、あんたらなんだろ？」]
 23:  374| [47] [宇喜多]
 24:  377| [45] [「いや、それはごく一部の職員――『シニアフェロー』と呼ばれる、上級研究員だけだ」]
 25:  385| [47] [宇喜多]
 26:  388| [45] [「僕ら一般研究員は、ラボがＢＣの研究施設だと知っていても、被験体の存在については知らされていない」]
 27:  414| [47] [宇喜多]
 28:  417| [45] [「だが僕はふとした拍子に、それを知ってしまってね……」]
 29:  443| [47] [宇喜多]
 30:  446| [45] [「自分の職場が非人道的行為を行っているのであれば、止めたいと思ったのさ」]
 31:  454| [47] [渡瀬]
 32:  457| [45] [「純粋な正義感からか？」]
 33:  483| [47] [宇喜多]
 34:  486| [45] [「まぁそんなところだ」]
 35:  512| [47] [宇喜多]
 36:  515| [45] [「なにしろあのラボの職員たちは、誰一人自分の職場の異常さについて改めようとしない」]
 37:  541| [47] [宇喜多]
 38:  544| [45] [「他に誰もやろうとしないのなら、否が応にも正義感が湧いてくるものだろう？」]
 39:  552| [47] [渡瀬]
 40:  555| [45] [「いかにも人間的な理由だな。科学者らしくもない」]
 41:  581| [47] [宇喜多]
 42:  584| [45] [「科学者の大半は、存外に人間的なものだよ。そういう人間は、ラボの職員に向いていないというだけで」]
 43:  610| [47] [宇喜多]
 44:  613| [45] [「君の理由よりは、だいぶ弱いとは思うが――納得いったかい？」]
 45:  618| [47] [渡瀬]
 46:  619| [45] [「…………」]
 47:  627| [47] [渡瀬]
 48:  630| [45] [「……あぁ」]
 49:  635| [45] [渡瀬には、宇喜多の理由が弱いなどとは思えなかった。]
 50:  640| [45] [人権を踏みにじられ、命を脅かされている者を『救いたい』という動機はよく理解できる。]
 51:  645| [47] [渡瀬]
 52:  646| [45] [（亘だったら、そうするだろうしな……）]
 53:  651| [45] [渡瀬は宇喜多に、手を差し伸べた。]
 54:  678| [47] [渡瀬]
 55:  681| [45] [「信用しよう。俺も及ばずながら、あんたに協力する」]
 56:  689| [47] [宇喜多]
 57:  692| [45] [「……感謝の極みだ」]
 58:  697| [45] [宇喜多が渡瀬の手を、がっしりと握る。]
 59:  702| [45] [枯れ木のような細い手だったが、その掌は熱に満ちていた。]
 60:  752| [45] [――その日から、渡瀬たちのテロ計画は動き始めた。]
 61:  879| [45] [密談の場所を、病院跡から渡瀬の自宅に移し、計画を練っていく。]
 62:  884| [45] [密談前に、渡瀬は宇喜多の言葉に従って、部屋に盗聴器が仕掛けられていないか調べたりもした。]
 63:  889| [45] [恐ろしいことに、部屋には盗聴器が仕掛けられていたが、それは全て破壊しておいた。]
 64:  894| [45] [その後しばらく注意していたが、新たに盗聴器が仕掛けられることはなかった。]
 65:  899| [45] [すでに監視対象から外れていたのだろう。]
 66:  935| [47] [渡瀬]
 67:  938| [45] [「――さて、宇喜多さん。まずは聞かせてもらおうか」]
 68:  946| [47] [渡瀬]
 69:  949| [45] [「あんたらの計画とやらの内容と、その目的を」]
 70:  975| [47] [宇喜多]
 71:  978| [45] [「うむ。それについてはすでに、こちらである程度考えてある」]
 72:  983| [45] [宇喜多はうなずいて、話し始めた。]
 73: 1009| [47] [宇喜多]
 74: 1012| [45] [「僕らが憎む対象は、『鹿鳴市』と『ラボ』だ」]
 75: 1020| [47] [宇喜多]
 76: 1023| [45] [「この２つに同時に、致命的な打撃を与えたい」]
 77: 1031| [47] [宇喜多]
 78: 1034| [45] [「そのためにも第１の目的として、囚われの被験体を救出しよう」]
 79: 1042| [47] [渡瀬]
 80: 1045| [45] [「何？　それがなぜ、ラボに打撃を与える事に繋がるんだ？」]
 81: 1053| [47] [宇喜多]
 82: 1056| [45] [「真実を明るみに出すための、生き証人になってもらうのさ」]
 83: 1082| [47] [宇喜多]
 84: 1085| [45] [「僕らが声高に叫んだとしても、もみ消されるか、あるいは変人扱いされるのがオチだろうが――」]
 85: 1111| [47] [宇喜多]
 86: 1114| [45] [「被験体を救出すれば、ラボの悪事について、これ以上ない証人となってくれる」]
 87: 1122| [47] [宇喜多]
 88: 1125| [45] [「当事者の言葉であれば、さすがに世間もマスコミも無視できないだろう」]
 89: 1133| [47] [渡瀬]
 90: 1136| [45] [「なるほど、道理だ。そうすれば鹿鳴市が今まで隠蔽してきた事も、芋づる式に追及されるな」]
 91: 1144| [47] [渡瀬]
 92: 1147| [45] [「しかしそうするにしても、ラボの内部にはどうやって侵入するんだ？」]
 93: 1155| [47] [渡瀬]
 94: 1158| [45] [「ラボの警備は、原発並みに厳しいだろ？」]
 95: 1184| [47] [宇喜多]
 96: 1187| [45] [「うむ。そこでレスキュー隊である君の出番と言うわけだ」]
 97: 1195| [47] [渡瀬]
 98: 1198| [45] [「なに？」]
 99: 1224| [47] [宇喜多]
100: 1227| [45] [「ラボの警備には、１つだけ穴があるのさ」]
101: 1253| [47] [宇喜多]
102: 1256| [45] [「自動化された『防災システム』――これが最大の死角なんだよ」]
103: 1264| [47] [渡瀬]
104: 1267| [45] [「防災システムが……？」]
105: 1275| [47] [宇喜多]
106: 1278| [45] [「あぁ。ラボ内で火災等が起きれば、自動的に君たち『シリウス』に通報が入るだろう？」]
107: 1304| [47] [宇喜多]
108: 1307| [45] [「すると君たちは、警備員に呼び止められることなく、ラボ内に突入できるじゃないか」]
109: 1315| [47] [渡瀬]
110: 1318| [45] [「……！」]
111: 1326| [47] [渡瀬]
112: 1329| [45] [「そうか……そして火災の混乱に乗じ、俺たちが被験体とやらを連れ出せばいいってわけか！」]
113: 1334| [45] [自分に声がかかった理由が、ようやく理解できた。]
114: 1360| [47] [宇喜多]
115: 1363| [45] [「だがこれはあくまで、計画の入口だ」]
116: 1389| [47] [宇喜多]
117: 1392| [45] [「ラボの警備システムは２重３重に張り巡らされていて、計画遂行のためには、他にも様々な障害がある」]
118: 1418| [47] [宇喜多]
119: 1421| [45] [「それについて、順に説明していこう」]
120: 1426| [45] [宇喜多は懐からＰＤＡを取り出した。]
121: 1477| [45] [そこに地図が表示されている。]
122: 1485| [47] [宇喜多]
123: 1488| [45] [「これはラボ内の地図だ。ラボの建設を行った業者から、Ｑの同志が盗んできたものだよ」]
124: 1496| [47] [宇喜多]
125: 1499| [45] [「で、ここを見てくれ。被験体が幽閉されているのは、ラボの地下深くだ」]
126: 1507| [47] [渡瀬]
127: 1510| [45] [「地下２階って所か？」]
128: 1515| [45] [ラボは『地上２階・地下２階』の研究施設だと聞いた事がある。]
129: 1520| [45] [その１番下の階にいるのだと想像したのだが――]
130: 1528| [47] [宇喜多]
131: 1531| [45] [「違う。もっと深くだ」]
132: 1578| [47] [宇喜多]
133: 1581| [45] [「地下フロア中央にある『Ｎエリア』……そこに実はもう１つ、下りのエレベーターがあるのさ」]
134: 1589| [47] [渡瀬]
135: 1592| [45] [「なに！？　『地下３階』が存在するのか？」]
136: 1640| [47] [宇喜多]
137: 1643| [45] [「そうだ。大深度地下フロア、通称『Ｚｅｒｏエリア』――」]
138: 1651| [47] [宇喜多]
139: 1654| [45] [「そこに２名の被験体が囚われているんだ。陽の光も差さない場所にね」]
140: 1662| [47] [渡瀬]
141: 1665| [45] [「被験体は２名か……名前や年齢、性別はわかるのか？」]
142: 1673| [47] [宇喜多]
143: 1676| [45] [「わからん。ただぼくが調べたところ、それぞれ『被験体Ｎ』と『被験体ＹⅡ』と呼ばれているという事だけがわかった」]
144: 1684| [47] [渡瀬]
145: 1687| [45] [「『ＹⅡ』？　『ＹⅠ』は存在するのか？」]
146: 1723| [47] [宇喜多]
147: 1726| [45] [「いや……『被験体Ｙ』は数年前に、『破棄』されたと言う」]
148: 1734| [47] [宇喜多]
149: 1737| [45] [「恐らく『被験体Ａ』と同じく、ラボ内で死亡したのだろう」]
150: 1745| [47] [渡瀬]
151: 1748| [45] [「……そうか」]
152: 1753| [45] [黙り込む渡瀬に、宇喜多が続ける。]
153: 1761| [47] [宇喜多]
154: 1764| [45] [「……話を戻そう。助けるべき被験体たちは、Ｚｅｒｏエリアにいるわけだが――」]
155: 1811| [47] [宇喜多]
156: 1814| [45] [「そこに降りるためには、幹部クラスの研究員のセキュリティカードが２枚必要だ」]
157: 1861| [47] [宇喜多]
158: 1864| [45] [「さらに、網膜の認証も必要らしい」]
159: 1872| [47] [渡瀬]
