  0:   79| [45] [Ｎエリアに上がると、プロキオンの警告音が鳴った。]
  1:   84| [45] [数値は、『４１８２ｍＳｖ』――第１安全基準値を超えている！]
  2:   89| [47] [渡瀬]
  3:   90| [45] [（しまった！　地下で時間をかけすぎた！）]
  4:  121| [45] [渡瀬が被験体Ｎの手を引いて、駆け出そうとした時――]
  5:  212| [47] [渡瀬]
  6:  213| [45] [（ッ！！）]
  7:  218| [45] [頭の中を、何かが突き抜けた気がした。]
  8:  569| [45] [その瞬間、渡瀬の脳裏に様々な情景が明滅した。]
  9:  908| [45] [あの日、宇喜多から鹿鳴市同時多発火災の真相を聞いてから、今日ここに来るまでの記憶が浮かび――]
 10: 1247| [45] [そして、消えた。]
 11: 1311| [47] [渡瀬]
 12: 1312| [45] [（……！？　なんだ、今のは……！？）]
 13: 1317| [45] [同時に心の底から、奇怪な感情が湧き上がってきた。]
 14: 1322| [45] [焦燥感と不快感と、そして怒りが入り混じったような感情が。]
 15: 1342| [47] [渡瀬]
 16: 1343| [45] [（ッ……！）]
 17: 1374| [45] [渡瀬は無意識に、被験体Ｎに目をやった。]
 18: 1379| [45] [すると彼女は渡瀬を見て――]
 19: 1408| [47] [被験体Ｎ]
 20: 1411| [45] [「ぇけけけけけけ」]
 21: 1416| [45] [怪鳥のような笑い声を上げた。]
 22: 1445| [47] [渡瀬]
 23: 1448| [45] [「なっ……！」]
 24: 1453| [45] [強烈な悪寒が、背筋に走り抜ける。]
 25: 1458| [45] [被験体Ｎを見ていると、その悪寒がさらに強くなっていった。]
 26: 1463| [47] [渡瀬]
 27: 1464| [45] [（なんだ、この感覚は……！）]
 28: 1505| [45] [慌てて堂島たちに目をやると――２人は顔をしかめ、被験体Ｎを睨んでいた。]
 29: 1510| [45] [内心の不快感が、にじみ出てでもいるように……！]
 30: 1515| [45] [渡瀬は悪寒を振り切るように、声を上げた。]
 31: 1523| [47] [渡瀬]
 32: 1526| [45] [「い、行くぞ！　宇喜多さんと合流しなきゃいかん！」]
 33: 1549| [47] [堂島]
 34: 1552| [45] [「あ……ああ」]
 35: 1557| [45] [堂島がかすれた声を上げる。]
 36: 1614| [45] [渡瀬たちは被験体Ｎを連れて、Ｎエリアを出た。]
 37: 1675| [45] [Ｎエリアを出るなり、けたたましいサイレンが鳴った。]
 38: 1680| [47] [自動放送]
 39: 1683| [45] [「――ただいま、『ケースＮ』が発生しました」]
 40: 1688| [47] [自動放送]
 41: 1691| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
 42: 1696| [47] [自動放送]
 43: 1699| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
 44: 1759| [45] [宇喜多の言っていた通り、被験体ＮがＮエリア外に出たため、ケースＮが発令されたのだ。]
 45: 1764| [45] [渡瀬たちは閉ざされたセキュリティゲートを、幹部研究員たちから奪ったカードを使って開け、監視ルームに向かう。]
 46: 1886| [45] [――そこに戻るなり、宇喜多が声を上げた。]
 47: 1915| [47] [宇喜多]
 48: 1918| [45] [「遅かったじゃないか！　３人ともなんともないか！？」]
 49: 1926| [47] [渡瀬]
 50: 1929| [45] [「あ、ああ……とりあえず、大丈夫そうだが……」]
 51: 1934| [45] [先ほど感じた悪寒については、とりあえず伏せた。]
 52: 1960| [47] [宇喜多]
 53: 1963| [45] [「本当か……？」]
 54: 1968| [45] [宇喜多が疑いの目で、渡瀬を見る。その視線がひどく気に障った。]
 55: 1976| [47] [渡瀬]
 56: 1979| [45] [「大丈夫だと言っているだろう。それより――」]
 57: 1987| [47] [渡瀬]
 58: 1990| [45] [「大変だ宇喜多さん！　Ｚｅｒｏエリアには、被験体が１人しかいなかった！」]
 59: 2016| [47] [宇喜多]
 60: 2019| [45] [「なに！？」]
 61: 2027| [47] [渡瀬]
 62: 2030| [45] [「ＹⅡの姿が見当たらないんだ！　どこにいるかわかるか！？」]
 63: 2056| [47] [宇喜多]
 64: 2059| [45] [「むぅ……では、第５エリアにいるのかも知れないな」]
 65: 2085| [47] [宇喜多]
 66: 2088| [45] [「僕の調べによれば、第５エリア外周棟地下１階に、隠し部屋のようなものがある」]
 67: 2096| [47] [宇喜多]
 68: 2099| [45] [「有事の際の避難場所のようだ。あるいはここにいるのかも――」]
 69: 2104| [45] [そこまで喋ってから、宇喜多はふと何かに気付いた表情を浮かべた。]
 70: 2130| [47] [宇喜多]
 71: 2133| [45] [「……？」]
 72: 2159| [47] [宇喜多]
 73: 2162| [45] [「そう言えば、あの幹部研究員たちはどうしたのかね？」]
 74: 2170| [47] [渡瀬]
 75: 2173| [45] [「っ……」]
 76: 2178| [45] [渡瀬たちは答えられなかった。]
 77: 2183| [45] [宇喜多は眉をしかめ、視線をめぐらせる。]
 78: 2190| [45] [そして堂島の服にかかった返り血を見て、表情を強張らせた。]
 79: 2222| [47] [宇喜多]
 80: 2225| [45] [「……お、おい君たち！　Ｚｅｒｏエリアで、何をした！？」]
 81: 2251| [47] [宇喜多]
 82: 2254| [45] [「あの幹部研究員２名をどうしたんだ！？」]
 83: 2259| [45] [喚き声を上げる宇喜多に、堂島たちは――搾り出すように答えた。]
 84: 2289| [47] [堂島]
 85: 2292| [45] [「こ……殺してしまった」]
 86: 2322| [47] [桧山]
 87: 2325| [45] [「２人とも、被験体Ｎの部屋で……」]
 88: 2351| [47] [宇喜多]
 89: 2354| [45] [「な、なんだって！？」]
 90: 2359| [45] [宇喜多は愕然として、渡瀬を睨みつけた。]
 91: 2385| [47] [宇喜多]
 92: 2388| [45] [「隊長さん、話が違うじゃないか！」]
 93: 2396| [47] [宇喜多]
 94: 2399| [45] [「人的被害は出さないんじゃなかったのか！？」]
 95: 2407| [47] [渡瀬]
 96: 2410| [45] [「い、いや……あれは、事故だったんだ」]
 97: 2436| [47] [宇喜多]
 98: 2439| [45] [「事故！？　事故で２人とも死んだというのかね！？」]
 99: 2518| [45] [宇喜多は激昂し、渡瀬に詰め寄った。]
100: 2526| [47] [宇喜多]
101: 2529| [45] [「正直に言ってくれ、隊長さん！　君らはもしかして――意図的に、あの２人を殺したんじゃないのか！？」]
102: 2537| [47] [渡瀬]
103: 2540| [45] [「ま、待て！　落ち着け宇喜多さん！」]
104: 2566| [47] [宇喜多]
105: 2569| [45] [「誰も傷つけないという話だったじゃないか！　騙していたのか！？」]
106: 2595| [47] [宇喜多]
107: 2598| [45] [「もしそうだと言うなら、僕は君たちを――」]
108: 2604| [45] [宇喜多の手が、渡瀬の持つ拳銃へと伸びる。]
109: 2609| [45] [――奪われる！]
110: 2614| [45] [そう思うと同時に、とっさに体が動いた。]
111: 2619| [45] [渡瀬は銃を振り上げ、宇喜多の後頭部めがけて振り下ろした。]
112: 2692| [47] [宇喜多]
113: 2695| [45] [「っ！」]
114: 2741| [47] [宇喜多]
115: 2744| [45] [「な、ぜ……」]
116: 2796| [45] [宇喜多が気を失い、床に崩れ落ちる。]
117: 2801| [45] [渡瀬は我に返り、声を上げた。]
118: 2809| [47] [渡瀬]
119: 2812| [45] [「……すまない、宇喜多さん」]
120: 2820| [47] [渡瀬]
121: 2823| [45] [「俺たちは……もう引き返すことができないんだ」]
122: 2828| [45] [渡瀬たちも、あんなことは望んではいなかった。]
123: 2833| [45] [だが――あれはもう起こってしまったことなのだ。]
124: 2838| [45] [堂島が疲れたような声で言う。]
125: 2882| [47] [堂島]
126: 2885| [45] [「……どうするんだ、笠鷺。こんな事になっちまって……」]
127: 2893| [47] [渡瀬]
128: 2896| [45] [「……宇喜多さんが目覚める前に、脱出の手はずを整えよう」]
129: 2962| [45] [渡瀬は宇喜多が勝手に移動できないように、彼のセキュリティカードを奪った。]
130: 2967| [45] [なぜかポケットにもう１枚入っていたので、そちらも奪っておく。]
131: 2984| [47] [渡瀬]
132: 2987| [45] [「お前たちは機材を、地下１階に運んでおいてくれ」]
133: 2992| [47] [桧山]
134: 2995| [45] [「被験体ＹⅡは、どうするんですか？」]
135: 3026| [45] [――被験体ＹⅡ。部屋を見る限り、恐らくまだ年若い少女だろう。]
136: 3031| [45] [まさか置いていくわけにもいかない。]
137: 3067| [47] [渡瀬]
138: 3070| [45] [「……俺がその娘を探しに行く」]
139: 3093| [47] [堂島]
140: 3096| [45] [「バカな、１人でか！？」]
141: 3104| [47] [渡瀬]
142: 3107| [45] [「行くしかないだろう！　お前たちは後を頼む！」]
143: 3115| [47] [渡瀬]
144: 3118| [45] [「２０分待って戻らなかったら、俺を置いて行け！」]
145: 3177| [45] [渡瀬はそう言って、監視ルームを飛び出した。]
146: 3279| [45] [――心の中が、ひどくざわついていた。]
147: 3284| [45] [走りながら渡瀬は考える。]
148: 3289| [47] [渡瀬]
149: 3290| [45] [（被験体ＹⅡはきっと、第５エリアにいる……その娘さえ見つけられれば、計画は成功だ……！）]
150: 3295| [47] [渡瀬]
151: 3296| [45] [（多少の犠牲者は出してしまったが……）]
152: 3350| [47] [渡瀬]
153: 3351| [45] [（被験体Ｎに、ひどい仕打ちをしていた奴らじゃないか……！）]
154: 3356| [47] [渡瀬]
155: 3357| [45] [（だいたいあいつらの罪は、それだけじゃない。１６年前の火災の原因を作った奴らなんだ）]
156: 3362| [47] [渡瀬]
157: 3363| [45] [（だから……あれは、そう……報いだ）]
158: 3368| [47] [渡瀬]
159: 3369| [45] [（あんな奴らは、死んで当然なんだ……！）]
160: 3408| [45] [渡瀬はそう思い、自分たちの行動を正当化しようとした。]
161: 3498| [45] [――だがその一方で、別の思考がよぎる。]
162: 3503| [47] [渡瀬]
163: 3504| [45] [（『死んで当然』……！？）]
164: 3509| [47] [渡瀬]
165: 3510| [45] [（確かにそうかもしれないが――）]
166: 3523| [47] [渡瀬]
167: 3524| [45] [（『１６年前の火災を作った原因』は、あいつらだけか？）]
168: 3529| [47] [渡瀬]
169: 3530| [45] [（直接の原因を作ったのは、あいつらじゃないだろう……？）]
170: 3535| [47] [渡瀬]
171: 3536| [45] [（……）]
172: 3541| [47] [渡瀬]
173: 3542| [45] [（……）]
174: 3562| [47] [渡瀬]
175: 3563| [45] [（……え！？）]
176: 3568| [47] [渡瀬]
177: 3569| [45] [（なんだ、いま俺は何を考えた？）]
178: 3574| [47] [渡瀬]
179: 3575| [45] [（直接の原因を作ったのは、って……！？）]
180: 3588| [45] [心は千々に乱れ、思考は取り止めがなかった。]
181: 3593| [45] [自分が何を考えているのか、渡瀬自身にもよくわからなかった。]
182: 3687| [45] [――心中に混乱を抱えたまま、第５エリア外周棟・地下１階に着いた。]
183: 3695| [47] [渡瀬]
184: 3698| [45] [「はぁっ、はぁっ……」]
185: 3703| [45] [超人的体力を持っているはずの渡瀬なのに、息が上がっていた。]
186: 3708| [45] [動悸がいつもより激しく、呼吸がちっとも整わない。]
187: 3721| [47] [渡瀬]
188: 3722| [45] [（……ひ、被験体ＹⅡは……！）]
189: 3727| [45] [闇雲に探し回っていると、やがて奇妙なものを見つけた。]
190: 3753| [45] [通路の壁に、数字の書かれたボタンが並んでいる。]
191: 3758| [47] [渡瀬]
192: 3759| [45] [（これが宇喜多さんの言っていた、『有事の際の避難場所』か！？）]
193: 3771| [45] [渡瀬はそこに駈け寄り、壁を叩いた。]
194: 3776| [47] [渡瀬]
195: 3777| [45] [（頼む、ここにいてくれ！）]
196: 3788| [45] [するとやがて壁が開き、扉が現れ――]
197: 3844| [45] [その向こうから、少女が姿を見せた。]
198: 3905| [47] [悠里]
199: 3908| [45] [「……！？」]
200: 3913| [45] [少女は渡瀬を見るなり、怪訝そうな顔をした。]
201: 3918| [45] [渡瀬は平静を装い、少女に言う。]
202: 3926| [47] [渡瀬]
203: 3929| [45] [「ようやく見つけた……君はこのラボの関係者だな？」]
204: 3955| [47] [悠里]
205: 3958| [45] [「あ……あなたは？」]
206: 3966| [47] [渡瀬]
207: 3969| [45] [「レスキュー隊だ。君たちを救助に来た」]
208: 4011| [45] [渡瀬がそう言うと、少女は――表情を強張らせた。]
209: 4037| [47] [悠里]
210: 4040| [45] [「あなたは……Ｑの！？」]
211: 4070| [47] [渡瀬]
212: 4073| [45] [「！！」]
213: 4078| [45] [その言葉に、渡瀬はぞっとした。]
214: 4083| [45] [鳥肌が立ち、心がひどく揺さぶられる。]
215: 4088| [45] [いま出逢ったばかりの彼女が、渡瀬の正体を知るはずがないのに――]
216: 4096| [47] [渡瀬]
217: 4099| [45] [「おい……まさかＢＣで読んだのか？　俺の心を」]
218: 4104| [45] [凄まじい嫌悪感が、胸中を満たす。]
219: 4109| [45] [心を読まれるという事が、これほど不愉快だとは思わなかった。]
220: 4132| [47] [悠里]
221: 4133| [45] [「……」]
222: 4138| [45] [少女は渡瀬を睨みつけている。]
223: 4143| [45] [あどけない顔立ちの少女なのに――なぜかひどく苛立たしい。]
224: 4153| [47] [渡瀬]
225: 4156| [45] [「……まぁいい、一緒に来てもらおうか」]
226: 4193| [45] [渡瀬はそう言って、少女の腕を掴んだ。]
227: 4234| [47] [悠里]
228: 4237| [45] [「い、いやっ！　やめて！」]
229: 4245| [47] [渡瀬]
230: 4248| [45] [「暴れないでくれ！　大人しくすれば、手荒なことはしない！」]
231: 4253| [45] [渡瀬がそう叫んでも、少女は暴れるのを止めなかった。]
232: 4258| [47] [渡瀬]
233: 4259| [45] [（これ以上、心を覗かれるのはまずい……！）]
234: 4264| [47] [渡瀬]
235: 4265| [45] [（俺たちが殺人を犯したのがバレたら、ますます収拾がつかなくなる！）]
236: 4319| [45] [その時、渡瀬はポケットの中の薬の事を思い出した。]
237: 4324| [45] [――ラボの連中から支給されたＡＤ。それはまだ２本残っている。]
238: 4329| [47] [渡瀬]
239: 4330| [45] [（確かこれを打てば、ＢＣが使えなくなるはず――！）]
240: 4352| [45] [渡瀬はとっさにポケットからＡＤを取り出し、少女の首筋に投与した。]
241: 4413| [47] [悠里]
242: 4416| [45] [「痛っ！」]
243: 4421| [45] [少女が悲鳴を上げる。]
244: 4444| [45] [そして何か念じるような仕草を見せたが――すぐにはっと息を呑んだ。]
245: 4470| [47] [悠里]
246: 4473| [45] [「ど、どうして……」]
247: 4478| [45] [やはりＢＣを使おうとしていたのだろう。渡瀬は少女に言う。]
248: 4486| [47] [渡瀬]
249: 4489| [45] [「ＢＣを封じる薬を打たせてもらった。君の能力はもう使えない」]
250: 4515| [47] [悠里]
251: 4518| [45] [「嘘……！」]
252: 4523| [45] [少女は絶望の表情を浮かべ、渡瀬の腕を振りほどこうとした。]
253: 4562| [45] [だが渡瀬は少女を逃がさず、裸絞めに捕らえた。]
254: 4576| [47] [悠里]
255: 4579| [45] [「う……」]
256: 4584| [45] [少女はすぐに気を失い、ぐったりと動かなくなった。]
257: 4589| [45] [心はまるで痛まなかった。]
