  0:   64| [45] [--April 7, 2021.]
  1:   69| [45] [Kazami hurried on home after getting off of work.]
  2:  104| [47] [Kazami]
  3:  105| [45] [(I have to hurry or I'm going to be late.)]
  4:  110| [45] [Tomorrow was Nagisa's first day of elementary school.]
  5:  115| [45] [So Kazami wanted to have a fun day with her sister before then and make sure she was ready for tomorrow.]
  6:  120| [47] [Kazami]
  7:  121| [45] [(I'd like to take the day off tomorrow so we can celebrate her first day.)]
  8:  126| [47] [Kazami]
  9:  127| [45] [(Oh, it'd be nice to invite Jun over too while I'm at it...)]
 10:  132| [45] [The moment that thought crossed her mind--]
 11:  146| [45] [A fire truck's sirens screeched as it sped past Kazami.]
 12:  153| [47] [Kazami]
 13:  154| [45] [(...?)]
 14:  159| [47] [Kazami]
 15:  160| [45] [(Did something happen...?)]
 16:  165| [45] [She suddenly felt uneasy.]
 17:  170| [45] [Kazami looked towards the skies above her destination, and then noticed it--]
 18:  175| [45] [--A line of smoke rising from the direction of the apartment complex where she and Nagisa lived.]
 19:  181| [47] [Kazami]
 20:  184| [45] ["Huh...!?"]
 21:  195| [45] [Kazami instinctively broke into a dash.]
 22:  200| [45] [She felt like she could hear Nagisa calling for help.]
 23:  246| [45] [And the sight that awaited her was--]
 24:  325| [45] [--the partially collapsed apartment complex engulfed in a wall of smoke.]
 25:  330| [47] [Kazami]
 26:  333| [45] ["Aah, aaah, aaaaaah..."]
 27:  338| [47] [Kazami]
 28:  341| [45] ["This can't be! No! What is this...!?"]
 29:  346| [45] [She couldn't believe her eyes.]
 30:  351| [45] [Firefighters ran around while onlookers gathered around and started making a ruckus.]
 31:  356| [47] [Onlooker 1]
 32:  359| [45] ["Oh my God! What the hell happened here!?"]
 33:  364| [47] [Onlooker 2]
 34:  367| [45] ["It was a gas explosion! Boy, I feel sorry for anyone still in there..."]
 35:  372| [45] [Just as they said, the third floor-- the one where the Tachibanas lived-- was collapsing.]
 36:  377| [47] [Kazami]
 37:  380| [45] ["Aah, aaah... Nagisa, Nagisa...!"]
 38:  385| [45] [Kazami staggered towards the apartment complex.]
 39:  448| [45] [The hallway she often walked through was now slanting.]
 40:  455| [45] [Debris fell from the ceiling with each step she took.]
 41:  460| [45] [Ignoring it, Kazami headed straight for the staircase leading to the third floor,]
 42:  465| [47] [???]
 43:  468| [45] ["Hey, what are you doing!?"]
 44:  473| [45] [only to be stopped by a voice from downstairs.]
 45:  478| [47] [Kazami]
 46:  481| [45] ["!?"]
 47:  504| [45] [She quickly turned around to find a man in an orange uniform standing there.]
 48:  509| [47] [Kazami]
 49:  512| [45] ["Wh-who are you...?"]
 50:  538| [47] [Watase]
 51:  541| [45] ["I'm a rescue worker. I'm here to rescue those trapped here. Do you have family here?"]
 52:  546| [47] [Kazami]
 53:  549| [45] ["Y-yes, my little sister! Please save her! She's in Room 303--!"]
 54:  557| [47] [Watase]
 55:  560| [45] ["We were actually heading there ourselves just now."]
 56:  614| [47] [Watase]
 57:  617| [45] ["Don't worry, I swear we'll save your sister! But it's dangerous for you here, so please wait outside."]
 58:  622| [47] [Kazami]
 59:  625| [45] ["O... okay!"]
 60:  630| [45] [She felt she could trust the man from the calm voice he spoke with.]
 61:  635| [45] [She reluctantly nodded and headed out of the apartment complex.]
 62:  732| [45] [--The man then rescued Nagisa, just as he'd promised.]
 63:  737| [45] [He also brought out Jun, who had also been in the apartment and got caught in the explosion as well.]
 64:  742| [45] [The two girls were taken to the hospital in an ambulance, with Kazami not far behind.]
 65:  809| [45] [Alas, that wasn't the end of the story.]
