  0:   66| [45] [――第１エリアで渡瀬と再会した後――]
  1:   71| [45] [事故に巻き込まれた民間人の少女『ユウリ』を救助した風見たちだったが――]
  2:  116| [45] [その直後、渡瀬が奇妙な事を言い出した。]
  3:  210| [47] [渡瀬]
  4:  213| [45] [「オレが『隊長』って呼ばれてるってことは、つまり……オレはレスキュー隊かなんかの隊長なんだよな？」]
  5:  218| [47] [風見]
  6:  221| [45] [「それは……どういう意味でしょう？」]
  7:  249| [47] [渡瀬]
  8:  252| [45] [「その、実は……わからないんだよ」]
  9:  260| [47] [渡瀬]
 10:  263| [45] [「自分が誰で、ここがどこなのか……」]
 11:  268| [47] [風見]
 12:  271| [45] [「そ、それは、まさか……」]
 13:  324| [47] [洵]
 14:  327| [45] [「記憶喪失……？」]
 15:  381| [47] [渡瀬]
 16:  384| [45] [「……そ、そう……いわゆる記憶喪失らしい……」]
 17:  389| [47] [風見]
 18:  390| [45] [（そんなバカな――！？）]
 19:  395| [45] [風見は一瞬、訝しく思ったが――]
 20:  407| [45] [まずは確認すべき事を聞いてみた。]
 21:  412| [47] [風見]
 22:  415| [45] [「お、お待ち下さい隊長！　頭にケガなどはされてませんか！？」]
 23:  423| [47] [渡瀬]
 24:  426| [45] [「ケガ……？　そう言えば、さっき頭がズキンと痛んだが……」]
 25:  431| [45] [その答えを聞き、風見の心は、心配と安堵がない交ぜになった。]
 26:  436| [47] [風見]
 27:  439| [45] [「やはり……！　どこかに頭を打ちつけた可能性があります」]
 28:  444| [47] [風見]
 29:  447| [45] [「意識や記憶の混濁は、恐らくそのせいでしょう。ならば記憶は、時間が経てば戻ってくるはずです」]
 30:  473| [47] [渡瀬]
 31:  476| [45] [「そ、そういうものなのか？」]
 32:  481| [47] [風見]
 33:  484| [45] [「えぇ。外傷による逆行性健忘症は、ほとんどの場合は特に治療をしなくても、やがて自然に症状が消えるそうです」]
 34:  510| [47] [渡瀬]
 35:  513| [45] [「……じゃあ、これは一時的なものか」]
 36:  518| [47] [風見]
 37:  521| [45] [「はい。ただ脳が損傷していた場合、健忘症は恒久的になる恐れがあります」]
 38:  574| [47] [洵]
 39:  577| [45] [「なにそれヤバそうじゃん……！」]
 40:  603| [47] [洵]
 41:  606| [45] [「隊長、頭痛の程度はどうなの？　吐き気とかは？」]
 42:  660| [47] [渡瀬]
 43:  663| [45] [「ああ……今は全く痛まない。吐き気も特に感じない」]
 44:  668| [45] [風見はその言葉に、ひとまず胸を撫で下ろす。]
 45:  673| [47] [風見]
 46:  674| [45] [（しかし一時的にとは言え、危険な状態である事は間違いない……！）]
 47:  679| [47] [風見]
 48:  680| [45] [（私がこの人を、支えてあげなくては！！）]
 49:  685| [45] [新たに発生した問題に、風見は一層気を引き締めた。]
 50:  836| [45] [――ともかく風見は渡瀬の身を案じ、彼を簡易基地に置いて行こうとした。]
 51:  841| [45] [だが、その提案を渡瀬は呑まなかった。]
 52:  867| [47] [渡瀬]
 53:  870| [45] [「オレにも要救助者の捜索を手伝わせてくれ！」]
 54:  875| [47] [風見]
 55:  878| [45] [「え？　しかし――」]
 56:  904| [47] [渡瀬]
 57:  907| [45] [「腐ってもオレは、レスキュー隊なんだろ？　だったら１人だけ休んでいるなんて、耐えられないんだよ」]
 58:  912| [45] [その言葉が、なんだか嬉しかった。]
 59:  917| [45] [記憶を失ってもなお、渡瀬はレスキュー隊員なのだ。]
 60:  922| [47] [風見]
 61:  925| [45] [「……全く、らしいと言うか……」]
 62:  930| [45] [――しかし、熱意だけではこの仕事は務まらない。]
 63:  935| [45] [渡瀬、洵、そしてユウリの命を護るため、風見はいつもよりなお厳しく振舞う事にした。]
 64:  940| [47] [風見]
 65:  943| [45] [「これは通常の現場ではありません。隊員として同行するならば、それ相応の覚悟をして頂きます」]
 66:  969| [47] [渡瀬]
 67:  972| [45] [「……！」]
 68:  977| [47] [風見]
 69:  980| [45] [「記憶が戻るまでは、隊長を新人隊員として扱います。隊長は守部と同様、私の指揮下に入ってください」]
 70:  985| [47] [風見]
 71:  988| [45] [「非礼は重々承知ですが、そうでもしなければ命に関わります……どうかご容赦を」]
 72: 1016| [47] [渡瀬]
 73: 1019| [45] [「あ……ああ、了解だ！」]
 74: 1024| [45] [そう答える渡瀬に、風見は内心でエールを送った。]
 75: 1029| [47] [風見]
 76: 1030| [45] [（無理しないで下さいね……！）]
