  0:   66| [45] [――その後、鹿鳴学園の教師『恵那』を救助した風見たちは――]
  1:  134| [45] [さらに第３エリアの監視ルームで、研究員の『宇喜多』に遭遇した。]
  2:  213| [45] [そして高校生３名が、この施設に閉じ込められている事を知り、彼らの捜索に向かった。]
  3:  287| [45] [だがその途中、渡瀬のミスから、バックドラフトに遭遇した。]
  4:  292| [45] [記憶と共に能力も失ってしまった渡瀬に、肝を冷やされる事もあったが、それでも風見たちは前に進む。]
  5:  346| [45] [しかしそんな彼女たちを、待ち受けていたのは――]
  6:  404| [45] [要救助者２名と、仲間の亡骸だった。]
  7:  439| [47] [風見]
  8:  442| [45] [「そ、そんな……！？」]
  9:  447| [47] [風見]
 10:  450| [45] [「あれは、あの死体は……！！」]
 11:  455| [47] [洵]
 12:  458| [45] [「堂島先輩……だよ」]
 13:  469| [47] [風見]
 14:  470| [45] [（……ッ！）]
 15:  475| [45] [風見はその言葉に、頭を殴られたようなショックを感じた。]
 16:  480| [45] [彼はかけがえのない仲間であり、何よりあの崩れかけた団地から、渡瀬と共に凪沙を救助してくれた男だったのだ。]
 17:  485| [47] [風見]
 18:  486| [45] [（その堂島さんが……！　どうして、こんな事に……！）]
 19:  491| [45] [風見がそう思った時、渡瀬が虚ろな声で呟く。]
 20:  496| [47] [渡瀬]
 21:  499| [45] [「い、一体……」]
 22:  504| [47] [渡瀬]
 23:  507| [45] [「ここで、何が……！？」]
 24:  512| [45] [風見は内心の動揺を隠し、静かに答える。]
 25:  517| [47] [風見]
 26:  520| [45] [「……わかりません、ですが……」]
 27:  525| [47] [風見]
 28:  528| [45] [「彼らはこの部屋を、簡易基地にしていたようです……」]
 29:  533| [45] [部屋の奥には、割れたＡＤのアンプルが２本落ちていた。]
 30:  538| [47] [風見]
 31:  541| [45] [「支給された分のようですね……」]
 32:  546| [47] [洵]
 33:  549| [45] [「堂島先輩も……この人たちに、それを投与してたのかな」]
 34:  554| [47] [風見]
 35:  557| [45] [「……そうかもしれませんね。堂島も彼らを保護し、脱出を図ってたのでしょう」]
 36:  562| [47] [洵]
 37:  565| [45] [「あたしたちと同じだね……」]
 38:  570| [47] [洵]
 39:  573| [45] [「でも……こんなのってないよ」]
 40:  578| [47] [洵]
 41:  581| [45] [「どうして堂島先輩が、殺されなきゃなんないの……！？」]
 42:  586| [47] [風見]
 43:  589| [45] [「……考え過ぎてはダメです」]
 44:  594| [47] [風見]
 45:  597| [45] [「桧山の遺体がないところを見ると、彼はまだ生きているはずです。せめてそれを救いとしましょう……」]
 46:  602| [47] [洵]
 47:  605| [45] [「……うん……」]
 48:  610| [47] [風見]
 49:  613| [45] [「ひとまず出ましょうか……これ以上、ここに長居するのは……私も辛いですから」]
 50:  618| [45] [風見は洵を慰めるのが、精一杯だった。]
