  0:   65| [45] [堂島の遺体を発見した後も、風見たちは捜索を続行した。]
  1:   70| [45] [だが、そのわずか１時間後――]
  2:  129| [45] [彼女らは、再び仲間の死に遭遇してしまったのだ。]
  3:  165| [47] [風見]
  4:  168| [45] [「そんな……そんな……」]
  5:  173| [47] [洵]
  6:  176| [45] [「桧山先輩まで……！」]
  7:  181| [45] [――桧山は足を骨折し、火に巻かれて死んだようだ。]
  8:  186| [45] [風見たちだけではなく、恵那や宇喜多やユウリたちも、激しく動揺していた。]
  9:  272| [45] [――風見は皆の心を静めるべく、毅然とした態度を貫く。]
 10:  277| [47] [風見]
 11:  280| [45] [「……殉職は、この仕事をしている以上、避けられない事ではあります」]
 12:  306| [47] [渡瀬]
 13:  309| [45] [「しかし、橘……」]
 14:  314| [47] [風見]
 15:  317| [45] [「何も言わないで下さい、隊長」]
 16:  322| [47] [風見]
 17:  325| [45] [「悲しむのは、要救助者を助け、外に出てからにします」]
 18:  330| [47] [風見]
 19:  333| [45] [「ほら、守部も……」]
 20:  338| [45] [風見がそう声をかけると、洵は今にも泣きそうな顔で言う。]
 21:  416| [47] [洵]
 22:  419| [45] [「だけど……あたし、現場で同僚を失ったの……今日が初めてなんだよ……」]
 23:  445| [47] [洵]
 24:  448| [45] [「それが、こんな、立て続けに……」]
 25:  453| [47] [風見]
 26:  456| [45] [「わかってます。ですがシャンとしなさい。シリウスに入った時に、女は捨てたはずでしょう」]
 27:  482| [47] [洵]
 28:  485| [45] [「でも、お姉ちゃん……！」]
 29:  490| [45] [そう言って洵はうつむく。]
 30:  523| [45] [洵が『お姉ちゃん』と呼ぶのを、風見は咎めなかった。]
 31:  528| [45] [自分の心に激しい波が立ち、それを抑えるのに精一杯だった。]
 32:  533| [47] [風見]
 33:  534| [45] [（耐えなきゃ……私が皆を引っ張らなきゃ……！）]
 34:  539| [45] [風見がそう思った時――渡瀬が声を上げた。]
 35:  572| [47] [渡瀬]
 36:  575| [45] [「橘、守部……ちょっといいか」]
 37:  580| [47] [風見]
 38:  583| [45] [「え？」]
 39:  609| [47] [渡瀬]
 40:  612| [45] [「リーダー交替だ。ここから先は、オレがみんなを率いる」]
 41:  645| [47] [洵]
 42:  648| [45] [「た、隊長……？」]
 43:  696| [47] [渡瀬]
 44:  699| [45] [「なに、本来の役割に戻るだけだ」]
 45:  725| [47] [渡瀬]
 46:  728| [45] [「とにかく少しオレを頼れ。特に橘、お前は色々背負い込み過ぎだ」]
 47:  733| [47] [風見]
 48:  734| [45] [「……」]
 49:  739| [45] [風見は渡瀬を見つめた。]
 50:  744| [47] [風見]
 51:  745| [45] [（そんな、だって、仕方ないじゃない……！　今は私がリーダーなんだから）]
 52:  750| [47] [風見]
 53:  751| [45] [（記憶を失ったあなたに、任せるわけには……！）]
 54:  756| [45] [そう口にしようとした時、渡瀬が鋭く続けた。]
 55:  783| [47] [渡瀬]
 56:  786| [45] [「聞けないか？　それじゃ命令する――シリウスの隊長としてな」]
 57:  812| [47] [渡瀬]
 58:  815| [45] [「現刻を以って橘風見副隊長、守部洵隊員は、笠鷺渡瀬隊長の指揮下に入れ！」]
 59:  862| [47] [風見・洵]
 60:  865| [45] [「！！」]
 61:  870| [45] [風見はその言葉に、身を震わせる。]
 62:  875| [45] [その声に、表情に、いつもの頼れる渡瀬の姿が重なった。]
 63:  901| [47] [渡瀬]
 64:  904| [45] [「復唱ッ！」]
 65:  909| [47] [風見]
 66:  912| [45] [「はっ！　橘風見副隊長、笠鷺渡瀬隊長の指揮下に入ります！」]
 67:  938| [47] [洵]
