  0:   65| [45] [――それは約１週間前の事――]
  1:   70| [45] [風見はいつものように、仕事に精を出していた。]
  2:   75| [45] [ここのところ出場はなく、平和な日々が続いている。]
  3:   80| [45] [だがそういう仕事の谷間には、風見は己のスキルアップを計る事にしていた。]
  4:   85| [45] [訓練はもちろんの事、仕事のために必要な知識などを蓄えるのだ。]
  5:   90| [45] [各種の資格取得のための知識。]
  6:   95| [45] [毒物・劇物・爆発物などの知識。]
  7:  100| [45] [そして防災のために欠かせない――過去に発生した事故や、災害の知識を。]
  8:  135| [45] [過去の事故・災害の調査記録について調べるのは、風見の趣味のようなものだ。]
  9:  141| [45] [後輩である火災調査員から資料を送ってもらい、それを訓練の合間に眺める。]
 10:  146| [47] [風見]
 11:  147| [45] [（危機的状況に対したとき、頼れるのはやはりこういう知識なのよ……）]
 12:  152| [45] [洵には『暗い趣味だなぁ』と言われたが、何しろ命がけの仕事をしているのだ。暗いもへったくれもない。]
 13:  157| [45] [だが、仕事に活かせるか否かは別として、風見がずっと調べ続けている事があった。]
 14:  162| [45] [――『鹿鳴市営団地ガス爆発事故』の記録。]
 15:  167| [45] [凪沙の命を奪い、洵の背に傷を負わせた、あの忌わしい事故……風見はそれにこだわっていた。]
 16:  178| [45] [と、その時、風見のＰＤＡに着信が入った。]
 17:  183| [45] [ディスプレイを見ると、件の火災調査員の名前と、『メール着信』のアイコンが表示されている。]
 18:  188| [47] [風見]
 19:  189| [45] [（過去の事故の資料かしら……）]
 20:  201| [45] [そう思いながら、風見はメールを開いた。]
 21:  285| [45] [件名：鹿鳴市営団地ガス爆発事故について（７）]
 22:  289| [85] [　]
 23:  292| [45] [送信者：飛鳥井玲菜]
 24:  296| [85] [　]
 25:  299| [45] [本文：]
 26:  303| [85] [　]
 27:  306| [45] [橘風見様]
 28:  310| [85] [　]
 29:  313| [45] [お疲れ様です。鹿鳴市東消防署火災調査員、飛鳥井です。]
 30:  317| [45] [先日に引き続き、例の事故調査についてご報告致します。]
 31:  321| [85] [　]
 32:  324| [45] [現状で判明した事は、以下の通りです。]
 33:  328| [85] [　%N]
 34:  331| [45] [①団地東棟の１階から６階部分までが半壊した原因について]
 35:  335| [85] [　]
 36:  338| [45] [これについては、恐らく原因はいくつもあります。]
 37:  342| [85] [　]
 38:  345| [45] [まず考えられるのは、建物自体の老朽化、および剛性不足です。]
 39:  349| [85] [　]
 40:  352| [45] [鹿鳴市営団地は、鹿鳴市が政令指定機密都市になる前に建てられた、]
 41:  355| [45] [古い建物です。]
 42:  359| [45] [事故当時、築４４年。法定耐用年数としてはギリギリです。]
 43:  363| [85] [　%N]
 44:  367| [45] [さらには鉄筋の中抜き、シャブコンの使用など、]
 45:  371| [45] [明らかな手抜き工事の痕跡が見られました。]
 46:  375| [85] [　]
 47:  378| [45] [そのため建物の強度が不足し、ガス爆発によって発生した衝撃に耐えられず、]
 48:  384| [45] [半ば自重崩壊したものと考えられます。]
 49:  388| [85] [　%N]
 50:  391| [45] [②団地東棟全域に衝撃を与えるほどのガス爆発が起きた原因について]
 51:  398| [85] [　]
 52:  401| [45] [これについては当時の資料が不十分で、]
 53:  404| [45] [調査に時間がかかっております。]
 54:  408| [85] [　]
 55:  411| [45] [しかしまず言えるのは、『爆発は１度ではなかった』という事です。]
 56:  415| [85] [　]
 57:  418| [45] [最初の爆発が起きたのは、恐らく東棟１階の住戸。]
 58:  422| [45] [そこで発生した爆炎は、壁を突き破り、両隣の住戸に達しました。]
 59:  426| [85] [　]
 60:  429| [45] [また同時に天井を突き破り、上階の住戸にも達しました。]
 61:  433| [45] [以上、計４つの住戸が爆炎に飲まれた事になります。]
 62:  437| [85] [　%N]
 63:  440| [45] [そのどれかで２度目のガス爆発が発生。]
 64:  443| [85] [　]
 65:  446| [45] [続いて連鎖反応的に、いくつかの小爆発が起き――]
 66:  450| [45] [最終的には、あれほどの大規模な爆発をもたらしたものと思われます。]
 67:  456| [45] [（当時、団地近隣に住んでいた住人も、『複数の爆発音を聞いた』と証言しております）]
 68:  463| [85] [　%N]
 69:  466| [45] [③当時の資料が不足している理由について]
 70:  470| [85] [　]
 71:  473| [45] [申し訳ございません。これについては私にもわかりません。]
 72:  477| [85] [　]
 73:  480| [45] [当時すでに、鹿鳴市には火災調査員が複数名いたはずなのですが……]
 74:  487| [45] [信頼できる資料が非常に少ないです。]
 75:  491| [85] [　]
 76:  494| [45] [当時の調査員たちの職務怠慢が原因と思われます。]
 77:  498| [45] [まことに面目ないです……。]
 78:  502| [85] [　%N]
 79:  505| [45] [今回の調査報告は以上になります。]
 80:  509| [85] [　]
 81:  512| [45] [それと……残念な報告が１つ。]
 82:  516| [45] [どうも私、救急に異動になりそうです。]
 83:  520| [85] [　]
 84:  523| [45] [いきなり司令から、そんなようなことを言われました。]
 85:  527| [85] [　]
 86:  530| [45] [異動になったら、]
 87:  533| [45] [火災調査員としての職務は続行できなくなりますが……]
 88:  537| [85] [　]
 89:  540| [45] [先輩から頼まれたこの調査だけは、独自に続けていこうと思います。]
 90:  544| [45] [というわけで、引き続きよろしくお願いします。]
 91:  622| [47] [風見]
 92:  623| [45] [「……」]
 93:  628| [45] [メールを読み終えた風見は、顔をしかめた。]
 94:  633| [45] [ひとまずお礼の返信をして、それから考える。]
 95:  638| [47] [風見]
 96:  639| [45] [（複数の爆発……？　そんなことって、そうそう起こるかしら）]
 97:  644| [45] [もし本当に連鎖爆発が起きたとしたら、国内の災害史上最大規模の集合住宅ガス爆発事故という事になる。]
