  0:   65| [45] [――それは風見がシリウスに入り、約半年が過ぎた、ある日の事――]
  1:   70| [45] [彼女は独り、苦悶していた。]
  2:  136| [47] [風見]
  3:  137| [45] [（あれは、どういう意味だったのかしら……！？）]
  4:  142| [45] [朝の日課となっているＡチーム全員でのランニング中、風見はずっと考えていた。]
  5:  147| [45] [昨夜、風見はなんと渡瀬に誘われて、２人でクラシックのコンサートを聴きに行ったのだ。]
  6:  152| [45] [クラシックのコンサートなど、風見にとって人生初の事だった。]
  7:  201| [45] [渡瀬と話を合わせるため、風見はその前日、徹夜でクラシックの知識を頭に詰め込んだ。]
  8:  206| [45] [ショパン、モーツァルト、ベートーヴェン、ラヴェル、バッハ、ドヴォルザーク――]
  9:  211| [45] [長調、短調、フーガの構造、対位法、音楽の歴史、音楽家の人生、行われる演目の解釈……。]
 10:  216| [45] [当日の午前中にそれらしいドレスを買い揃え、美容室にも行った。]
 11:  265| [45] [そうして迎えた、本番の夜。]
 12:  270| [45] [風見は渡瀬の隣で、ＮＤＫ交響楽団が奏でる旋律を聴きながら――]
 13:  275| [45] [心地好い眠りに落ちてしまったのだった。]
 14:  280| [45] [……そして目覚めた時、風見は渡瀬に手を握られていた。]
 15:  285| [45] [あの時の驚きは、おそらく生涯忘れられないだろう。]
 16:  290| [45] [だがその直後にコンサートが終了し、渡瀬の手は拍手のために離れてしまったのだった。]
 17:  295| [45] [彼の真意はわからないままに……。]
 18:  349| [45] [今も風見の手のひらには、渡瀬の温かい手の感触が残っている。]
 19:  354| [45] [それを思い出すたび、風見の胸はトクントクンと高鳴った。]
 20:  359| [47] [風見]
 21:  360| [45] [（もしかして、隊長も私の事が……！）]
 22:  365| [47] [風見]
 23:  366| [45] [（いいえ、まさかそんなはずは……昨日だって、食事のあとすぐに帰ってしまったし……）]
 24:  371| [47] [風見]
 25:  372| [45] [（でもあれは疲れている私を気遣った、隊長なりの優しさで……！）]
 26:  377| [47] [風見]
 27:  378| [45] [（ううん、そんなのは私が都合よく解釈しているだけかもしれないし……）]
 28:  383| [47] [風見]
 29:  384| [45] [（でも――だったらどうして隊長は、私の手を握ったりなんか……！）]
 30:  389| [45] [消防署の周囲を走りながら、気持ちが上昇と下降を繰り返す。]
 31:  422| [47] [渡瀬]
 32:  425| [45] [「……何やってんだ、橘？　お前、周回遅れだぞ？」]
 33:  451| [47] [渡瀬]
 34:  454| [45] [「おい、ぼーっとすんな。前見て走れ、前見て」]
 35:  459| [45] [遠くで誰かが話している。]
 36:  464| [45] [だが風見はそれどころではない状態だった。]
 37:  469| [47] [風見]
 38:  470| [45] [（いけないわ、私ったら。訓練中に、こんな事を考えているなんて――）]
 39:  496| [47] [渡瀬]
 40:  499| [45] [「おい、橘。後ろから車来てるぞ」]
 41:  504| [47] [風見]
 42:  505| [45] [（で、でも……もし隊長も私の事が、す、好きなんだとしたら……！）]
 43:  531| [47] [渡瀬]
 44:  534| [45] [「おい、車だって。お前、どこ見てんだよ？」]
 45:  539| [47] [風見]
 46:  540| [45] [（私は……私は嬉しすぎて……どうにかなってしまいそう……！）]
 47:  567| [47] [渡瀬]
 48:  570| [45] [「ば、馬鹿！　そっちは車道だ！」]
 49:  575| [47] [風見]
 50:  578| [45] [「えっ！？」]
 51:  601| [45] [風見の腕は、いきなり誰かに引かれていた。]
 52:  653| [45] [あまりに唐突な出来事に、バランスを崩して倒れてしまう。]
 53:  658| [47] [風見]
 54:  661| [45] [「きゃっ」]
 55:  725| [47] [渡瀬]
 56:  728| [45] [「うおっ」]
 57:  739| [47] [風見]
 58:  742| [45] [「あ……え……？」]
 59:  747| [45] [見ると目の前に渡瀬がいる。]
 60:  752| [45] [風見が道路に押し倒しているような格好だった。]
 61:  757| [45] [２人の間に、距離がほとんどない。]
 62:  783| [47] [渡瀬]
 63:  786| [45] [「何考えてんだ、橘！　お前、死にたいのか！」]
 64:  791| [45] [風見には、何が起こっているのかわからなかった。]
 65:  796| [45] [わかるのは、渡瀬が目の前にいるという事だけ。]
 66:  801| [45] [――その時、風見の中で何かが弾けた。]
 67:  806| [47] [風見]
 68:  809| [45] [「あの、隊長……」]
 69:  835| [47] [渡瀬]
 70:  838| [45] [「なんだよ？」]
 71:  843| [47] [風見]
 72:  846| [45] [「好き、です」]
 73:  872| [47] [渡瀬]
 74:  875| [45] [「………へ？」]
 75:  880| [45] [渡瀬の目が丸く見開かれた。]
 76:  885| [45] [それは風見の人生で、初の告白だったと言うのに。]
 77:  917| [47] [渡瀬]
 78:  920| [45] [「お……お前、いま……」]
 79:  925| [45] [震える声で言われ、風見ははっと我に返った。]
 80:  930| [45] [すると自分の発言が、タイミングも何も考えない告白が、強烈に恥ずかしくなってきて――……]
 81:  935| [47] [風見]
 82:  938| [45] [「た、隊長……！」]
 83:  964| [47] [渡瀬]
