  0:  129| [45] [――それは、遠い日の想い出。]
  1:  134| [45] [夏彦が悠里と出会ってから、初めて迎えた夏休み――]
  2:  180| [45] [夏彦たちは『鹿鳴市の七不思議』の謎を解明しようと、毎日街を駆け回っていた。]
  3:  185| [45] [その日も夏彦と悠里は、七不思議解明作戦に取り組むため、街外れの『秘密基地』に向かった……。]
  4:  228| [47] [夏彦]
  5:  231| [45] [「さーてしょくん、集まってるか！？　今日もかいめい作戦がんばろー！」]
  6:  236| [45] [悠里と共に秘密基地に入るなり、夏彦はそう声を上げた。]
  7:  241| [45] [だがそれに対する答えはない。]
  8:  246| [45] [いつも声をかけずとも集まっていたはずの仲間たちは、誰もいなかった。]
  9:  254| [47] [夏彦]
 10:  257| [45] [「……って、あれ？　おかしいな、なんでだれもいないんだ？」]
 11:  283| [47] [悠里]
 12:  286| [45] [「昨日まで、みんなあつまってたのに……？」]
 13:  325| [47] [夏彦]
 14:  328| [45] [「ましろー！　リチオ、スギゾー、マルイチー！」]
 15:  336| [47] [悠里]
 16:  339| [45] [「ヒメっちー、あいぽん、レンレンー？」]
 17:  344| [45] [友達のあだ名を並べてみたが、やはり返事はない。]
 18:  349| [45] [そこでふと悠里が、思い出したように声を上げた。]
 19:  377| [47] [悠里]
 20:  380| [45] [「あ……そういえば今日、おぼんだよね」]
 21:  388| [47] [夏彦]
 22:  391| [45] [「おぼん？」]
 23:  417| [47] [悠里]
 24:  420| [45] [「なんかね、いなかのね、おじいちゃんとかの家にいく日らしいよ」]
 25:  428| [47] [夏彦]
 26:  431| [45] [「あ、そういえばましろが言ってたな……今日から北海道のおじいちゃんの家にいくって」]
 27:  436| [45] [夏彦には会うべき祖父母がいないので、お盆については気にも留めていなかった。]
 28:  462| [47] [悠里]
 29:  465| [45] [「……かんがえてみればヒメっちたちも、夏休みはいなかにいくっていってたね。今日からだったんだね～」]
 30:  473| [47] [夏彦]
 31:  476| [45] [「じゃあリチオたちもか……ちぇっ、かいめい作戦よりいなかが大事なんて、あいつらもはくじょうものだな」]
 32:  481| [45] [夏彦はぷくーっと頬を膨らませる。]
 33:  486| [45] [悠里は困ったように言った。]
 34:  512| [47] [悠里]
 35:  515| [45] [「じゃあ今日は２人だけだね。どうするひこりん？　かいめい作戦は、みんなが帰ってきてからにする？」]
 36:  523| [47] [夏彦]
 37:  526| [45] [「いーや、２人だけでもやろう。ましろたちがいなくても、ぼくと悠里がいればじゅうぶんだし」]
 38:  552| [47] [悠里]
 39:  555| [45] [「え、そ、そう？」]
 40:  563| [47] [夏彦]
 41:  566| [45] [「だって悠里、お姉さんだし、本よむからものしりだしさ。ぼくのすばやさと悠里のずのうがあれば、なんでもできるよ」]
 42:  592| [47] [悠里]
 43:  595| [45] [「そ、そんなこと言われたのはじめて……！」]
 44:  621| [47] [悠里]
 45:  624| [45] [「うん、やる気でてきた！　ひこりん、かいめい作戦がんばろー！」]
 46:  706| [47] [夏彦]
 47:  709| [45] [「おー！」]
 48:  715| [45] [夏彦たちはそう言って、拳を空に突き上げた。]
 49:  811| [45] [さっそく夏彦たちは秘密基地を出て、歩きながら話した。]
 50:  887| [47] [夏彦]
 51:  890| [45] [「さて悠里。今日は七不思議の５番めについて、しらべようと思う」]
 52:  898| [47] [悠里]
 53:  901| [45] [「『正しいやり方を知らずにＢＣを使うと、そのコミュニケーターは心がこわれたかいぶつになっちゃう』ってやつだね」]
 54:  927| [47] [悠里]
 55:  930| [45] [「しかもそのかいぶつは、保安課のぶたいによってつかまえられるっていう噂もあるよ」]
 56:  938| [47] [夏彦]
 57:  941| [45] [「でもだったらさ、保安課につかまえられる前は、どこかにいるはずなんだよね」]
 58:  977| [45] [夏彦はそう言って、懐から街の地図を取り出した。]
 59:  982| [45] [それを悠里と２人で、頭を寄せ合って見る。]
 60: 1009| [47] [夏彦]
 61: 1012| [45] [「この街のどこかに、かいぶつがいるとしたら……悠里はどこにいると思う？」]
 62: 1038| [47] [悠里]
 63: 1041| [45] [「うーん、そうだなぁ……かいぶつっていうくらいだから、なんかくらくて怖そうなところにいるんじゃないかな？」]
 64: 1067| [47] [悠里]
 65: 1070| [45] [「たとえば、こないだましろんと３人で行った、病院の跡とか」]
 66: 1078| [47] [夏彦]
 67: 1081| [45] [「そこしかないかな。ましろが騒いでたし」]
 68: 1089| [47] [夏彦]
 69: 1092| [45] [「よし、そこに行ってみよう！」]
 70: 1118| [47] [悠里]
 71: 1121| [45] [「うんっ！」]
 72: 1177| [45] [２人はそう話し、病院跡へ向かった。]
 73: 1240| [45] [そこはいつ来ても、薄気味の悪い場所だった。]
 74: 1245| [45] [夏彦は悠里と一緒に、そこに足を踏み入れる。]
 75: 1253| [47] [夏彦]
 76: 1256| [45] [「こ、ここにおばけだけじゃなく、かいぶつもいるのかな……？」]
 77: 1282| [47] [悠里]
 78: 1285| [45] [「だとしたら、怖すぎるね……」]
 79: 1293| [47] [夏彦]
 80: 1296| [45] [「でも大丈夫だよ悠里。かいぶつが出てきたら、ぼくの必殺パンチでやっつけるから」]
 81: 1304| [47] [悠里]
 82: 1307| [45] [「う、うん……」]
 83: 1331| [45] [怯える悠里を護るように、夏彦は身を彼女に寄せる。]
 84: 1336| [45] [やがてふと、悠里がはっと息を呑んだ。]
 85: 1364| [47] [悠里]
 86: 1367| [45] [「あっ！　ひ、ひこりん！　そこに誰かいる！」]
 87: 1375| [47] [夏彦]
 88: 1378| [45] [「なにっ！？」]
 89: 1428| [45] [すわ怪物の出現かと思い、夏彦は身構えた。]
 90: 1454| [45] [だがそこにいたのは――夏彦たちより少し年上と思しき少女だった。]
 91: 1497| [47] [年上の少女]
 92: 1500| [45] [「わっ！　び、びっくりしたー……！」]
 93: 1532| [47] [年上の少女]
 94: 1535| [45] [「あ、あんたたち、誰？」]
 95: 1543| [47] [夏彦]
 96: 1546| [45] [「お、お前こそなにものだ！？　ここで何をしてる？」]
 97: 1572| [47] [年上の少女]
 98: 1575| [45] [「何者だじゃないでしょ、ナマイキな子だなー」]
 99: 1601| [47] [年上の少女]
100: 1604| [45] [「あたしはね、町内会の肝試しの下見にきたんだよ。別に怪しいもんじゃないよ」]
101: 1612| [47] [夏彦]
102: 1615| [45] [「なんだ、そうか……怪しんでごめん。なさい」]
103: 1641| [47] [年上の少女]
104: 1644| [45] [「ありゃ、ナマイキかと思ったら素直だね～？　でも素直な子は嫌いじゃないよ」]
105: 1670| [47] [年上の少女]
106: 1673| [45] [「ところであんたたちこそ、何してんの？　あんたたちも肝試し？」]
107: 1681| [47] [夏彦]
108: 1684| [45] [「ちがうよっ、そんなのじゃなくて――」]
109: 1692| [47] [悠里]
110: 1695| [45] [「わたしたち、かいぶつを探してるんですけど……お姉さん、かいぶつみませんでしたか？」]
111: 1721| [47] [年上の少女]
112: 1724| [45] [「怪物？　って、鹿鳴市の七不思議に出てくるアレ？」]
113: 1732| [47] [悠里]
114: 1735| [45] [「そうですそうです」]
115: 1743| [47] [年上の少女]
116: 1746| [45] [「いやー見てないなぁ。このへんぐるっと一回りしたけど、それっぽいのはいなかったよ？」]
117: 1754| [47] [悠里]
118: 1757| [45] [「そ、そうですか……残念なような、ちょっとほっとしたような……」]
119: 1765| [47] [夏彦]
120: 1768| [45] [「うーん、あてが外れちゃったか」]
121: 1773| [45] [かっくりと肩を落とす夏彦を見て、少女が苦笑する。]
122: 1799| [47] [年上の少女]
123: 1802| [45] [「そんな気を落とさないでよ。でもなんで怪物なんて探してるの？」]
124: 1810| [47] [夏彦]
125: 1813| [45] [「七不思議のなぞをとくためだよ。この夏休みは友達みんなで、そのかいめい作戦やってるんだ」]
126: 1839| [47] [年上の少女]
127: 1842| [45] [「へー、なんか面白そうだね？」]
128: 1850| [47] [夏彦]
129: 1853| [45] [「面白いよ。まざる？」]
130: 1879| [47] [年上の少女]
131: 1882| [45] [「ん～……ちょっと交ざりたいけど、３時までに帰って来いってパパに言われてるんだ。だからそろそろ帰らなきゃ」]
132: 1890| [47] [夏彦]
133: 1893| [45] [「なんだ、残念」]
134: 1901| [47] [悠里]
135: 1904| [45] [「残念です……ともだちふえるかなと思ったのに……」]
136: 1930| [47] [年上の少女]
137: 1933| [45] [「まぁ、もしまた会ったら誘ってよ。そんじゃね」]
138: 1974| [45] [少女はそう言って、廃病院を出て行った。]
139: 1979| [45] [夏彦と悠里は、顔を見合わせて話す。]
140: 2012| [47] [夏彦]
141: 2015| [45] [「どうやらここには、かいぶついないみたいだね」]
142: 2023| [47] [悠里]
143: 2026| [45] [「わたしたちも出ようか……ここ、怖いし……」]
144: 2034| [47] [夏彦]
145: 2037| [45] [「こ、怖くないけど出よう」]
146: 2098| [45] [夏彦たちはそう話し、廃病院を出た。]
147: 2166| [47] [夏彦]
148: 2169| [45] [「かいぶつがいるとしたら、他はどこかな？」]
149: 2195| [47] [悠里]
150: 2198| [45] [「うーん、何か手がかりは、と……」]
151: 2203| [45] [そう話しながら、２人でそぞろに街を歩く。]
152: 2259| [45] [やがて消防署の前に出た。]
153: 2264| [45] [するとその敷地の中から――]
154: 2271| [47] [？？]
155: 2274| [45] [「――マジかよ、ホントお前はバケモンだな！？」]
156: 2279| [45] [そんな声が聞こえてきた。]
157: 2302| [47] [夏彦・悠里]
158: 2305| [45] [「っ！」]
159: 2329| [45] [夏彦たちは驚いて、素早く物陰に身を隠す。]
160: 2334| [45] [すると敷地の中から、話し声が続いて聞こえた。]
161: 2339| [47] [？？]
162: 2342| [45] [「レスキュー試験の時、９種目中７種目で新記録出したんだろ？　それだけでも驚きなのに、それをまた更新したって？」]
163: 2347| [47] [？？]
164: 2350| [45] [「だからこの人は、もはや人類じゃないんですよ。怪物ですよ怪物」]
165: 2358| [47] [？？]
166: 2361| [45] [「お前らなぁ、そのくらいで人を怪物扱いするんじゃない」]
167: 2369| [47] [？？]
168: 2372| [45] [「だいたいアレだ、腕立ては堂島には敵わなかったし、片足バランスは桧山の方が上だろ。だったら別に常識の範囲内だ」]
169: 2377| [47] [？？]
170: 2380| [45] [「普通のわけねぇだろ、気遣われたみたいで逆にムカつくわ」]
171: 2385| [47] [？？]
172: 2388| [45] [「いーかげん人間じゃない事認めましょうよ。どこの星で生まれたんです？」]
173: 2396| [47] [？？]
174: 2399| [45] [「あのなぁ、ったく……」]
175: 2404| [45] [――そんな会話が、聞こえてくる。]
176: 2429| [45] [夏彦たちは愕然として、顔を見合わせた。]
177: 2437| [47] [夏彦]
178: 2440| [45] [「か、かいぶつって……消防署に、かいぶつが？」]
179: 2448| [47] [悠里]
180: 2451| [45] [「まさかこんなところに……？」]
181: 2486| [45] [そう話しているうち、また声がした。]
182: 2494| [47] [？？]
183: 2497| [45] [「とにかく馬鹿話はこの辺にしとけ。司令長にどやされるぞ」]
184: 2528| [45] [その声に続き、男がこちらに近寄ってくる。]
185: 2533| [45] [それは目つきの悪い青年だった。]
186: 2541| [47] [夏彦]
187: 2544| [45] [「あ、あの人が……？」]
188: 2552| [47] [悠里]
189: 2555| [45] [「い、行ってみようひこりん……」]
190: 2563| [45] [２人はそう話し、男に歩み寄る。]
191: 2597| [47] [夏彦]
192: 2600| [45] [「あ、あの、お兄さん」]
193: 2626| [47] [？？]
194: 2629| [45] [「ん？　どうした子供たち、俺に何か用か？」]
195: 2637| [47] [夏彦]
196: 2640| [45] [「あの、えっと……」]
197: 2648| [47] [悠里]
198: 2651| [45] [「お兄さんは、かいぶつですか？」]
199: 2677| [47] [？？]
200: 2680| [45] [「は、はあああっ！？」]
201: 2685| [45] [男は目を見開き、すっとんきょうな声を上げた。]
202: 2693| [47] [？？]
203: 2696| [45] [「ちょっと待ってくれ、なんでそんな事を？」]
204: 2704| [47] [夏彦]
205: 2707| [45] [「だって、さっきそう呼ばれてたから。バケモンとか、別の星で生まれたとかも」]
206: 2733| [47] [？？]
207: 2736| [45] [「ちっ、堂島たちのせいか……！」]
