  0:  151| [45] [――２０３０年９月１３日。]
  1:  156| [45] [まだラボを狙うテロリストの存在を、夏彦が知らなかった頃。]
  2:  161| [45] [夏彦はましろから、テロの噂を聞くも、それを信じはしなかった。]
  3:  166| [45] [するとましろは、夏彦に対し怒り――]
  4:  198| [47] [ましろ]
  5:  201| [45] [「もう夏彦には頼らないよ！　じゃあね！」]
  6:  206| [45] [そう言い放ち、家を飛び出してしまった。]
  7:  244| [47] [夏彦]
  8:  247| [45] [「お、おい、ちょっと待てよましろ！」]
  9:  320| [45] [――その後、夏彦はサリュにこう言われた。]
 10:  346| [47] [サリュ]
 11:  349| [45] [「他人のケンカには口出しするべきではないと言われたから、これ以上話す事はない」]
 12:  375| [47] [サリュ]
 13:  378| [45] [「でも、あなたたちは共通の名前を持つ仲間。仲良くしたほうがいいと思う」]
 14:  435| [45] [さらには幻影の悠里にも――]
 15:  443| [47] [悠里]
 16:  446| [45] [「……ましろんは、昔のひこりんに戻ってもらいたいんじゃないかな？」]
 17:  454| [47] [悠里]
 18:  457| [45] [「正義感が強かったひこりんが、今じゃすっかり変わってしまった気がして、悲しかったんだと思うよ」]
 19:  462| [45] [――そう諭されたのだった。]
 20:  519| [45] [……その少し後で、夏彦の記憶は途切れていた。]
 21:  524| [45] [この後、幻影の悠里は豹変し、夏彦の意識は現実に戻ったからだ。]
 22:  529| [45] [だがそれは、『事実』ではない。]
 23:  534| [45] [本物の悠里が用いた、センシズシンパシーによって作られた記憶だ。]
 24:  541| [45] [……だが、事実としてはこの日は、もう少し続いたのだ。]
 25:  546| [45] [即ちこれは嘘偽りのない、『真実』の記憶。]
 26:  551| [45] [夏彦が意識の底に押し込めていた、不条理で暖かな記憶だった……。]
 27:  610| [45] [――悠里との会話を終えた夏彦は、リビングに向かった。]
 28:  615| [45] [少し落ち着くために、ホットミルクでも飲もうと思ったのだ。]
 29:  623| [47] [夏彦]
 30:  626| [45] [「やれやれ……ミルクでも飲まなきゃ、やってらんないよ」]
 31:  631| [45] [ましろの不可解な激昂について愚痴りつつも、冷蔵庫から牛乳パックを取り出す。]
 32:  644| [45] [すると背後で、ドアが開く音がした。]
 33:  682| [47] [サリュ]
 34:  685| [45] [「あ、夏彦」]
 35:  693| [47] [夏彦]
 36:  696| [45] [「お、サリュ。筋トレ終わったのか？」]
 37:  704| [47] [サリュ]
 38:  707| [45] [「ん。汗をかいた」]
 39:  712| [45] [そう言うサリュの肌には、うっすらと汗が滲んでいた。]
 40:  720| [47] [夏彦]
