  0:   60| [45] [――それは洵が１１歳のときの記憶だった。]
  1:   84| [47] [洵]
  2:   87| [45] [「パパなんて、大っ嫌い！」]
  3:   92| [45] [その日も洵は、父にいつもの言葉を投げつけて、家の外へ飛び出していた。]
  4:  158| [45] [行き先は、決まって近所の公園だ。]
  5:  163| [45] [だが洵の父が、そこまで追いかけて来たことは今まで１度も無かった。]
  6:  168| [47] [洵]
  7:  169| [45] [（どうしてパパは、正義のヒーローじゃないんだろう……？）]
  8:  174| [45] [ベンチに座りながら、そんなことを考える。]
  9:  179| [45] [洵は物心ついたときから、テレビの『ヒーローもの』が好きだった。]
 10:  184| [45] [人や世界を救うために命をかけるヒーローは、洵にとっての憧れだった。]
 11:  189| [45] [だが洵の父は、そんなヒーローたちとはあまりに違い過ぎている。]
 12:  194| [45] [鹿鳴市でも名の知れた、有力な市議会議員の父――だが彼は、何かと悪評の絶えない人だった。]
 13:  199| [45] [『正義のヒーロー？　下らんな。この世に絶対の正義も悪も無い』]
 14:  204| [45] [『真っ白な人間も真っ黒な人間もいない。あるのはただ中間層、無限階調の灰色だけだ』]
 15:  209| [45] [以前、父がそんなことを言っていたことを思い出し、洵は悲しくなる。]
 16:  214| [45] [そして父は厳しく、娘を顧みない男だった。]
 17:  219| [45] [洵の母は妊娠しにくい体質で、洵を身ごもるまでかなりの苦労があった。]
 18:  224| [45] [それでようやく生まれた子が、自分の跡継ぎになりえない女だった事を知ると、それだけで妻と子への興味を失ったのだ。]
 19:  229| [47] [洵]
 20:  230| [45] [（……男っぽくなろうと頑張ってみたけど、意味なかったね……）]
 21:  235| [45] [父に愛されない日々によって、洵は自分を無価値な人間だと思うようになっている。]
 22:  242| [45] [寂しさに涙が出そうになった時、ふと声がかけられた。]
 23:  275| [47] [凪沙]
 24:  278| [45] [「洵ちゃん、泣いてるの……？」]
 25:  286| [47] [洵]
 26:  289| [45] [「あ……凪沙」]
