  0:   75| [45] [ある日の午後――]
  1:   80| [45] [洵は凪沙と共に、センター街まで買い物に出かけた。]
  2:   85| [45] [いつも頑張って働いている風見に、プレゼントをあげようと思ったのだ。]
  3:  114| [45] [居並ぶ店を見ながら、洵たちは話す。]
  4:  122| [47] [洵]
  5:  125| [45] [「うーん、何を買おうかな？」]
  6:  151| [47] [凪沙]
  7:  154| [45] [「お姉ちゃんの喜ぶものって、なんだろうね？」]
  8:  162| [47] [洵]
  9:  165| [45] [「そういえば風見ちゃんってきれいなのに、あんまりお洒落とかしないよね」]
 10:  173| [47] [洵]
 11:  176| [45] [「アクセサリーとかあげたら、きっと似合うよ」]
 12:  202| [47] [凪沙]
 13:  205| [45] [「いいね。じゃあなにがいいかな？」]
 14:  231| [47] [凪沙]
 15:  234| [45] [「イヤリングかなぁ、それともゆびわ？」]
 16:  242| [47] [洵]
 17:  245| [45] [「うーん……あ、そうだ、あれは？」]
 18:  253| [47] [洵]
 19:  256| [45] [「あのー、えっと、パカッて開くネックレス」]
 20:  282| [47] [凪沙]
 21:  285| [45] [「パカッて開く？」]
 22:  293| [47] [洵]
 23:  296| [45] [「ほら、写真とか中に入れて、首から下げるアレだよ」]
 24:  322| [47] [凪沙]
 25:  325| [45] [「ロケットのこと？」]
 26:  333| [47] [洵]
 27:  336| [45] [「そう、それ！」]
 28:  341| [45] [凪沙はまだ小学校に上がる前だというのに、洵より物知りの、とても賢い子だった。]
 29:  346| [45] [洵は勉強嫌いなのもあって、凪沙の賢さに全く引け目を感じていない。]
 30:  354| [47] [洵]
 31:  357| [45] [「ロケットなら、凪沙の写真を入れる事ができるでしょ」]
 32:  365| [47] [洵]
 33:  368| [45] [「そうすればお姉ちゃん、凪沙といつでも一緒だよ」]
 34:  394| [47] [凪沙]
 35:  397| [45] [「そっかぁ、うん、すごくいいアイディア！」]
 36:  405| [47] [洵]
 37:  408| [45] [「よーし、じゃあロケットをさがそう！」]
 38:  413| [45] [洵と凪沙は２人で、アクセサリーショップを回った。]
 39:  465| [45] [３軒目の店で、やっとロケットを見つけた。]
 40:  470| [45] [値段は３５００円。]
 41:  475| [45] [支払いは洵が多く出すと言ったのだが――]
 42:  507| [47] [凪沙]
 43:  510| [45] [「洵ちゃん、やっぱり私半分だすよ」]
 44:  518| [47] [洵]
 45:  521| [45] [「え、そう？」]
 46:  547| [47] [凪沙]
 47:  550| [45] [「おこづかい貯めてるし、洵ちゃんに悪いもん」]
 48:  558| [47] [洵]
 49:  561| [45] [「うん、その方がいいね。２人のプレゼントって感じになるしさ」]
 50:  587| [47] [凪沙]
 51:  590| [45] [「ね？　じゃあ１７５０円ずつ出して……」]
 52:  598| [47] [洵]
 53:  601| [45] [「このロケット、買っちゃおう！」]
 54:  655| [45] [そうして２人は、風見へのプレゼントを手に入れた。]
 55:  728| [45] [２人で橘家に帰る途中、話す。]
 56:  754| [47] [凪沙]
