  0:   75| [45] [One afternoon--]
  1:   80| [45] [Jun and Nagisa went out to Center Street to do some shopping.]
  2:   85| [45] [They wanted to give Kazami a present as thanks for always working so hard.]
  3:  114| [45] [The two girls talked as they looked at the shops that lined the street.]
  4:  122| [47] [Jun]
  5:  125| [45] ["Hmm, what should we buy?"]
  6:  151| [47] [Nagisa]
  7:  154| [45] ["What do you think Sis would like?"]
  8:  162| [47] [Jun]
  9:  165| [45] ["Come to think of it, Kazami's so pretty, yet she doesn't wear all that much trendy stuff, does she?"]
 10:  173| [47] [Jun]
 11:  176| [45] ["I think an accessory or something'd look great on her."]
 12:  202| [47] [Nagisa]
 13:  205| [45] ["That sounds good. Then what should we get?"]
 14:  231| [47] [Nagisa]
 15:  234| [45] ["Earrings? Or maybe a ring?"]
 16:  242| [47] [Jun]
 17:  245| [45] ["Hmm... oh, I know, then how about that one thing?"]
 18:  253| [47] [Jun]
 19:  256| [45] ["You know that, uh, that necklace thingy that pops open."]
 20:  282| [47] [Nagisa]
 21:  285| [45] ["Pops open?"]
 22:  293| [47] [Jun]
 23:  296| [45] ["Y'know, that thing people put photos in and wear around their neck."]
 24:  322| [47] [Nagisa]
 25:  325| [45] ["You mean a locket?"]
 26:  333| [47] [Jun]
 27:  336| [45] ["Yeah, that's the one!"]
 28:  341| [45] [Nagisa was a very smart girl for her age-- she hadn't even started elementary school,%Nyet she was more knowledgeable than Jun.]
 29:  346| [45] [Jun hated studying, so it didn't bother her at all that Nagisa was so much smarter.]
 30:  354| [47] [Jun]
 31:  357| [45] ["If we got her a locket, she could probably put a photo of you in it."]
 32:  365| [47] [Jun]
 33:  368| [45] ["Then your sis could always be with you."]
 34:  394| [47] [Nagisa]
 35:  397| [45] ["I see. Yeah, that's a great idea!"]
 36:  405| [47] [Jun]
 37:  408| [45] ["Okay, then let's find us a locket!"]
 38:  413| [45] [Jun and Nagisa checked around the accessory shops.]
 39:  465| [45] [They finally found a locket in the third one they went to.]
 40:  470| [45] [It cost 3500 yen.]
 41:  475| [45] [Jun said she'd cover the whole cost, but--]
 42:  507| [47] [Nagisa]
 43:  510| [45] ["No Jun, I think I should pay half."]
 44:  518| [47] [Jun]
 45:  521| [45] ["Huh, y'sure about that?"]
 46:  547| [47] [Nagisa]
 47:  550| [45] ["I've saved up my allowance, and I'd feel bad about making you pay for it all."]
 48:  558| [47] [Jun]
 49:  561| [45] ["Okay, that does sound better. Then it can be like a present from the both of us."]
 50:  587| [47] [Nagisa]
 51:  590| [45] ["Right? So we'll each pay 1750 yen..."]
 52:  598| [47] [Jun]
 53:  601| [45] ["... And buy this locket!"]
 54:  655| [45] [And so the two of them obtained Kazami's present.]
 55:  728| [45] [They chatted on their way back to the Tachibana residence.]
 56:  754| [47] [Nagisa]
 57:  757| [45] ["You think Sis will like it?"]
