  0:   60| [45] [――レスキュー隊員たちに、団地から救助された後――]
  1:   65| [45] [搬送先の病院で、洵は火傷の治療を受けた。]
  2:   70| [45] [『背中の火傷の痕は、残ってしまうでしょうね』]
  3:   75| [45] [医者からそう宣告された事は悲しかったが、それよりずっと大切な事があった。]
  4:  104| [47] [洵]
  5:  105| [45] [（……凪沙、大丈夫かな……）]
  6:  110| [45] [あのレスキュー隊員は『大丈夫』だと言ったが、凪沙の頭の怪我は、思いのほか重かったらしい。]
  7:  115| [45] [事故の日から丸１日、凪沙は集中治療室に入ったままだった。]
  8:  120| [45] [後に駆けつけてきた風見は、治療室の前でずっと、凪沙の無事を祈っているらしい。]
  9:  125| [45] [病室に移された洵も、ベッドの上で祈る。]
 10:  130| [47] [洵]
 11:  131| [45] [（……どうか神さま、凪沙を連れていかないで下さい……）]
 12:  183| [45] [だが、その日の夜――]
 13:  188| [45] [眠れずにいる洵のもとを、風見が訪れた。]
 14:  271| [47] [洵]
 15:  274| [45] [「あっ、風見ちゃん！」]
 16:  282| [47] [風見]
 17:  285| [45] [「洵、ちゃん……」]
 18:  336| [45] [風見がふらふらと、病室へと入って来る。]
 19:  341| [45] [どうも様子がおかしかった。]
 20:  349| [47] [洵]
 21:  352| [45] [「……ねぇ、凪沙は……？」]
 22:  360| [47] [洵]
 23:  363| [45] [「凪沙、大丈夫だったんでしょ？」]
 24:  368| [45] [そう尋ねた瞬間、風見の表情が、悲痛に歪んだ。]
 25:  394| [47] [風見]
 26:  397| [45] [「洵ちゃん……凪沙はね……凪沙は……」]
 27:  405| [47] [洵]
 28:  408| [45] [「え……！？」]
 29:  459| [45] [風見がその場に、泣き崩れる。]
 30:  464| [45] [そして震える声で、彼女は妹の死を、洵に告げた……。]
 31:  521| [45] [――２０２１年、４月７日。]
 32:  526| [45] [その日発生した鹿鳴市団地ガス爆発事故は、４名の死者を出した惨事として世間に報じられた。]
 33:  531| [45] [凪沙の死も、その中で起きた悲劇の１つだった。]
