  0:   60| [45] [――それは今から、３日前の出来事――]
  1:   65| [45] [洵は防災指導のため、市内の各公共施設を回っていた。]
  2:  180| [45] [そして鹿鳴学園に行った時――そこの生徒に呼び止められた。]
  3:  188| [47] [ましろ]
  4:  191| [45] [「もしかして、こないだの……？」]
  5:  199| [47] [洵]
  6:  202| [45] [「ん？　どこかで会ったっけ？」]
  7:  228| [47] [ましろ]
  8:  231| [45] [「いやほら、あの時の事故現場で！」]
  9:  239| [47] [洵]
 10:  242| [45] [「あー！　あの事故の時、通報してくれた子たちだね！？」]
 11:  304| [45] [――その子供たちは、『夏彦』と『ましろ』、そして『ルイーズ』といった。]
 12:  327| [45] [彼らは洵に、憧れの目を向けてくれたらしい。]
 13:  350| [45] [洵もなんだか嬉しくなり、レスキューに入った動機を聞かれると、素直に答えてしまった。]
 14:  362| [47] [洵]
 15:  365| [45] [「あたしさ、『ヒーロー』になりたかったんだよね」]
 16:  391| [47] [夏彦]
 17:  394| [45] [「ヒーロー？」]
 18:  402| [47] [洵]
 19:  405| [45] [「いやぁ、あたしってば子供の頃から、なんつーか男勝りでねぇ」]
 20:  413| [47] [洵]
 21:  416| [45] [「誰かに助けられる『ヒロイン』より、誰かを助ける『ヒーロー』になりたいって思っててさ」]
 22:  424| [47] [洵]
 23:  427| [45] [「ヒーローの定義とかって難しいけど、人の命を救うってのは、間違いなく正しい事だしね」]
 24:  432| [45] [などと答えつつ、洵は密かに思う。]
 25:  437| [47] [洵]
 26:  438| [45] [（ま、もう１つの動機としては……あんな父親への反発もあるのかもね）]
 27:  486| [45] [鹿鳴市議である洵の父親は、彼女が大人になっても、相変わらずの傲慢ぶりだった。]
 28:  491| [45] [洵の信じる『正義』を否定する、ヒーローからは程遠い俗物。]
 29:  496| [45] [巨大な利権の集まるこの街の議員なのだから、色々グレーな事もやっているだろう。]
 30:  501| [45] [幼い頃は父の気を引こうと努力もしたが、中学生にもなるとその気も失せた。]
 31:  506| [45] [高校時代はしばしば家出をして風見のところに転がり込み、さらに高校を卒業すると、本当に家を出てしまった。]
 32:  511| [45] [今は洵は小さなアパートの一室を借り、１人暮らしをしている。]
 33:  559| [47] [洵]
 34:  560| [45] [（ま、あの人はあの人、あたしはあたしだよ。もうお互い大人だしね）]
 35:  565| [45] [むろん父が何をしてようが、一切関係ない。]
 36:  570| [45] [自分は自分のすべき事をすればいいと思っていた。]
 37:  619| [45] [そして、夏彦たちと別れた後――]
 38:  672| [45] [洵は次なる目的地、超心研に向かった。]
 39:  720| [45] [そこでテキパキと防災指導を済ませ、帰ろうとした時……]
 40:  727| [45] [オフィスに、見知った顔がいた。]
 41:  733| [47] [洵]
 42:  734| [45] [（げっ、パパ！？）]
 43:  788| [45] [洵は慌てて、扉の陰に隠れた。]
 44:  793| [45] [家を出てから約２年ぶりに、父親を見た。]
 45:  798| [47] [洵]
 46:  799| [45] [（なんでパパが、超心研に……）]
 47:  804| [45] [父親は超心研の所長と、何か話し込んでいるようだ。]
 48:  889| [47] [超心研の所長]
 49:  892| [45] [「……ここのところの、災害の頻発……どうも人為的なものを感じますな」]
 50:  897| [47] [洵の父]
 51:  900| [45] [「では、やはり連中の仕業だと？」]
 52:  905| [47] [超心研の所長]
 53:  908| [45] [「可能性として、ですが」]
 54:  913| [47] [超心研の所長]
 55:  916| [45] [「しかし仮にそうだとすると、９年前の再来……関係各位に注意を促しては？」]
 56:  921| [47] [洵の父]
 57:  924| [45] [「バカな、どう説明するというのだ」]
 58:  929| [47] [超心研の所長]
 59:  932| [45] [「……情報の開示をするべきでしょう。いい機会ではないですか」]
 60:  937| [47] [洵の父]
 61:  940| [45] [「情報開示だと？　そんな事をしたところで、市民の不安を煽るだけだ」]
 62:  945| [47] [洵の父]
 63:  948| [45] [「鹿鳴市にＱが入り込んだなどという事を、断じて認めるわけにはいかん」]
 64:  953| [47] [洵の父]
 65:  956| [45] [「あれから十数年もかけて、ようやく現在の平穏が築かれたのだ。いま真実を明かせば、全てが台無しになる」]
 66:  961| [47] [洵の父]
 67:  964| [45] [「今回も内々に処理するのだ、いいな？」]
 68:  969| [47] [超心研の所長]
 69:  970| [45] [「……」]
 70:  975| [45] [所長が黙り込む。]
 71:  980| [47] [洵]
 72:  981| [45] [（……なんの話してんだろ？）]
 73:  986| [45] [洵にはさっぱりわからなかった。]
 74:  991| [45] [父親は昔から、得体の知れないところがある。]
 75:  996| [45] [住民の反対を押し切り、市内監視カメラの設置や都市ゲートの規制強化などを断行した男なのだから。]
 76: 1046| [47] [洵]
 77: 1047| [45] [（ま……あたしには関係ない。触らぬ神にたたりなしだよ）]
 78: 1095| [45] [洵はそう思い、建物を出ていった。]
