  0:   62| [47] [自動放送]
  1:   65| [45] [「――ただいま、『ケースＮ』が発生しました」]
  2:   70| [47] [自動放送]
  3:   73| [45] [「緊急事態につき、セキュリティを『封鎖モード』に移行」]
  4:   78| [47] [自動放送]
  5:   81| [45] [「施設内の全ゲートを閉鎖・ロックすると共に、隔壁を封鎖します」]
  6:  157| [47] [悠里]
  7:  160| [45] [「ひっく……ひぐ……」]
  8:  168| [47] [悠里]
  9:  171| [45] [「ど、どうしようひこりん……こわいよぅ……！」]
 10:  204| [47] [夏彦]
 11:  207| [45] [「泣くなって、悠里！　ぼくがなんとかするから！」]
 12:  212| [45] [――その日、悠里は夏彦と共に、ラボに来ていた。]
 13:  217| [45] [そしてそこで発生した火災に、巻き込まれてしまっていた……。]
 14:  311| [45] [――火に追われるままに、２人は近くの部屋に逃げ込む。]
 15:  316| [45] [だが煙にいぶされ熱波に焼かれ、悠里の体からは力が失われていた。]
 16:  335| [45] [夏彦が目に涙を浮かべ、悠里を見つめる。]
 17:  361| [47] [夏彦]
 18:  364| [45] [「ごめん、悠里……ぼくが悠里をつれてきたせいで……」]
 19:  372| [47] [夏彦]
 20:  375| [45] [「母さんをたすけるなんて、かっこいいこと言っておいて……」]
 21:  383| [47] [夏彦]
 22:  386| [45] [「だけどできなくて、それどころか悠里をこんなめに……」]
 23:  412| [47] [夏彦]
 24:  415| [45] [「ごめん、ほんとにごめん……！」]
 25:  420| [45] [その言葉を聞いた悠里の胸が、しんしんと痛む。]
 26:  425| [45] [だから悠里は、そっと彼の涙を拭った。]
 27:  433| [47] [悠里]
 28:  436| [45] [「……いいんだよ、ひこりん……」]
 29:  444| [47] [悠里]
 30:  447| [45] [「いつでもだれかのために、いっしょうけんめいなのが、ひこりんだから……」]
 31:  455| [47] [悠里]
 32:  458| [45] [「わたしはそんなひこりんが、だいすきだったから……」]
 33:  466| [47] [悠里]
 34:  469| [45] [「さいごまでいっしょにいられて……うれしかったよ」]
 35:  521| [47] [夏彦]
 36:  524| [45] [「悠里……！」]
 37:  529| [45] [夏彦が悠里を抱きしめる。]
 38:  591| [45] [その感触さえも、体が痺れ、感じられなくなってきた。]
 39:  596| [45] [薄れ行く意識の中、悠里が思う事はただ１つ。]
 40:  601| [47] [悠里]
 41:  602| [45] [（……かみさま……）]
 42:  607| [47] [悠里]
 43:  608| [45] [（わたしは……いいですから……）]
 44:  613| [47] [悠里]
 45:  614| [45] [（ひこりんは……せめてひこりんだけは……）]
 46:  619| [47] [悠里]
 47:  620| [45] [（……たすけてあげて、ください……！）]
 48:  625| [45] [その願いに呼応するかのように――]
 49:  630| [45] [悠里の耳に、声が聞こえた。]
 50:  705| [85] [《だれかたすけにきて！》]
 51:  706| [86] [夏彦]
 52:  707| [86] [《だれかたすけにきて！》]
 53:  722| [85] [《ぼくらは天川はかせのへやにいる！》]
 54:  723| [86] [夏彦]
 55:  724| [86] [《ぼくらは天川はかせのへやにいる！》]
 56:  752| [45] [――いや、それは耳で聞いた声ではなかった。]
 57:  757| [45] [頭に直接響いたような――]
 58:  762| [47] [悠里]
 59:  763| [45] [（て……テレパシー？）]
 60:  768| [47] [悠里]
 61:  769| [45] [（ひこりんが、テレパシーを……？）]
 62:  937| [45] [だがその思考も消えて行く。]
 63:  942| [45] [視覚も聴覚も薄れ行く中――悠里は再び声を聞いた。]
 64:  950| [47] [？？]
 65:  953| [45] [「――彦！　夏彦！」]
 66: 1014| [47] [美夜子]
 67: 1017| [45] [「あぁ、悠里ちゃんも……！」]
 68: 1043| [47] [夏彦]
 69: 1046| [45] [「か、母さん……！」]
 70: 1072| [47] [美夜子]
 71: 1075| [45] [「よかった、無事みたいね！」]
 72: 1101| [47] [美夜子]
 73: 1104| [45] [「助けに来たわ！　悠里ちゃんを連れて、すぐに逃げましょう！」]
 74: 1109| [45] [博士がそう叫ぶのを、かろうじて聞き取ったその刹那――]
 75: 1215| [45] [悠里は気を失った。]
 76: 1274| [45] [――――――]
 77: 1279| [45] [――――]
 78: 1284| [45] [――それからどれくらいの時が過ぎたのだろうか――]
 79: 1292| [47] [美夜子]
 80: 1295| [45] [「……ちゃん……！」]
 81: 1303| [47] [美夜子]
 82: 1306| [45] [「悠里ちゃん……！」]
 83: 1311| [45] [自分を呼ぶ声を聞き、悠里は目を覚ました。]
 84: 1398| [47] [悠里]
 85: 1401| [45] [「う……ん……」]
 86: 1406| [45] [悠里が目を開けると、目の前に天川博士がいた。]
 87: 1432| [47] [美夜子]
 88: 1435| [45] [「よかった、目を覚ましたのね」]
 89: 1443| [47] [悠里]
 90: 1446| [45] [「え……あれ……？」]
 91: 1454| [47] [悠里]
 92: 1457| [45] [「わたし、どうしたんですか……？」]
