  0:   53| [45] [――悠里が渡瀬に遭遇し、気絶させられた後――]
  1:   64| [45] [――何かが爆ぜるような音と熱で、悠里は目を覚ました。]
  2:  147| [47] [悠里]
  3:  150| [45] [「う、ううん……」]
  4:  158| [47] [悠里]
  5:  161| [45] [「ひ……ひこりん……」]
  6:  166| [45] [一瞬、かつて夏彦と共にラボに閉じ込められた時の事を思い出し、思わず彼の名を呼んだ。]
  7:  171| [45] [だが違う。今はあれから９年経った、２０３０年９月１６日だ。]
  8:  176| [45] [悠里は頭を振って辺りを見回す。男の姿は、そこにはなかったが――]
  9:  199| [47] [悠里]
 10:  202| [45] [「あっ……！」]
 11:  207| [45] [廊下は炎に包まれていた。]
 12:  212| [45] [気絶している間に、炎が燃え広がったのだろう。]
 13:  220| [47] [悠里]
 14:  223| [45] [「に……逃げなきゃ……！」]
 15:  234| [45] [悠里は混乱しつつも立ち上がり、炎と逆方向に駆け出した。]
 16:  239| [45] [走りながら悠里は考える。]
 17:  244| [47] [悠里]
 18:  245| [45] [（あれからどのくらい時間が経ったの？）]
 19:  250| [47] [悠里]
 20:  251| [45] [（さっきの男の人はどこへいったの！？）]
 21:  256| [45] [男は悠里を気絶させてから、姿を消した。]
 22:  261| [45] [なにが目的だったのか、これではまるでわからない。]
 23:  266| [47] [悠里]
 24:  267| [45] [（ううん、そんなこと考えているヒマはないよ！　今はとにかく生き延びなきゃ！）]
 25:  316| [45] [悠里は疑問を振り切り、廊下を駆け抜けた。]
 26:  365| [45] [途中立ち寄った部屋で、放置されていたレベル６のセキュリティカードを手に入れる。]
 27:  419| [45] [天川美夜子研究室にも行ってみたが、夏彦たちの姿はそこにはなかった。]
 28:  424| [45] [恐らく、自力で脱出できたのだろう。]
 29:  429| [47] [悠里]
 30:  430| [45] [（よかった……）]
 31:  458| [45] [ほっとする悠里を、炎が襲う。]
 32:  466| [47] [悠里]
 33:  469| [45] [「きゃっ！」]
 34:  474| [45] [悠里は火と煙に追われるままに逃げた。]
 35:  532| [45] [燃え盛るファクトリーを経由し――]
 36:  610| [45] [さらに第１エリアへ。]
 37:  615| [45] [だがそのどこにも、脱出口はなかった。]
 38:  631| [47] [悠里]
 39:  634| [45] [「あ、あ、あっ……！」]
 40:  640| [45] [もはや逃げ場はない。]
 41:  645| [45] [行く先も来た道も、火に塞がれていた。]
 42:  653| [47] [悠里]
 43:  656| [45] [「あの部屋に……」]
 44:  661| [45] [悠里はとにかく火から逃げたい一心で、手近な部屋に飛び込んだ。]
 45:  747| [45] [煙を吸い込まないように、身を低くして、机の下に潜り込む。]
 46:  752| [45] [だがこの部屋が焼き尽くされるのも、もはや時間の問題に思えた。]
 47:  803| [47] [悠里]
 48:  804| [45] [（ああ……わたし、ここで死ぬのかな……）]
 49:  851| [45] [あるいはそれもいいと思った。]
 50:  856| [45] [恐らく自分が生き延びたとしても、一生ラボから出る事はできないだろう。]
 51:  861| [45] [最後に夏彦たちを解放できただけでも、充分ではないだろうか。]
 52:  866| [47] [悠里]
 53:  867| [45] [（そうだよ……ずっとつき続けてきた嘘が、本当になるだけだよ）]
 54:  951| [45] [これで悠里は、名実ともに消える。]
 55:  956| [45] [夏彦とましろを縛る呪縛は、もう存在しなくなるのだ。]
 56:  961| [47] [悠里]
 57:  962| [45] [（これでいいんだよ……本当はずっと前に、死んでいてもおかしくなかったんだから）]
 58: 1017| [47] [悠里]
 59: 1018| [45] [（ひこりんがあの時、テレパシーを使ってくれなかったら、わたしは死んでいたんだから）]
 60: 1023| [47] [悠里]
 61: 1024| [45] [（この９年間はおまけみたいなもので……）]
 62: 1076| [47] [悠里]
 63: 1077| [45] [（幻として、ひこりんたちと一緒にいられただけでも、よかったんだから……）]
 64: 1082| [45] [自分にそう言い聞かせ、覚悟を決めかけた時――]
 65: 1090| [45] [悠里がそう思い、覚悟を決めようとした時――]
 66: 1269| [45] [部屋の外で、爆発音が聞こえた。]
 67: 1277| [47] [悠里]
 68: 1280| [45] [「きゃあっ！！」]
 69: 1293| [45] [思わず悠里は叫んでいた。]
 70: 1298| [45] [部屋の扉がひしゃげ、炎が部屋に入り込んでくる。]
 71: 1303| [45] [爆発物に引火でもしたのか、火勢は遥かに増していた。]
 72: 1319| [47] [悠里]
 73: 1322| [45] [「う、うわ……」]
 74: 1333| [45] [息をするのも辛いほどの、凄絶な熱だった。]
 75: 1338| [45] [フロア全体にかげろうが立ち、目の前の光景を歪めている。]
 76: 1343| [45] [それを見て悠里は――先ほどまで、死の覚悟を決めていたはずの悠里は、]
 77: 1348| [45] [恐怖していた。]
 78: 1364| [47] [悠里]
 79: 1367| [45] [「い、嫌だ……」]
 80: 1375| [47] [悠里]
 81: 1378| [45] [「嫌だ嫌だ嫌だ……死にたくない……死にたくないよぅ……！」]
 82: 1383| [45] [ひとりでにそんな声があふれ出す。]
 83: 1388| [45] [間近に迫った死の恐怖は、生半可な覚悟など、粉々に吹き飛ばしていた。]
 84: 1393| [45] [熱波が暴風のように吹き荒れる。]
 85: 1398| [45] [煙が部屋に充満する。]
 86: 1421| [47] [悠里]
 87: 1424| [45] [「ごほっ！　ごほっ！」]
 88: 1429| [45] [激しく咳き込み、眼にも涙が浮かんできた。]
 89: 1434| [45] [だが――その時、どこかで声が聞こえた。]
 90: 1454| [47] [？？]
 91: 1457| [45] [「消火ホースの用意を！」]
 92: 1465| [47] [？？]
 93: 1468| [45] [「了解っ！」]
 94: 1488| [47] [悠里]
 95: 1489| [45] [（！？）]
 96: 1494| [45] [女の声だった。]
 97: 1502| [47] [？？]
 98: 1505| [45] [「とっ――ちょっと隊長、どいて！」]
 99: 1513| [47] [？？]
100: 1516| [45] [「放水開始！」]
101: 1524| [47] [？？]
102: 1527| [45] [「了解！　放水行きますッ！！」]
103: 1532| [45] [会話の内容から、消防士か何かのように思える。]
104: 1537| [45] [悠里が顔を上げた時、部屋の外で水音が聞こえた。]
105: 1548| [45] [外で消火をしているのだ。]
106: 1553| [45] [吹き荒れていた熱波が、急速に沈静化していく。]
107: 1558| [47] [悠里]
108: 1559| [45] [（ま、間違いない……消防士さんだ！）]
109: 1567| [47] [悠里]
110: 1570| [45] [「だ、誰か……」]
111: 1578| [47] [悠里]
112: 1581| [45] [「た……助けて……！」]
113: 1586| [45] [それに呼応するように、声が返って来る。]
114: 1594| [47] [？？]
115: 1597| [45] [「あの部屋……誰かいる！？」]
116: 1602| [45] [駆け寄ってくる誰かに、悠里はもう一度声を上げた。]
117: 1610| [47] [悠里]
118: 1613| [45] [「誰か……た……助けて……」]
119: 1618| [45] [そしてその足音の主が、部屋に飛び込んできた。]
120: 1652| [47] [？？]
121: 1655| [45] [「大丈夫か！！」]
122: 1660| [45] [悠里は必死で手を差し伸べる。]
123: 1665| [45] [だが、その声の主と目が合った途端――]
124: 1694| [47] [悠里]
125: 1697| [45] [「――っ！？」]
126: 1702| [45] [悠里は驚愕して、息を呑んだ。]
127: 1791| [45] [そこにいたのは、つい先ほど悠里を襲ったあの男だった。]
128: 1796| [47] [悠里]
129: 1797| [45] [（どうして！？　どうしてあの人がわたしを助けにきたの！？）]
130: 1802| [45] [状況がわからず、激しく混乱した。]
131: 1840| [45] [男もなぜか顔を引きつらせ、立ちすくんでいる。]
132: 1845| [45] [その間にも炎が悠里に迫る。]
133: 1850| [45] [やがて男は弾かれるように――]
134: 1882| [45] [悠里を助けるため、部屋の中へ飛び込んできた。]
135: 2093| [45] [――悠里は幾度となく記憶を遡り、そしてその過程で、微細な己の想いを再確認した。]
136: 2098| [45] [夏彦たちに対する想い。]
137: 2103| [45] [そして――『彼女』に対する想い。]
138: 2108| [45] [誰とも触れ合うことのできない、真に孤独な少女。]
139: 2113| [45] [彼女の存在について考えた時、悠里の心の奥底から、新たな記憶が湧き上がってきた……。]
