  0:   53| [45] [――それはもうずいぶん遠く、そして懐かしい記憶――]
  1:   58| [45] [悠里が夏彦と共に家出をしてから、少し後の時期の想い出だった……。]
  2:  153| [45] [――あの家出をした夜、夏彦は天川博士に、悠里の家庭環境について説明した。]
  3:  158| [45] [それを聞き終えた博士は、悠里に告げたのだ。]
  4:  200| [47] [美夜子]
  5:  203| [45] [「安心なさい、悠里ちゃん。必ず状況を改善してあげるから」]
  6:  208| [45] [その優しい言葉を、悠里は信じてみようと思った。]
  7:  256| [45] [――そして実際、博士はその直後から、悠里のためにあれこれと動いてくれた。]
  8:  261| [45] [博士曰く、『じどうそうだんじょ』や『ふくしか』の人たちに働きかけているらしい。]
  9:  333| [45] [その日も悠里の家に、博士が数名の男の人を引き連れてやってきて、両親と何か話し合いをしていた。]
 10:  338| [45] [悠里は博士に、『夕方までかかりそうだから、しばらく夏彦と遊んでてね』と言われ――]
 11:  343| [45] [夏彦と一緒に、大人たちの話し合いが終わるのを待っていた。]
 12:  348| [45] [――公園のベンチに座り、悠里は夏彦と話す。]
 13:  356| [47] [悠里]
 14:  359| [45] [「……夏彦くんのお母さん、やっぱりやさしいね」]
 15:  367| [47] [悠里]
 16:  370| [45] [「わたしのために、おしごとやすんで、がんばってくれてるんだもん」]
 17:  396| [47] [夏彦]
 18:  399| [45] [「うん、あたまよくてかっこいいだけじゃなかったね」]
 19:  404| [45] [その甲斐もあり、状況は徐々に改善されているように思えた。]
 20:  409| [45] [両親が悠里を怒鳴る事も、少なくなったような気がする。]
 21:  417| [47] [悠里]
 22:  420| [45] [「それに……夏彦くんのお母さんって、つよいんだね」]
 23:  428| [47] [悠里]
 24:  431| [45] [「うちのお父さん、すごくこわいのに……まけずにガミガミ、どなってたもんね」]
 25:  457| [47] [夏彦]
 26:  460| [45] [「うん……あんなにおこってるお母さん、みたことなかったよ」]
 27:  465| [45] [初めて琴乃家を訪れた時の天川博士は、鬼のようだった。]
 28:  470| [45] [庇われる立場の悠里でさえ、震え上がったほどだ。]
 29:  496| [47] [夏彦]
 30:  499| [45] [「……でもね、うちのお父さんがいうには、お母さんもよわいところがあるんだって」]
 31:  525| [47] [夏彦]
 32:  528| [45] [「だからぼくが、まもってあげなきゃだめなんだって」]
 33:  533| [45] [その言葉が、悠里の気にかかった。]
 34:  538| [45] [夏彦の口から父親の話題が出たのは、初めての事だ。]
 35:  546| [47] [悠里]
 36:  549| [45] [「ねぇ夏彦くん。夏彦くんのお父さんって、どんなひとなの？」]
 37:  575| [47] [夏彦]
 38:  578| [45] [「えっ……」]
 39:  586| [47] [悠里]
 40:  589| [45] [「やっぱりお父さんも、やさしいのかな」]
 41:  594| [45] [悠里が尋ねると、夏彦は一瞬黙り――それから笑って答えた。]
 42:  620| [47] [夏彦]
 43:  623| [45] [「うん。やさしくてつよくて、かっこよかったよ」]
 44:  631| [47] [夏彦]
 45:  634| [45] [「いっつもげんきで、あかるくてね」]
 46:  642| [47] [夏彦]
 47:  645| [45] [「お母さんとぼくに、よく『だいすきだ』っていってた」]
 48:  671| [47] [夏彦]
 49:  674| [45] [「ぼくもお父さん、だいすきだったよ」]
 50:  682| [47] [悠里]
 51:  685| [45] [「……？」]
 52:  690| [45] [彼の言葉に、悠里は眉根を寄せる。]
 53:  695| [45] [それはまるで、いなくなってしまった人に対する言い方であるように思えて――]
 54:  703| [47] [悠里]
 55:  706| [45] [「あ、あの……」]
 56:  714| [47] [悠里]
 57:  717| [45] [「そういえば、夏彦くんのお父さんって、みたことないけど……」]
 58:  725| [47] [悠里]
 59:  728| [45] [「お父さん、どこにいるの……？」]
 60:  754| [47] [夏彦]
 61:  757| [45] [「……てんごく」]
 62:  780| [47] [悠里]
 63:  783| [45] [「っ！！」]
 64:  809| [47] [夏彦]
 65:  812| [45] [「きょねん、びょうきでしんじゃったんだ」]
 66:  820| [47] [悠里]
 67:  823| [45] [「あ……ご……ごめんね……」]
 68:  828| [45] [慌てて謝る悠里に、夏彦はにっこり笑みを返す。]
 69:  854| [47] [夏彦]
 70:  857| [45] [「んーん、きにしないで」]
 71:  865| [47] [夏彦]
 72:  868| [45] [「ぼく、お父さんとおなじで、つよいから」]
 73:  876| [47] [夏彦]
 74:  879| [45] [「もうなかないって、お父さんとやくそくしたからさ」]
 75:  884| [45] [夏彦はそう言って、悠里に左手を見せる。]
 76:  909| [45] [その手首には、子供には不釣合いな腕時計が嵌められていた。]
 77:  917| [47] [悠里]
 78:  920| [45] [「これは……？」]
 79:  928| [47] [夏彦]
 80:  931| [45] [「お父さんのとけいだよ」]
 81:  939| [47] [夏彦]
 82:  942| [45] [「このとけいをもらったとき、てがみもいっしょにもらったんだ」]
 83:  950| [47] [夏彦]
 84:  953| [45] [「それに書いてあった。『つらくてもなかないで、じぶんよりよわいひとをまもれ』って」]
 85:  961| [47] [悠里]
 86:  964| [45] [「じゃあ……わたしをまもるって言ってくれたのも、おとうさんとやくそくしたから？」]
 87: 1016| [47] [夏彦]
 88: 1019| [45] [「うん……こんかいはお母さんに、助けてもらっちゃったけど……」]
 89: 1045| [47] [夏彦]
 90: 1048| [45] [「でも、いつかはちゃんと……」]
 91: 1053| [45] [夏彦はそう呟き、腕時計を見つめる。]
 92: 1058| [45] [大人用のその時計は、まだ彼の腕には大きすぎて――]
 93: 1063| [45] [だけどいつか必ず、似合う日が来るだろうという気がした。]
 94: 1068| [45] [やがて夏彦は、悠里を見て言う。]
 95: 1094| [47] [夏彦]
