  0:   53| [45] [――『７月７日』。]
  1:   58| [45] [それは悠里の命日だ。]
  2:   63| [45] [２０２１年のその日に、悠里は死んだことになった。]
  3:   68| [45] [……そしてそれから毎年、７月７日が来るたびに生まれ、そして消えていく少女がいた。]
  4:   99| [45] [それは、もう１人の『悠里』。]
  5:  104| [45] [夏彦があの日からずっと、そう認識してきた幻――。]
  6:  127| [45] [彼女は誰にも知られず生み出され、誰にも知られず消滅する。]
  7:  165| [45] [『７月７日』は彼女の誕生日であり、そして命日だったのだ。]
  8:  241| [45] [今年もその日が訪れた。]
  9:  246| [45] [悠里は天川博士と共に、脳科学実験室にやってきた。]
 10:  272| [47] [美夜子]
 11:  275| [45] [「――１年ぶりの逢瀬ね、悠里ちゃん」]
 12:  283| [47] [悠里]
 13:  286| [45] [「逢瀬って……博士、毎年そう言いますけど……」]
 14:  294| [47] [悠里]
 15:  297| [45] [「あくまでこれは、ひこりんの記憶を更新する作業ですよ？」]
 16:  323| [47] [美夜子]
 17:  326| [45] [「冗談よ。それじゃ私、少し出てるわね。何かあったら呼んでちょうだい」]
 18:  334| [47] [悠里]
 19:  337| [45] [「はい、ありがとうございます」]
 20:  357| [45] [博士はうなずき、部屋を出て行った。]
 21:  362| [45] [そして悠里は、彼を見る。]
 22:  424| [47] [悠里]
 23:  427| [45] [「１年ぶりだね、ひこりん」]
 24:  432| [45] [そこには薬で眠らされている夏彦がいる。]
 25:  437| [45] [――悠里は１年に１度、ここでこうして彼に再会する。]
 26:  442| [45] [だが会うのは、彼にだけではない。]
 27:  447| [45] [彼の記憶の中にいるましろと、そして――]
 28:  452| [45] [もう１人の自分に、再会するのだ。]
 29:  467| [47] [悠里]
 30:  470| [45] [「今年はどんな年だったかな……？」]
 31:  534| [45] [悠里はそう呟き、そして彼の心に潜った。]
 32:  707| [45] [――最初に浮かび上がってきたのは、なんて事のない、普通の１日の記憶。]
 33:  712| [45] [その夜、夏彦は『幻』と、いつものように就寝前のミルクを飲みながら、本の話をしていた。]
 34:  742| [47] [夏彦]
 35:  745| [45] [「――今日はどんな本を読んだんだい？」]
 36:  771| [47] [悠里]
 37:  774| [45] [「えっとね、今日は不思議な小説を読んだよ」]
 38:  800| [47] [悠里]
 39:  803| [45] [「心の中に、自分の世界を作ってしまった人と、その心に潜る人の話」]
 40:  811| [47] [夏彦]
 41:  814| [45] [「潜る？　エンパシーで心を読むっていう事？」]
 42:  840| [47] [悠里]
 43:  843| [45] [「それみたいなものかな。大発現前に書かれた話だから、用語は違ってたけど」]
 44:  869| [47] [悠里]
 45:  872| [45] [「でもすごく面白くて、なんだか暖かい話だったよ」]
 46:  894| [45] [――幻は夏彦に向け、そう言った。]
 47:  899| [45] [それを見ながら、悠里は思う。]
 48:  904| [47] [悠里]
 49:  905| [45] [（今年もちゃんと、ひこりんと一緒にいてくれたんだね……）]
 50:  910| [47] [悠里]
 51:  911| [45] [（ありがとう。お疲れさま）]
 52:  916| [45] [悠里はもう１人の自分に、心の中で礼を告げた。]
 53:  921| [45] [――この幻が何なのか、悠里にもよくわかっていない。]
 54:  926| [45] [博士が言うには、『脳の機能異常によって発生する幻覚』との事だ。]
 55:  931| [45] [以前聞いた説明が、耳に蘇る。]
 56: 1005| [47] [美夜子]
 57: 1008| [45] [「――あの幻影を動かしているのは、夏彦自身よ」]
 58: 1016| [47] [美夜子]
 59: 1019| [45] [「夏彦は自分の記憶の中にある悠里ちゃんの情報を統合し、常に妥当性のある振る舞いを、幻にさせている」]
 60: 1027| [47] [美夜子]
