  0:   46| [55] [√After Chapter3]
  1:   60| [45] [渡瀬と風見は、まず内周棟地下２階に足を踏み入れた。]
  2:  160| [47] [渡瀬]
  3:  163| [45] [「このエリアに、あの子たちがいるんだな……」]
  4:  189| [47] [風見]
  5:  192| [45] [「そう信じたいところです」]
  6:  242| [45] [渡瀬たちはそう言葉を交わしつつ、駆け足で、各部屋を回る。]
  7:  285| [45] [どこかに要救助者がいると信じながら。]
  8:  352| [45] [だが――]
  9:  457| [45] [全ての部屋の捜索を終えても、どこにも要救助者の姿は無かった。]
 10:  465| [47] [渡瀬]
 11:  468| [45] [「いない……？」]
 12:  530| [47] [風見]
 13:  533| [45] [「お待ち下さい、地下１階を探してみましょう」]
 14:  538| [45] [風見に言われ、階段室に向かったが――]
 15:  583| [45] [内周棟の非常階段は、使用不能だった。]
 16:  588| [45] [地下１階部分は無事のようだが、そこまでの部分が完全に崩れ、登れそうにない。]
 17:  596| [47] [渡瀬]
 18:  599| [45] [「ちっ、またかよ」]
 19:  632| [47] [風見]
 20:  635| [45] [「参りましたね。ファクトリーは吹き抜け状になってるから、階段はここしかないのに……」]
 21:  661| [47] [風見]
 22:  664| [45] [「またエレベーターシャフトを使いますか？」]
 23:  672| [47] [渡瀬]
 24:  675| [45] [「いや待て、どうにか行けないものか……」]
 25:  680| [45] [そう言ってから渡瀬は、自分が持っている物に気づいた。]
 26:  740| [45] [いつも持ち歩いている、１０ｍロープに。]
 27:  748| [47] [渡瀬]
 28:  751| [45] [「これでなんとか登れないもんかな？」]
 29:  786| [45] [渡瀬は落ちていた瓦礫を拾い、ロープの端に縛り付けた。]
 30:  797| [45] [そしてそれを投げ、地下１階の階段の部分に引っ掛ける。]
 31:  860| [45] [さらに何度か引っ張って、しっかりと固定された事を確認した。]
 32:  868| [47] [渡瀬]
 33:  871| [45] [「よし、行けるぞ！」]
 34:  897| [47] [風見]
 35:  900| [45] [「えぇ、我々なら問題なく登れる高さです」]
 36:  926| [47] [風見]
 37:  929| [45] [「隊長はロープ登はんは、特にお得意でしたからね」]
 38:  937| [47] [渡瀬]
 39:  940| [45] [「そうなのか？　ならちょうどいい」]
 40:  983| [45] [渡瀬たちはそんな事を言い合いつつ、ロープを登っていった。]
 41: 1027| [45] [――そして階上に上った渡瀬たちは、ロープをそこに放置した。]
 42: 1032| [45] [帰りにも使うだろうし、またここに来るかもしれないからだ。]
 43: 1079| [47] [渡瀬]
 44: 1082| [45] [「よし、それじゃ捜索を続けよう。ここが最後の未捜索フロアだからな」]
 45: 1144| [47] [風見]
 46: 1147| [45] [「えぇ！」]
 47: 1161| [45] [渡瀬たちは勇んで、地下１階の捜索を始めた。]
 48: 1205| [45] [最初に入った部屋は、火災の影響を全く受けていなかった。]
 49: 1210| [45] [そこに足を踏み入れた途端、風見が声を上げた。]
 50: 1272| [47] [風見]
 51: 1275| [45] [「あ……プロキオンがありますね」]
 52: 1283| [47] [渡瀬]
 53: 1286| [45] [「えっ？」]
 54: 1384| [45] [見れば部屋の隅に、確かに見慣れた機械が置いてあった。]
 55: 1397| [47] [渡瀬]
 56: 1400| [45] [「なんでこれが、こんなところに？」]
 57: 1426| [47] [風見]
 58: 1429| [45] [「プロキオンはラボから支給されたものです。施設内にあってもおかしくありません」]
 59: 1437| [47] [渡瀬]
 60: 1440| [45] [「そうか。いずれにしろいいものを見つけたな。これからは３チームに分かれられる」]
 61: 1466| [47] [風見]
 62: 1469| [45] [「えぇ。そんな事態が今後あるかはわかりませんが」]
 63: 1474| [45] [それでも渡瀬たちは、一応プロキオンを持っていく事にした。]
 64: 1479| [45] [他にも何か、使えそうなものがないかを探る。]
