  0:   46| [55] [√After Chapter 4]
  1:   55| [45] [Area 3, inner ring, B1-- Kazami muttered quietly as soon as they entered the place.]
  2:  123| [47] [Kazami]
  3:  126| [45] ["This is..."]
  4:  131| [45] [Kazami was looking at the room in front of her.]
  5:  136| [45] [It was the room where Dojima and those two researchers had died.]
  6:  141| [47] [Watase]
  7:  142| [45] [(There's bodies behind that door even now...!)]
  8:  193| [45] [Watase's body froze when he thought of that ghastly spectacle.]
  9:  198| [45] [But he did his best to hide his fear and spoke up.]
 10:  206| [47] [Watase]
 11:  209| [45] ["... Wait here a minute."]
 12:  236| [47] [Ukita]
 13:  239| [45] ["Captain Kasasagi, what are you up to?"]
 14:  247| [47] [Watase]
 15:  250| [45] ["I'm probably wrong... but I want to check something to be safe."]
 16:  263| [45] [Just then, he thought he saw Kazami's shoulders tremble slightly.]
 17:  268| [45] [He quickly found himself worrying about her.]
 18:  276| [47] [Watase]
 19:  279| [45] ["... Tachibana, you don't have to come in if you don't want to. I'll go check it out."]
 20:  305| [47] [Kazami]
 21:  308| [45] ["Yes... my apologies."]
 22:  313| [45] [Watase walked up to the room in front of him and opened the door.]
 23:  321| [45] [Watase said that and walked over to the door when--]
 24:  347| [47] [Kazami]
 25:  350| [45] ["Captain... is it all right if I wait out here...?"]
 26:  355| [45] [It was undoubtedly painful for Kazami to see her dead squadmate's body again.]
 27:  363| [47] [Watase]
 28:  366| [45] ["... No problem. I'll check by myself."]
 29:  392| [47] [Kazami]
 30:  395| [45] ["Yes... my apologies."]
 31:  400| [45] [Watase opened the door to the room in front of him as he cursed himself for being so inconsiderate.]
 32:  446| [45] [The scene that lay behind those doors was exactly the same as the last time he'd seen it.]
 33:  451| [47] [Watase]
 34:  452| [45] [(Khh... that doesn't make it any less gruesome...!)]
 35:  457| [45] [But he could tell from a glance that none of the survivors were there.]
 36:  462| [45] [Watase quickly left the room.]
 37:  506| [45] [When he did, he saw Kazami looking at him with fear in her eyes.]
 38:  568| [47] [Kazami]
 39:  571| [45] ["... Captain."]
 40:  579| [47] [Watase]
 41:  582| [45] ["Yeah, don't worry... none of the survivors were in there."]
 42:  609| [47] [Ukita]
 43:  612| [45] ["That only figures. That room is enough to drive even the living insane."]
 44:  617| [45] [There was something unsettling about how Ukita had said that-- but Watase ignored it.]
 45:  625| [47] [Watase]
 46:  628| [45] ["Anyway, there's only two rooms in this block. Let's check the other one out."]
 47:  654| [47] [Kazami]
 48:  657| [45] ["... Yes."]
 49:  662| [45] [The team then headed for that room.]
 50:  707| [45] [--What lay there was a large laboratory.]
 51:  712| [45] [There were a lot of blind spots, meaning it'd be hard to tell right away if anyone happened to be collapsed behind one of them.]
 52:  720| [47] [Watase]
 53:  723| [45] ["Think it's possible anything could be here?"]
 54:  791| [47] [Kazami]
 55:  794| [45] ["Yes. Make sure you check behind everything here."]
 56:  821| [47] [Ukita]
 57:  824| [45] ["Roger."]
 58:  867| [45] [The team then began their search of the room.]
 59:  872| [45] [But there was no hide nor hair of the survivors or any AD.]
 60:  877| [47] [Watase]
 61:  878| [45] [(Khh... then while I'm at it....)]
 62:  883| [45] [Watase decided to look for "information".]
 63:  888| [45] [Several documents were scattered on the floor deeper in the room.]
 64:  893| [45] [Perhaps their pages held a hint to escaping this facility that Watase's team didn't know about.]
 65:  898| [47] [Watase]
 66:  899| [45] [(Is there anything useful here...?)]
 67:  904| [45] [Watase walked over to the documents, started picking them up one by one, then read them.]
 68:  909| [45] [But what they said was--]
 69:  947| [85] [　]
 70:  950| [45] [--Area 3 Personnel Social Gathering: Hike Around Lake Rokumei--]
 71:  953| [85] [               ]
 72:  954| [45] [(April 2015)]
 73:  957| [45] [--Senior Fellow Training Seminar: Accepting Applications--]
 74:  960| [85] [               ]
 75:  961| [45] [(April 2016)]
