  0:  103| [55] [√After Chapter2]
  1:  107| [45] [そこはまだ火の海だった。]
  2:  114| [45] [直後、プロキオンの警告音が鳴り響く。]
  3:  125| [45] [数値は『４４５２ｍＳｖ』――。]
  4:  130| [45] [不完全なＡＤしか投与していない渡瀬にとって、それは危険な数値だった。]
  5:  135| [45] [たちまち肌に違和感が生じ、頭痛が急速にぶり返す。]
  6:  141| [47] [渡瀬]
  7:  142| [45] [（くっ……だが、オレだけ何もしないわけには……！）]
  8:  147| [45] [プロキオンの警告音が響く中、風見と洵が２本の消火ホースを使って、必死に炎を食い止めているのが見える。]
  9:  152| [45] [渡瀬は歯を食いしばり、急いで２人の元へ駆け寄った。]
 10:  185| [47] [洵]
 11:  188| [45] [「あっ、戻って来た！？」]
 12:  229| [47] [風見]
 13:  232| [45] [「隊長、大丈夫なのですか！」]
 14:  240| [47] [渡瀬]
 15:  243| [45] [「あぁ、心配ない」]
 16:  251| [47] [風見]
 17:  254| [45] [「ですが、顔色が――」]
 18:  262| [47] [渡瀬]
 19:  265| [45] [「気遣いは無用だ。それよりオレに手伝えることは？」]
 20:  276| [45] [見ると周囲は、ほとんど炎に包まれていた。]
 21:  281| [45] [熱波と水蒸気が渦を巻き、息をするだけで肺が焼けるようだった。]
 22:  307| [47] [洵]
 23:  310| [45] [「そりゃ、放水手伝ってもらいたいけど――」]
 24:  336| [47] [風見]
 25:  339| [45] [「この火はもはや人力では……！」]
 26:  347| [47] [渡瀬]
 27:  350| [45] [「くっ……」]
 28:  355| [45] [それでもやらないよりはマシだと、渡瀬が消火器を探そうとした時――]
 29:  489| [45] [周囲の炎が、大きくうねった。]
 30:  494| [45] [そして天井を焼いていた炎の先端が、ゆらりと地上へ降りて来る。]
 31:  508| [47] [渡瀬]
 32:  511| [45] [「な！？」]
 33:  560| [47] [洵]
 34:  563| [45] [「まずい！　ロールが起こってる！」]
 35:  620| [47] [風見]
 36:  623| [45] [「持ちません！　全員撤退ッ！」]
 37:  628| [45] [只事ではない事態が起きている。渡瀬にもそれが理解できた。]
 38:  634| [45] [――だが、その時。]
 39:  665| [47] [渡瀬]
 40:  666| [45] [（ぐっ、こんな時に……！）]
 41:  754| [45] [全身が痺れるほどの頭痛に襲われ、渡瀬は壁にもたれていた。]
 42:  819| [47] [洵]
 43:  822| [45] [「た、隊長ぉ！？」]
 44:  849| [47] [風見]
 45:  852| [45] [「いけない！　守部、手を貸して！」]
 46:  931| [45] [消火ホースを投げ出しながら、２人が両脇から渡瀬を担ぐ。]
 47:  939| [47] [風見]
 48:  942| [45] [「隊長、しっかりして下さい！」]
 49:  950| [47] [洵]
 50:  953| [45] [「早く、ここから離れないと！」]
 51: 1018| [45] [そして半ば引きずれるようにして、非常階段の前にたどり着いた時――]
 52: 1023| [45] [後ろを振り向いた渡瀬は、ある現象を目撃した。]
 53: 1028| [47] [渡瀬]
 54: 1029| [45] [（な、なんだあれは――ッ！？）]
 55: 1034| [45] [炎の周囲にある煙が、黄色くなっている。]
 56: 1039| [45] [それを見て、洵と風見も驚愕した。]
 57: 1072| [47] [洵]
 58: 1075| [45] [「――ああッ！！」]
 59: 1116| [47] [風見]
 60: 1119| [45] [「いけないッ！　このままではッ！」]
 61: 1133| [45] [――来る。]
 62: 1138| [45] [何かはわからないが、渡瀬はそれを確信した。]
 63: 1143| [45] [その時、世界から全ての音が消失した。まるで時間さえも、止まってしまったかのように。]
 64: 1148| [45] [一足先に死期を悟った渡瀬の脳が、ある記憶を弾き出す。]
 65: 1237| [47] [渡瀬]
 66: 1240| [45] [「いいからよこせ！」]
 67: 1266| [47] [風見]
 68: 1269| [45] [「あっ！」]
 69: 1301| [47] [風見]
 70: 1304| [45] [「な……何をするんですか！」]
 71: 1312| [47] [渡瀬]
 72: 1315| [45] [「これ以上話し合っていても、ラチが明かないからだ」]
 73: 1385| [45] [あのとき渡瀬が正常なＡＤを投与していれば、おそらく結果は違っていただろう。]
 74: 1390| [45] [だが今さら後悔しても、もう遅い。]
 75: 1395| [45] [そして黄色い煙が禍々しい黒色へ変化した、その瞬間――！]
 76: 1448| [47] [渡瀬]
 77: 1451| [45] [「ッ！！！！」]
 78: 1465| [47] [風見・洵]
 79: 1468| [45] [「きゃ――ッ！」]
 80: 1549| [45] [フロア中に膨れ上がった灼熱の気体に、渡瀬たちは瞬時に焼き尽くされていた。]
 81: 1685| [85] [　%N　%N　%N]
 82: 1688| [45] [√A バッドエンド3【自己犠牲の過ぎたる者】]
 83: 1691| [85] [　]
 84: 1694| [45] [風見の身を案じ過ぎて、渡瀬のＡＤの投与が不十分だった場合の結末。]
 85: 1697| [85] [　]
 86: 1700| [45] [１０時１６分付近に入力できるセンシズで、風見よりも渡瀬を高く設定したら、この結末は回避できたかもしれない。]
