  0:   39| [55] [√Before Chapter 4]
  1:   59| [45] [--In reality, Natsuhiko was standing in front of a collapsed emergency staircase.]
  2:  133| [45] [Beside him were an anxious Mashiro and a frightened Yuuri.]
  3:  138| [45] [They had gotten separated from Salyu and were searching for an escape route.]
  4:  149| [47] [Natsuhiko]
  5:  150| [45] [(...!)]
  6:  155| [45] [As he remembered what happened that fateful night, Natsuhiko ground his teeth.]
  7:  160| [47] [Natsuhiko]
  8:  161| [45] [(I didn't believe Mashiro at first when she told me about the terrorist plot...)]
  9:  166| [47] [Natsuhiko]
 10:  167| [45] [(And this is the result of my disbelief...!)]
 11:  172| [45] [Natsuhiko was filled once again with regret. ]
 12:  177| [47] [Natsuhiko]
 13:  178| [45] [(What I need to do first... is to get Mashiro and the others out of here!)]
 14:  183| [45] [Natsuhiko rushed to the stairwell and looked up.]
 15:  188| [47] [Natsuhiko]
 16:  189| [45] [(Is there any way at all to climb this thing!? If I can at least get Mashiro and the others out, then--)]
 17:  194| [45] [As that thought crossed his mind,]
 18:  298| [45] [a small figure appeared at the top of the stairs.]
 19:  332| [47] [Natsuhiko]
 20:  335| [45] ["Salyu!"]
 21:  340| [45] [Once Natsuhiko yelled, she looked down at them.]
 22:  348| [47] [Natsuhiko]
 23:  351| [45] ["How'd it go!? Were you able to beat those guys!?"]
 24:  359| [47] [Salyu]
 25:  362| [45] ["... I'm sorry. It was an embarrassing defeat."]
 26:  367| [45] [As soon as she said that, Natsuhiko heard the sound of a drop of water dripping down.]
 27:  372| [45] [A red stain formed on the floor-- a stain of Salyu's blood.]
 28:  420| [47] [Mashiro]
 29:  423| [45] ["Salyu, you're hurt!?"]
 30:  431| [47] [Natsuhiko]
 31:  434| [45] ["You suffered defeat!? Don't tell me those guys...!?"]
 32:  442| [47] [Salyu]
 33:  445| [45] ["Right when I knocked those two out, another one appeared, and then I got shot."]
 34:  453| [47] [Natsuhiko]
 35:  456| [45] ["...!"]
 36:  461| [45] [Now that he thought about it, the enemy did show up with guns last night.]
 37:  466| [47] [Natsuhiko]
 38:  467| [45] [(Crap, it was so obvious. Why didn't I even consider that possibility--!?)]
 39:  472| [45] [Salyu glanced at the painful-looking wound on her arm.]
 40:  480| [47] [Salyu]
 41:  483| [45] ["The enemy has exceptional physical strength and unknown numbers... Our odds don't look good."]
 42:  491| [47] [Natsuhiko]
 43:  494| [45] ["Then what do we do!?"]
 44:  502| [47] [Salyu]
 45:  505| [45] ["All we can do is run. As quickly, and as far away as possible."]
 46:  513| [47] [Natsuhiko]
 47:  516| [45] ["Ghhh....!"]
 48:  521| [45] [Right as Natsuhiko found himself at a loss for words, a voice rang out on the intercom.]
 49:  529| [47] [Ukita]
 50:  532| [45] ["According to the roll-call on the ground floor, evacuation of all staff members has been confirmed!"]
 51:  540| [47] [Ukita]
 52:  543| [45] ["In the unlikely event that anyone besides staff members has been left behind, please escape through Areas 5 and 6 immediately!"]
 53:  548| [45] [As she heard the announcement, Salyu sighed in relief.]
 54:  556| [47] [Salyu]
 55:  559| [45] ["That means Dr. Tenkawa managed to escape... so all that's left is for us to evacuate too."]
 56:  567| [47] [Natsuhiko]
 57:  570| [45] ["Okay, Salyu, then come down here! Let's escape together!"]
 58:  578| [47] [Salyu]
 59:  581| [45] ["No, I can't climb down with this arm. I think it'd be difficult for you guys to climb up too."]
 60:  589| [47] [Salyu]
 61:  592| [45] ["But if we hesitate, the enemy is likely to catch up to us."]
 62:  600| [47] [Salyu]
 63:  603| [45] ["So let's split up and escape separately."]
 64:  611| [47] [Mashiro]
 65:  614| [45] ["No! Will you be okay by yourself, Salyu!?"]
 66:  622| [47] [Salyu]
 67:  625| [45] ["I will. But there's no time to speak my reasoning."]
 68:  633| [47] [Salyu]
 69:  636| [45] ["So let's use BC."]
 70:  644| [47] [Natsuhiko]
 71:  647| [45] ["!?"]
 72:  652| [45] [Right after Salyu said that--]
 73:  657| [45] [Her mental voice rang out in Natsuhiko's head.]
 74:  665| [47] [Natsuhiko]
 75:  668| [45] ["..."]
 76:  673| [45] [Her clear, high-speed thought process.]
 77:  678| [45] [Natsuhiko gasped as it all came rushing into his head in a single instant.]
 78:  686| [47] [Natsuhiko]
 79:  689| [45] ["Salyu...!"]
 80:  694| [45] [Yuuri and Mashiro looked up at Salyu in the same way.]
 81:  702| [47] [Yuuri]
 82:  705| [45] ["Salyu..."]
 83:  713| [47] [Mashiro]
 84:  716| [45] ["Me too, Salyu...!"]
 85:  721| [45] [Natsuhiko forced a smile and spoke up.]
 86:  729| [47] [Natsuhiko]
 87:  732| [45] ["... Okay! Leave these two to me!"]
 88:  740| [47] [Natsuhiko]
