  0:  120| [55] [√Before Chapter 6]
  1:  166| [45] [--After a little while, they arrived at the school.]
  2:  171| [45] [The gate was open even though it was a Sunday.]
  3:  176| [45] [Perhaps to let in teachers looking to get work done on the day off, or to allow students to use the facilities for club activities.]
  4:  184| [47] [Natsuhiko]
  5:  187| [45] ["Mr. Driver, please go to the staff entrance at the rear."]
  6:  192| [47] [Driver]
  7:  195| [45] ["Gladly~"]
  8:  230| [45] [The driver moved the car in accordance with Natsuhiko's directions.]
  9:  283| [45] [And then the kids got off the taxi at the staff entrance.]
 10:  291| [47] [Natsuhiko]
 11:  294| [45] ["Mr. Driver, please wait here. We'll be back later."]
 12:  299| [47] [Driver]
 13:  302| [45] ["Well, you -are- renting for the day. Of course I'll wait."]
 14:  307| [45] [And with that voice at their backs, they entered the school.]
 15:  312| [45] [It was the same familiar school they attended, but they made sure to be as cautious as thieves.]
 16:  355| [45] [As they got inside, Salyu muttered.]
 17:  417| [47] [Salyu]
 18:  420| [45] ["Let's find Ena quick and--"]
 19:  428| [47] [Natsuhiko]
 20:  431| [45] ["Hold up, Salyu."]
 21:  436| [45] [Natsuhiko quickly stopped Salyu.]
 22:  462| [47] [Salyu]
 23:  465| [45] ["What's wrong?"]
 24:  473| [47] [Natsuhiko]
 25:  476| [45] ["Listen carefully. I can hear something from over there."]
 26:  481| [45] [Natsuhiko pointed to the corner of the ceiling as he spoke.]
 27:  486| [45] [And there--]
 28:  536| [45] [He could hear the servo motors of a surveillance camera.]
 29:  563| [47] [Salyu]
 30:  566| [45] ["There's a camera inside here too...!?"]
 31:  574| [47] [Natsuhiko]
 32:  577| [45] ["The school's furnished with surveillance cameras to prevent intrusion by suspicious characters."]
 33:  582| [45] [Natsuhiko normally paid them no heed.]
 34:  587| [45] [Because if he let their presence get to him every day, he'd never be able to stay calm.]
 35:  619| [47] [Salyu]
 36:  622| [45] ["... Then we can't go to the staff room."]
 37:  630| [47] [Natsuhiko]
 38:  633| [45] ["Yeah, but if we can find a dead spot--"]
 39:  638| [45] [As Natsuhiko began to speak, Mashiro placed a finger to her temple.]
 40:  671| [47] [Mashiro]
 41:  674| [45] ["Hold on, guys, I'm contacting Ms. Ena through telepathy."]
 42:  700| [47] [Mashiro]
 43:  703| [45] ["'Ms. Ena, this is an emergency. It's me, Mashiro Toba. If you're at school, please come to the staff entrance'."]
 44:  729| [47] [Mashiro]
 45:  732| [45] ["It's more reliable to do this than to try moving around."]
 46:  740| [47] [Natsuhiko]
 47:  743| [45] ["I see...! So let's wait here, then."]
 48:  791| [45] [And thus, they waited for a while after Mashiro sent her telepathy--]
 49:  796| [45] [--and eventually, Ena appeared.]
 50:  858| [47] [Ena]
 51:  861| [45] ["Ms. Toba!? Mr. Tenkawa and Ms. Sannomiya, too!?"]
 52:  888| [47] [Mashiro]
 53:  891| [45] ["Ah, Ms. Ena! I'm so glad you're here~...!"]
 54:  917| [47] [Ena]
 55:  920| [45] ["What's happened with you three? You come here on a Sunday with an emergency?"]
 56:  928| [47] [Natsuhiko]
 57:  931| [45] ["It's a long story... Can we talk about it somewhere without surveillance cameras?"]
 58:  936| [45] [Ena watched Natsuhiko's tense entreaty with a serious look on her face.]
 59:  944| [47] [Ena]
 60:  947| [45] ["... Sounds like a desperate situation, huh."]
 61:  973| [47] [Ena]
 62:  976| [45] ["The BC room's right over there. It doesn't have any surveillance cameras. We can talk in there."]
 63: 1083| [45] [They slipped stealthily into the BC room.]
 64: 1088| [45] [Ena stood at her podium as usual and spoke up.]
 65: 1150| [47] [Ena]
 66: 1153| [45] ["--Now, let's hear it."]
 67: 1161| [47] [Ena]
 68: 1164| [45] ["You three have been acting strange since yesterday. What on earth happened?"]
 69: 1172| [47] [Natsuhiko]
 70: 1175| [45] ["I don't know if you'll believe us, but... we've been dragged into a bizarre incident."]
 71: 1201| [47] [Mashiro]
 72: 1204| [45] ["We wanted some advice, so we looked for you, Ms. Ena."]
 73: 1230| [47] [Ena]
 74: 1233| [45] ["Incident? Advice? What might this all be about?"]
 75: 1241| [47] [Natsuhiko]
 76: 1244| [45] ["Well, I guess we should start from the beginning..."]
 77: 1249| [45] [Natsuhiko retold the story of what happened since yesterday.]
 78: 1254| [45] [What happened on the bus, the possibility of Q being in the city, and the reason the security department was chasing them.]
 79: 1259| [45] [Though he did leave out the part about Mashiro using empathy.]
 80: 1264| [45] [Once the story was done-- Ena muttered.]
 81: 1290| [47] [Ena]
 82: 1293| [45] ["... I see, so that's what happened..."]
 83: 1319| [47] [Mashiro]
 84: 1322| [45] ["Ms. Ena, you believe us!?"]
 85: 1348| [47] [Ena]
 86: 1351| [45] ["Yes. You are my students, so I believe what you say."]
 87: 1377| [47] [Ena]
 88: 1380| [45] ["And I believe you kids acted in accordance with a pure sense of justice."]
 89: 1385| [45] [The kids were about to sigh in relief, but what Ena said next stopped them in their tracks.]
 90: 1411| [47] [Ena]
 91: 1414| [45] ["... But for that very reason, I don't think you should involve yourselves in this incident any further."]
 92: 1422| [47] [Natsuhiko]
 93: 1425| [45] ["No way...! Why not!?"]
 94: 1451| [47] [Ena]
 95: 1454| [45] ["As a teacher, there's no way I can approve of students putting themselves in danger, can I?"]
 96: 1480| [47] [Ena]
 97: 1483| [45] ["Q is just that dangerous an organization."]
 98: 1491| [47] [Natsuhiko]
 99: 1494| [45] ["Professor, you know about Q?"]
100: 1520| [47] [Ena]
101: 1523| [45] ["Of course I do. I am a teacher at Rokumei Academy, you know."]
102: 1528| [45] [Apparently Mashiro and the trainer were right. It did appear to be an infamous organization. However--]
103: 1554| [47] [Mashiro]
104: 1557| [45] ["So why are you being so...?"]
105: 1562| [45] [As Mashiro trailed off on her words, Ena spoke with an exasperated smile on her face.]
106: 1588| [47] [Ena]
107: 1591| [45] ["... Right. If I want you kids to understand where I'm coming from... it looks like a special lesson is in order."]
108: 1599| [47] [Ena]
109: 1602| [45] ["It's not something I teach in normal lectures, but I do believe it's something you three should know."]
110: 1610| [47] [Natsuhiko]
111: 1613| [45] ["A special lesson?"]
112: 1618| [45] [Ena nodded and quietly began to speak.]
113: 1681| [47] [Ena]
114: 1684| [45] ["--The truth is that BC and terrorism share an inseparable relationship."]
115: 1692| [47] [Ena]
116: 1695| [45] ["While I was studying parapsychology in college, I naturally learned the true history of BC."]
117: 1703| [47] [Ena]
118: 1706| [45] ["Society underwent many changes after the emergence of Communicators..."]
119: 1732| [47] [Ena]
120: 1735| [45] ["It's a history steeped in danger and extreme instability."]
121: 1743| [47] [Natsuhiko]
122: 1746| [45] ["A history steeped in danger...?"]
123: 1772| [47] [Ena]
124: 1775| [45] ["As you know, sixteen years ago was a turning point with the explosive increase in the number of Communicators worldwide, correct?"]
125: 1783| [47] [Ena]
126: 1786| [45] ["But do you think society at the time just simply accepted it?"]
127: 1794| [47] [Natsuhiko]
128: 1797| [45] ["You mean... it didn't?"]
129: 1830| [47] [Mashiro]
