  0:  102| [55] [√Before Chapter6]
  1:  110| [47] [宇喜多]
  2:  113| [45] [「ん……夏彦くんじゃないか？」]
  3:  121| [47] [夏彦]
  4:  124| [45] [「え……あ！」]
  5:  129| [45] [夏彦ははっとして、声の主を見た。]
  6:  134| [45] [路肩に停車した車があり、その中から――宇喜多が現れた。]
  7:  208| [47] [ましろ]
  8:  211| [45] [「宇喜多のおじさん！」]
  9:  219| [47] [宇喜多]
 10:  222| [45] [「どうしたんだい？　こんなとこで騒いで」]
 11:  227| [45] [宇喜多が不思議そうな表情を浮かべ、夏彦たちに問う。]
 12:  232| [45] [そのとき不意に、彼が事故に遭遇した事を思い出した。]
 13:  337| [47] [ましろ]
 14:  340| [45] [「どうしておじさん、事故なんか……」]
 15:  348| [47] [夏彦]
 16:  351| [45] [「さぁね。『ＡＤＳ』がシステムエラーでも起こしたんじゃないか？」]
 17:  377| [47] [ましろ]
 18:  380| [45] [「でもＡＤＳの故障なんてめったに起きないでしょ？」]
 19:  494| [45] [――あの時は事故の原因について、深く考えてはいなかったが……]
 20:  499| [47] [夏彦]
 21:  500| [45] [（もしかしてあれは、ただの事故じゃなくて……）]
 22:  505| [47] [夏彦]
 23:  506| [45] [（おじさんはラボの関係者だから、Ｑに狙われたのか！？）]
 24:  511| [45] [夏彦は愕然として、宇喜多に駆け寄った。]
 25:  519| [47] [夏彦]
 26:  522| [45] [「おじさん、聞いて下さい！　実はこんな事が――」]
 27:  545| [45] [夏彦はましろと共に、サリュの予想について語った。]
 28:  550| [45] [宇喜多はサリュの事を知らないだろうから、彼女についての説明も添えて。]
 29:  555| [45] [そしてそれを聞き終えた宇喜多は――険しい顔で言った。]
 30:  581| [47] [宇喜多]
 31:  584| [45] [「……うちがＱに狙われてる！？　大ごとじゃないか！」]
 32:  592| [47] [夏彦]
 33:  595| [45] [「おじさんもＱを知ってるんですね？」]
 34:  621| [47] [宇喜多]
 35:  624| [45] [「僕の趣味はパソコンだ。当然ネットだってやるし、それで小耳には挟んでいた」]
 36:  650| [47] [宇喜多]
 37:  653| [45] [「まさか無関係な自分の職場が狙われるなんて、思いもしなかったがね」]
 38:  658| [45] [皮肉めいた言い方だったが、夏彦たちの言葉は信じてくれたようだ。]
 39:  663| [45] [夏彦はほっとしつつ、説明を加える。]
 40:  671| [47] [夏彦]
 41:  674| [45] [「さっき１人、そのテロリストを捕まえました」]
 42:  700| [47] [宇喜多]
 43:  703| [45] [「捕まえたって！？　き、君たちがかい！？」]
 44:  729| [47] [ましろ]
 45:  732| [45] [「はい。でもそいつも陽動要員だったかもしれないんですよ」]
 46:  758| [47] [宇喜多]
 47:  761| [45] [「ふむ……なら、まだ安心はできないな」]
 48:  787| [47] [宇喜多]
 49:  790| [45] [「しかし我がラボはこの街で、一番警備が厳しい。テロリストが狙おうと狙うまいとね」]
 50:  798| [47] [宇喜多]
 51:  801| [45] [「あの警備が、簡単に破れるとは思えないよ」]
 52:  827| [47] [サリュ]
 53:  830| [45] [「それでも警戒するに越した事はない」]
 54:  856| [47] [宇喜多]
 55:  859| [45] [「う、む……確かに万が一あそこが占拠でもされれば大変なことだ。ならばどうするか……」]
 56:  885| [47] [宇喜多]
 57:  888| [45] [「よし！　さっそく警備主任に言って、警備を一層厳しくしてもらうとするよ！」]
 58:  929| [47] [ましろ]
 59:  932| [45] [「はい、お願いします！」]
 60:  937| [45] [ましろと宇喜多が笑みを交わす。]
 61: 1020| [45] [その横で夏彦は密かに、精神を集中し始めた。]
 62: 1025| [47] [夏彦]
 63: 1026| [45] [（すみませんおじさん、信用してないわけじゃないんですが……）]
 64: 1031| [45] [洵の時と同様、念のため宇喜多の心を読む事にした。]
 65: 1036| [45] [宇喜多の脳波を探り、『ＴＹＰＥ１』だと判断する。]
 66: 1041| [45] [さらに続けて、心を知ろうと念じる。]
 67: 1046| [47] [夏彦]
 68: 1047| [45] [（頼みますおじさん、どうか心を開いてて下さい……！）]
 69: 1052| [45] [夏彦がそう思った時、頭の中に声が響いた。]
 70: 1340| [85] [《この子たちまで巻き込むわけにはいかない……》]
 71: 1341| [86] [宇喜多]
 72: 1342| [86] [《この子たちまで巻き込むわけにはいかない……》]
 73: 1357| [85] [《だが時間が無い、すぐに対応しなければ！》]
 74: 1358| [86] [宇喜多]
 75: 1359| [86] [《だが時間が無い、すぐに対応しなければ！》]
 76: 1390| [47] [夏彦]
 77: 1393| [45] [「――……っ」]
 78: 1398| [45] [３回目ともなると徐々に慣れてきた。またもエンパシーに成功した。]
 79: 1403| [45] [そして何よりありがたい事に、宇喜多も夏彦たちに心を開いていてくれたようだ。]
 80: 1573| [47] [夏彦]
 81: 1576| [45] [「……ありがとうございます、おじさん。おじさんに相談できてよかった」]
 82: 1602| [47] [宇喜多]
 83: 1605| [45] [「ん？　いやいや、当然の事だよ。僕にはラボの職員としての責任がある」]
 84: 1631| [47] [宇喜多]
 85: 1634| [45] [「何が起きたとしても……君たちを危険にさらす事はないと約束しよう」]
 86: 1639| [45] [彼が味方になったのは、夏彦たちにとって大きな支えになる気がした。]
 87: 1644| [47] [サリュ]
