  0:   87| [45] [――その記憶の中には、幼少時の夏彦自身がいた。]
  1:   92| [47] [夏彦]
  2:   93| [45] [（これは……いつの記憶だ……？）]
  3:   98| [45] [夏彦が思った時、頭の中に日付が浮かんだ。]
  4:  103| [45] [まるで自分の記憶を思い返すときのように、自然といつ頃の出来事なのかわかる。]
  5:  108| [45] [『２０２１年　７月７日』]
  6:  113| [47] [夏彦]
  7:  114| [45] [（……！？　まさか、あの日の……）]
  8:  119| [47] [夏彦]
  9:  120| [45] [（悠里と一緒に、ラボに行く直前の記憶か！）]
 10:  125| [45] [その記憶の中で、『夏彦』は『ましろ』に言った。]
 11:  164| [47] [夏彦]
 12:  167| [45] [「――ラボにいくんだよ、母さんをたすけるためにさ」]
 13:  172| [45] [その言葉に、ましろは目を見開いた。]
 14:  177| [47] [ましろ]
 15:  180| [45] [「やめなよ夏彦、あぶないよ！　あんなところ、いっちゃダメだって！」]
 16:  206| [47] [夏彦]
 17:  209| [45] [「なんで？」]
 18:  214| [47] [ましろ]
 19:  217| [45] [「だってラボは、あぶないけんきゅうをしているってうわさだし……」]
 20:  222| [47] [ましろ]
 21:  225| [45] [「それに、『ほうしゃせん』ってのが出てるから、はいっちゃダメだっておとうさんいってたもん！」]
 22:  251| [47] [夏彦]
 23:  254| [45] [「え、ましろビビッてるのか？　じゃあいいや、悠里さそおっかな～」]
 24:  259| [47] [ましろ]
 25:  262| [45] [「……なにさそれ！　ちかごろいっつも悠里悠里って……！」]
 26:  267| [45] [悠里の事はましろも大好きで、年齢は違っても親友だと思っている。]
 27:  272| [45] [だがなぜか、夏彦が悠里の名を口にすると面白くないのだ。]
 28:  298| [47] [夏彦]
 29:  301| [45] [「なんだよ、まさかヤキモチ？　おとこおんなのくせにー」]
 30:  306| [47] [ましろ]
 31:  309| [45] [「……！」]
 32:  314| [45] [頬が赤くなるのを感じる。]
 33:  319| [45] [かぁっと頭に血が上ったましろは――]
 34:  324| [47] [ましろ]
 35:  327| [45] [「夏彦なんか、もうしらない！　悠里とどこにでもいっちゃえ！」]
 36:  332| [45] [その言葉を口にしてしまった。]
 37:  337| [45] [以後、幾度となく後悔する言葉を……。]
 38:  407| [45] [そして夏彦は悠里と共に、ラボに行った。]
 39:  412| [45] [そこで何が起こるか知らずに。]
 40:  477| [45] [――３日後。]
 41:  482| [45] [ましろは１人で公園に来ていた。]
 42:  487| [45] [ケンカしてしまった夏彦と、そろそろ仲直りしたいと思ったのだ。]
 43:  492| [45] [学校で会ったら謝ろうと思っていたのだが、一昨日から夏彦も悠里も休んでたため、今日まで機会がなかった。]
 44:  497| [47] [ましろ]
 45:  498| [45] [（あんなケンカ、いつものことだよね……いちにちあそべば、いつもどおりになれるよね）]
 46:  503| [45] [夏彦と２人だと、互いに意地を張ってしまいそうだが、悠里も一緒にいてくれればそれも大丈夫だ。]
 47:  508| [45] [彼女がかすがいになり、すぐ仲直りできるだろう。]
 48:  513| [45] [そう思って、待っていたのだが――]
 49:  518| [45] [なかなか彼は来なかった。]
 50:  523| [45] [いつもならこの時間には、たいてい顔を出すというのに。]
 51:  528| [47] [ましろ]
 52:  529| [45] [「……」]
 53:  534| [47] [ましろ]
 54:  537| [45] [「夏彦んち、いってみようかな……」]
 55:  542| [45] [やがてましろは、そう呟いて歩き出した。]
 56:  637| [45] [夏彦の家についたましろは、チャイムを押してみた。]
 57:  648| [45] [だが、誰も出ない。]
 58:  677| [45] [何度押しても、反応はなかった。]
 59:  682| [47] [ましろ]
 60:  685| [45] [「……へんだなぁ」]
 61:  690| [47] [ましろ]
 62:  693| [45] [「あの～、だれかいないんですか～」]
 63:  698| [45] [そう声をかけた時――背後で声が聞こえた。]
 64:  703| [47] [？？]
 65:  706| [45] [「……ましろちゃん？」]
 66:  823| [45] [はっとして振り返ると、夏彦の母、天川美夜子博士が立っていた。]
 67:  828| [47] [ましろ]
 68:  831| [45] [「あ、はかせ」]
 69:  836| [45] [ましろがそのあだ名を呼ぶと、彼女は疲れたように言う。]
 70:  862| [47] [美夜子]
 71:  865| [45] [「……どうしたの？」]
 72:  870| [47] [ましろ]
 73:  873| [45] [「あのっ、夏彦くんにあいにきたんですけど、いないみたいなんです」]
 74:  878| [47] [ましろ]
 75:  881| [45] [「どこにいっちゃったんですか？」]
 76:  904| [47] [美夜子]
 77:  905| [45] [「……」]
 78:  913| [47] [美夜子]
 79:  916| [45] [「……あなた、まだ、知らないのね……」]
 80:  921| [47] [ましろ]
 81:  924| [45] [「なにがですか？」]
 82:  950| [47] [美夜子]
 83:  953| [45] [「……夏彦は今、病院にいるわ」]
 84:  958| [47] [ましろ]
 85:  961| [45] [「びょういん！？」]
 86:  969| [47] [美夜子]
 87:  972| [45] [「ラボで火災があって、悠里ちゃんと一緒に巻き込まれて……」]
 88:  977| [47] [ましろ]
 89:  980| [45] [「ま、まさかにゅういんしたんですか？」]
 90:  985| [47] [ましろ]
 91:  988| [45] [「悠里といっしょって……じゃあ悠里もびょういんに！？」]
 92: 1014| [47] [美夜子]
 93: 1017| [45] [「……悠里ちゃんは……もう、いないわ」]
 94: 1022| [47] [ましろ]
 95: 1025| [45] [「……？」]
 96: 1077| [45] [博士は暗い表情のまま、ましろに歩み寄り――そして肩を掴んで言った。]
 97: 1085| [47] [美夜子]
 98: 1088| [45] [「ましろちゃん……悠里ちゃんはね……」]
 99: 1096| [47] [美夜子]
100: 1099| [45] [「……救助された後、意識が戻らなくて……」]
101: 1107| [47] [美夜子]
102: 1110| [45] [「それで、昨夜……！」]
103: 1115| [47] [ましろ]
104: 1118| [45] [「……え？」]
105: 1129| [45] [――その言葉を聞いた瞬間、ましろは――]
106: 1134| [45] [今まで自分を取り巻いていた平穏が、崩れ落ちるのを感じた。]
