  0:   65| [45] [――次に夏彦が見たのは、それからずっと先の事――]
  1:   70| [45] [ごく最近の記憶だった。]
  2:   75| [45] [どれくらいの歳月が過ぎたのか、夏彦にも自然とわかった。]
  3:   80| [47] [夏彦]
  4:   81| [45] [（……あぁ）]
  5:   86| [47] [夏彦]
  6:   87| [45] [（あれからもう、９年が過ぎたのか……）]
  7:   92| [45] [そう――それはつい、１週間ほど前の記憶だった。]
  8:  127| [47] [ましろ]
  9:  130| [45] [「ふんふんふ～ん♪」]
 10:  135| [45] [ましろはいつものように、天川家のキッチンで、朝食を作っていた。]
 11:  146| [45] [やがてリビングのドアが開く音と共に、夏彦の声が聞こえる。]
 12:  179| [47] [夏彦]
 13:  182| [45] [「おはよう」]
 14:  187| [47] [ましろ]
 15:  190| [45] [「あ、おっはよー」]
 16:  249| [45] [挨拶を返しながら、手早く料理を進める。]
 17:  254| [45] [テレビではニュースキャスターが、淡々とした口調で喋っていた。]
 18:  259| [47] [キャスター]
 19:  262| [45] [「――次のニュースです」]
 20:  267| [47] [キャスター]
 21:  270| [45] [「今朝未明、鹿鳴市の『ＢＣトレーニングセンター』に、過激派団体による怪文書が届きました」]
 22:  275| [47] [キャスター]
 23:  278| [45] [「先ごろ行われたＢＣセミナーとの関連も指摘されており、警察は市の保安課と共同で――」]
 24:  289| [45] [やがてその声に混じり、夏彦の声がまた聞こえた。]
 25:  297| [47] [夏彦]
 26:  300| [45] [「おはよう悠里」]
 27:  305| [45] [ましろははっとして、振り返った。]
 28:  310| [47] [ましろ]
 29:  313| [45] [「おはよう悠里！」]
 30:  367| [45] [むろん、そこには誰もいない。]
 31:  372| [45] [だが夏彦は、『悠里が部屋に入ってきた』と認識している。]
 32:  377| [45] [ましろは話を合わせたに過ぎなかった。]
 33:  430| [47] [ましろ]
 34:  433| [45] [「ちょうどご飯が出来たとこだよ～」]
 35:  438| [45] [ましろは特に慌てる事もなく、夏彦と『悠里』に食事を配る。]
 36:  443| [45] [この半年で、ましろはすっかり呼吸を掴んでいた。]
 37:  469| [47] [夏彦]
 38:  472| [45] [「今日のメニューは？」]
 39:  477| [47] [ましろ]
 40:  480| [45] [「ハッシュドポテトにベーコンエッグ、サラダにオムレツにオレンジジュース」]
 41:  485| [47] [ましろ]
 42:  488| [45] [「いわゆるアメリカンブレックファーストだよ」]
 43:  514| [47] [夏彦]
 44:  517| [45] [「おぉ、朝から充実してるな」]
 45:  522| [45] [――このやりとりの間にも、夏彦は悠里の声を聞いているのだろう。]
 46:  527| [45] [彼は今もなお、彼女の死を受け入れていなかった。]
 47:  572| [45] [声が聞こえるだけではない。]
 48:  577| [45] [彼の目にはいつも、悠里の幻が映っているらしい。]
 49:  583| [47] [ましろ]
 50:  584| [45] [（『シャルル・ボネ症候群』か……）]
 51:  589| [45] [以前、本で調べた症例を、ましろは思い返した。]
 52:  594| [45] [シャルル・ボネ症候群――脳の情報伝達異常によって起こる現象の総称。]
 53:  599| [45] [精神的に正常であるにも関わらず、幻覚が見えるなどの症状を発する。]
 54:  604| [45] [原因は脳の物理的損傷などに由来する事が多い。]
 55:  609| [45] [夏彦はラボの火災に遭遇した時、恐らく大量の一酸化炭素を吸ったのだろう。]
 56:  614| [47] [ましろ]
 57:  615| [45] [（……それで脳にダメージを負って、幻覚を見るようになったんだ）]
 58:  620| [45] [ましろはそう推察していた。]
 59:  629| [45] [――だがその一点を除けば、夏彦は全く正常だった。]
 60:  634| [45] [真実に触れさえしなければ、穏やかな日々は続いていく。]
 61:  728| [47] [ましろ]
 62:  731| [45] [「さぁそれじゃあ皆さん、手を合わせて――」]
 63:  739| [47] [２人]
 64:  742| [45] [「いただきま～す」]
 65:  747| [45] [そうして今日も、いつもの朝が始まった。]
 66:  752| [45] [ましろは夏彦に対し、密かにエンパシーを使う。]
 67:  757| [45] [すると夏彦の脳内で、悠里の声が響いた。]
 68:  762| [47] [悠里]
