  0:  316| [55] [√Current Chapter0]
  1:  326| [86] [He asked him, ”What is your name?”]
  2:  327| [86] [He said to him, ”My name is Legion, for we are many.”]
  3:  328| [86] [（The New Testament / Mark 5:9）]
  4:  339| [47] [夏彦]
  5:  342| [45] [「はぁ……はぁ……はぁ……」]
  6:  347| [45] [――血がとめどなく流れていた。]
  7:  352| [45] [脇腹、左腕、右脚から。]
  8:  522| [45] [白く塗られた墓の下で、それでも夏彦は走り続けた。]
  9:  527| [45] [逃げるため、そして――あの男を倒すために。]
 10:  543| [45] [やがて逃走の果てに夏彦がたどり着いたのは――]
 11:  726| [45] [――６つの塔がそびえ立つ、広大なホールだった。]
 12:  812| [45] [その時、背後で銃声が鳴った。]
 13:  898| [47] [夏彦]
 14:  901| [45] [「がッ……！」]
 15:  912| [45] [左腕に熱い痛みが走り、夏彦は倒れた。]
 16:  969| [45] [床の上に血が広がり、無力感と共に、闇が押し寄せてくる。]
 17: 1018| [47] [渡瀬]
 18: 1021| [45] [「――ここがお前の死に場所か？」]
 19: 1026| [45] [その問いに答える余力すら、夏彦にはなかった。]
 20: 1031| [45] [やがて男が、去り際に言う。]
 21: 1057| [47] [渡瀬]
 22: 1060| [45] [「……お前の次は、あの娘だ」]
 23: 1161| [47] [夏彦]
 24: 1162| [45] [（――ッ！？）]
 25: 1191| [45] [男の邪悪な行為を止めるため、夏彦は渾身の力で立ち上がった。]
 26: 1247| [47] [夏彦]
 27: 1250| [45] [「うあああああ！」]
 28: 1458| [47] [渡瀬]
 29: 1461| [45] [「っ！？」]
 30: 1568| [45] [やるべき事はただ１つ。己の能力で、男の心を破壊する。]
 31: 1573| [45] [夏彦はそのために、全身全霊で集中した。]
 32: 1683| [47] [夏彦]
 33: 1686| [45] [「―――――――ッ！！」]
 34: 1913| [47] [渡瀬]
 35: 1916| [45] [「がぁあああッ！！」]
 36: 1997| [45] [絶叫し、男が銃を取り落とす。]
 37: 2002| [45] [男は急速に、表情を強張らせ――]
 38: 2028| [47] [渡瀬]
 39: 2031| [45] [「あ……あ……」]
 40: 2057| [47] [渡瀬]
 41: 2060| [45] [「うあああああっ！」]
 42: 2080| [45] [――その場から逃走した。]
 43: 2141| [47] [夏彦]
 44: 2144| [45] [「待て！　……ぐっ！」]
 45: 2149| [45] [だが気持ちとは裏腹に、夏彦の体は後ろによろけ、]
 46: 2212| [45] [塔の１基に背中を打ちつけ、そのまま崩れ落ちた。]
 47: 2217| [45] [全身から血が流れ出し、命の火が消えて行くのがわかる。]
 48: 2222| [45] [だが夏彦は大切な人たちを、生まれ育った街を護るため――]
 49: 2321| [47] [夏彦]
 50: 2322| [45] [（頼む、これで……）]
 51: 2441| [85] [《壊れてくれッ！！》]
 52: 2442| [86] [夏彦]
 53: 2443| [86] [《壊れてくれッ！！》]
 54: 2477| [45] [――最後の力を振り絞り、男の心を構成する全ての記憶を破壊した。]
 55: 2530| [47] [渡瀬]
 56: 2533| [45] [「が……はッ……！」]
 57: 2546| [45] [そして男が倒れると共に、夏彦の意識も急速に薄れ――]
 58: 2600| [45] [――――――]
 59: 2605| [45] [――――]
 60: 2610| [45] [――]
 61: 2729| [45] [――やがて、静止した時の彼方で――]
 62: 2734| [45] [目覚めよ、と呼ぶ声が聞こえた。]
 63: 2739| [45] [あるいはそんな記憶があった。]
 64: 2744| [45] [白く塗られた墓の下で、彼はその声を聞き……]
 65: 2749| [45] [そして時が、動き出した。]
