  0:   84| [55] [√Current Chapter3]
  1:  101| [45] [――Ｎエリアにたどり着いた時、渡瀬はすでにボロボロだった。]
  2:  163| [45] [風見に消火器で腕を殴られ、]
  3:  223| [45] [途中で遭遇した洵から逃れ、]
  4:  283| [45] [宇喜多の銃撃を脇腹に受け、]
  5:  342| [45] [そして何とか駆け込んだＮエリアで、渡瀬を待ち構えていたのは――]
  6:  419| [47] [渡瀬]
  7:  422| [45] [「っ……！」]
  8:  427| [45] [肌の違和感・頭痛・指先の痙攣という、様々な体の異常だった。]
  9:  432| [47] [夏彦]
 10:  433| [45] [（ダメだ、渡瀬！　この場所は危険すぎる！）]
 11:  438| [45] [エンジンルームで見たマニュアルにも、こう書いてあった。]
 12:  443| [45] [『　８０００ｍＳｖ～　　　：意識断絶　』]
 13:  448| [45] [Ｎエリアの汚染レベルは、その数値を遥かに越えている。]
 14:  453| [47] [夏彦]
 15:  454| [45] [（くっ――これだけ汚染レベルが高いってことは、やっぱりここにある機械がＷＸ粒子増幅器！）]
 16:  459| [47] [夏彦]
 17:  460| [45] [（この機械のせいで、施設内の『ｍＳｖ』の数値が上昇していたのか！？）]
 18:  465| [45] [そう確信した瞬間、夏彦の意識に閃光が走った。]
 19:  471| [47] [夏彦]
 20:  472| [45] [（っ！！！）]
 21:  477| [45] [『ＡＤ』『プロキオン』『汚染区域』『ＷＸ粒子増幅器』『ＷＸ粒子』『ＢＣの第３の能力』。]
 22:  482| [45] [夏彦の中でバラバラに存在していたパズルのピースが、急速に１つに繋がる。]
 23:  487| [47] [夏彦]
 24:  488| [45] [（あ、あ、あぁぁ……！）]
 25:  493| [47] [夏彦]
 26:  494| [45] [（わ……わかったぞ！　１つだけ、謎が解けた！）]
 27:  499| [45] [ようやく見つけた答え――それはこの施設の正体だった。]
 28:  510| [47] [夏彦]
 29:  511| [45] [（……ぼくはこの６時間、渡瀬と『ＢＣの第３の能力』で繋がったままだった）]
 30:  516| [47] [夏彦]
 31:  517| [45] [（なのに『ＡＤ』を投与するたびにそれは閉ざされ、渡瀬が『汚染区域』に入る度にそれは復活した）]
 32:  522| [47] [夏彦]
