  0:   60| [45] [――ただ、辛い思いをしたのは、その１度きりで――]
  1:   65| [45] [実験に明け暮れた日々を、悠里は平穏に過ごすことができた。]
  2:   70| [45] [そして気付けば、悠里がラボに来てから、早３ヶ月が過ぎていた。]
  3:   99| [45] [ラボの地下には、悠里の私室が作られ、そこで悠里は寝起きしていた。]
  4:  105| [45] [新しい自分の部屋を見回し、悠里は思う。]
  5:  110| [47] [悠里]
  6:  111| [45] [（うーん、だいぶものがふえてきたなぁ……）]
  7:  116| [45] [天川博士は、悠里にできる限りの便宜を図ってくれた。]
  8:  121| [45] [悠里が望むものは全て――女の子らしい服や、たくさんの本を与えてくれたのだ。]
  9:  126| [47] [悠里]
 10:  127| [45] [（ちょっとふじゆうだけど……いままでより、ずっといいせいかつだよね）]
 11:  174| [45] [そう思っていると、部屋の扉が開いて、天川博士が入ってきた。]
 12:  182| [47] [美夜子]
 13:  185| [45] [「悠里ちゃん、実験の時間よ」]
 14:  193| [47] [悠里]
 15:  196| [45] [「あ、はーい」]
 16:  201| [45] [優しい声で言う博士に、悠里も微笑んで答えた。]
 17:  250| [45] [――天川博士曰く、本当の両親にはあの事故の直後、『悠里が火災に遭遇し、死んだ』と伝えられたらしい。]
 18:  255| [45] [悠里の両親は疑問も持たず、その説明を受け入れ、街を出て行ったのだそうだ。]
 19:  260| [45] [優しい親ではなかったから、彼らに会えなくなった事は、辛いとは思わない。]
 20:  291| [45] [代わりに天川博士が、充分な愛情を注いでくれたから、むしろ嬉しいとさえ思っていた。]
 21:  384| [45] [悠里は博士と共に、第５エリアの実験室に行った。]
 22:  392| [47] [悠里]
 23:  395| [45] [「今日はなにをやるんですか？」]
 24:  403| [47] [美夜子]
 25:  406| [45] [「昨日に続いて、記憶操作の実験よ」]
 26:  414| [47] [悠里]
 27:  417| [45] [「よーし、わたしがんばりますね」]
 28:  422| [45] [マウスを気絶させてしまった一件の後も、悠里は様々な記憶操作の練習を行っている。]
 29:  427| [45] [今日もその続きのようだったが――]
 30:  453| [47] [美夜子]
 31:  456| [45] [「さて、今日は私が対象者になるわ」]
 32:  464| [47] [悠里]
 33:  467| [45] [「え！？」]
 34:  475| [47] [美夜子]
 35:  478| [45] [「記憶操作というものを、この身で体験してみたくてね」]
 36:  486| [47] [悠里]
 37:  489| [45] [「でも、あぶなくないですか……？」]
 38:  515| [47] [美夜子]
 39:  518| [45] [「心配しないで。ほんの数秒分の記憶を消去しても、大したダメージはないはずよ」]
 40:  526| [47] [悠里]
 41:  529| [45] [「わ、わかりました……じゃあまず、記憶のしょうきょから」]
 42:  562| [45] [悠里はそう言って、紙にペンで文字を書いた。]
 43:  567| [45] [悠里は紙に『おりひめ』と書き、それを博士に見せた。]
 44:  575| [47] [悠里]
 45:  578| [45] [「それじゃはかせ、これをおぼえてください」]
 46:  604| [47] [美夜子]
 47:  607| [45] [「『おりひめ』ね。よし、覚えたわ」]
 48:  615| [47] [悠里]
 49:  618| [45] [「それじゃいきますよ、記憶のしょうきょ……！」]
 50:  644| [45] [悠里は手を伸ばし――そして博士の額に触れた。]
 51:  799| [45] [その瞬間、博士の意識が、悠里の脳内に流れ込んできた。]
 52:  804| [45] [膨大で複雑な記憶群の中から、望みの記憶を呼び出す。]
 53:  809| [47] [悠里]
 54:  810| [45] [（あ、これだね）]
 55:  959| [47] [美夜子]
 56:  962| [45] [「『おりひめ』ね。よし、覚えたわ」]
 57:  967| [45] [１０秒ほど前の場面が、天川博士の視点で展開する。]
 58:  989| [47] [悠里]
 59:  990| [45] [（この記憶、きえて……！）]
 60:  995| [45] [悠里がそう強く念じると、その部分の記憶が崩れだした。]
 61: 1105| [47] [美夜子]
