  0:   64| [45] [――その夜、夏彦は鹿鳴市立病院からラボに移送されてきた。]
  1:   69| [45] [そして脳科学実験室のベッドに横たえられる。]
  2:  130| [45] [悠里と博士はその傍らに立ち、彼の顔を見つめた。]
  3:  153| [45] [悠里が傍に立っても、夏彦は反応しない。]
  4:  158| [45] [彼の目は瞑られていた。]
  5:  221| [47] [美夜子]
  6:  224| [45] [「薬で眠らせているわ……」]
  7:  232| [47] [美夜子]
  8:  235| [45] [「今のうちに記憶を操作すれば、操作された事も自覚せずに済むから」]
  9:  240| [47] [悠里]
 10:  241| [45] [「……」]
 11:  286| [45] [それでも悠里が覚悟を決めるには、時間がかかった。]
 12:  291| [45] [長い沈黙の後、悠里は意を決して言う。]
 13:  303| [47] [悠里]
 14:  306| [45] [「……やれます」]
 15:  332| [47] [美夜子]
 16:  335| [45] [「そう……では始めて、悠里ちゃん」]
 17:  343| [47] [悠里]
 18:  346| [45] [「はい」]
 19:  391| [45] [悠里は頷き、目の前の少年を見据えた。]
 20:  396| [47] [悠里]
 21:  397| [45] [（おわかれだね、ひこりん……）]
 22:  402| [45] [悠里の心は穏やかだった。]
 23:  407| [45] [せめて今だけは穏やかであろうと思っていた。]
 24:  412| [47] [悠里]
 25:  413| [45] [（ひこりんがわたしをわすれても、わたしはひこりんのことをわすれないよ）]
 26:  418| [45] [これからどれだけ寂しい日々を送るとしても。]
 27:  423| [45] [この日を一生忘れまいと、彼の姿を眼に焼き付ける。]
 28:  428| [47] [悠里]
 29:  429| [45] [（さよなら……）]
 30:  439| [45] [そして悠里は、手を伸ばし――]
 31:  449| [45] [夏彦の額に、触れた。]
 32:  608| [45] [――その瞬間。]
 33:  613| [45] [悠里の目の前に、無数の情景が浮かび上がってきた。]
 34:  618| [45] [それは己のものではない記憶。]
 35:  623| [45] [夏彦の持つ、悠里に関する全記憶だった。]
 36:  628| [45] [悠里はその中の１つを覗き込む。]
 37:  778| [45] [――それは悠里と夏彦が、出会った日の記憶だった。]
 38:  786| [47] [夏彦]
 39:  789| [45] [「なぁなぁ、なんで泣いてるの？」]
 40:  797| [47] [悠里]
 41:  800| [45] [「ふぇ……？」]
 42:  826| [47] [悠里]
 43:  829| [45] [「……あ、あの……だれ？」]
 44:  837| [47] [夏彦]
 45:  840| [45] [「ぼく、夏彦」]
 46:  848| [47] [悠里]
 47:  851| [45] [「……なつひこくん？」]
 48:  859| [47] [夏彦]
 49:  862| [45] [「おまえ、『ことのゆうり』だろ？　ちょっとまえに、ちかくにひっこしてきた」]
 50:  888| [47] [悠里]
 51:  891| [45] [「……うん」]
 52:  899| [47] [夏彦]
 53:  902| [45] [「ともだちになろうよ。せっかく、ごきんじょなんだからさ」]
 54:  925| [45] [自身もよく覚えているその日の出来事を、いま悠里は夏彦の視点で見ていた。]
 55:  947| [47] [悠里]
 56:  948| [45] [（なつかしいね、ひこりん……）]
 57:  953| [47] [悠里]
 58:  954| [45] [（わたしね、さいしょはびっくりしたんだよ？）]
 59:  959| [47] [悠里]
 60:  960| [45] [（いきなり『おまえ』なんてよばれて、ひこりんがちょっとらんぼうな子にみえて……）]
 61:  965| [47] [悠里]
 62:  966| [45] [（……でも、うれしかったな）]
 63:  971| [47] [悠里]
 64:  972| [45] [（この日から、ひこりんのおかげで、わたしはまいにちを楽しくすごせるようになったんだよ）]
 65:  977| [45] [だけどいつまでも眺めているわけにはいかない。]
 66:  982| [45] [悠里は念じた。この記憶が消えてなくなるように。]
